date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,96995000000,11519000000,5195000000,10833000000,-6577000000,-1688000000,-1618000000,-1889000000,5195000000,-7422000000,110543000000,-10959000000,0,-29513000000,45514000000,-1337000000,3705000000,-9901000000,1250000000,-77550000000,-15025000000,-6012000000,-108488000000,0,5760000000,30737000000,24977000000,110543000000,-10959000000,99584000000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,-6577000000
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,99803000000,11104000000,895000000,9038000000,1200000000,-1823000000,1484000000,9448000000,-7909000000,111000000,122151000000,-10708000000,-306000000,-76923000000,67363000000,-1780000000,-22354000000,-123000000,0,-89402000000,-14841000000,3037000000,-110749000000,0,-10952000000,24977000000,35929000000,122151000000,-10708000000,111443000000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,0
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,94680000000,11284000000,-4774000000,7906000000,-4911000000,-10125000000,-2642000000,12326000000,-4470000000,-147000000,104038000000,-11085000000,-33000000,-109558000000,106483000000,-352000000,-14545000000,-12665000000,1105000000,-85971000000,-14467000000,14730000000,-93353000000,0,-3860000000,35929000000,39789000000,104038000000,-11085000000,92953000000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,0
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,57411000000,11056000000,-215000000,6829000000,5690000000,6917000000,-127000000,-4062000000,2962000000,-97000000,80674000000,-7309000000,-1524000000,-115148000000,120483000000,-791000000,-4289000000,-2499000000,880000000,-72358000000,-14081000000,12331000000,-86820000000,0,-10435000000,39789000000,50224000000,80674000000,-7309000000,73365000000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,0
2019-09-28,AAPL,USD,0000320193,2019-10-31,2019-10-30 18:12:36,2019,FY,55256000000,12547000000,-340000000,6068000000,-3488000000,245000000,-289000000,-1923000000,-1521000000,-652000000,69391000000,-10495000000,-624000000,-40631000000,98724000000,-1078000000,45896000000,-8805000000,781000000,-66897000000,-14119000000,-1936000000,-90976000000,0,24311000000,50224000000,25913000000,69391000000,-10495000000,58896000000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,0
2018-09-29,AAPL,USD,0000320193,2018-11-05,2018-11-05 08:01:40,2018,FY,59531000000,10903000000,-32590000000,0,34694000000,-5322000000,828000000,9175000000,30013000000,-444000000,77434000000,-13313000000,-721000000,-73227000000,104072000000,-745000000,16066000000,-6500000000,669000000,-72738000000,-13712000000,-2527000000,-87876000000,0,5624000000,25913000000,20289000000,77434000000,-13313000000,64121000000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,0
2017-09-30,AAPL,USD,0000320193,2017-11-03,2017-11-03 08:01:37,2017,FY,48351000000,10157000000,5966000000,4840000000,-5550000000,-2093000000,-2723000000,9618000000,-10352000000,-166000000,63598000000,-12795000000,-329000000,-159881000000,126339000000,220000000,-46446000000,-3500000000,555000000,-32900000000,-12769000000,31267000000,-17347000000,0,-195000000,20289000000,20484000000,63598000000,-12795000000,50803000000,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,0
2016-09-24,AAPL,USD,0000320193,2016-10-26,2016-10-26 16:42:16,2016,FY,45687000000,10505000000,4938000000,4210000000,484000000,1095000000,217000000,1791000000,-2619000000,21463000000,65824000000,-13548000000,-297000000,-143816000000,111794000000,-110000000,-45977000000,-2500000000,495000000,-29722000000,-12150000000,23394000000,-20483000000,0,-636000000,20484000000,21120000000,65824000000,-13548000000,52276000000,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,0
2015-09-26,AAPL,USD,0000320193,2015-10-28,2015-10-28 16:31:09,2015,FY,53394000000,11257000000,1382000000,3586000000,11647000000,611000000,-238000000,5400000000,5874000000,385000000,81266000000,-11488000000,-343000000,-166402000000,121985000000,-26000000,-56274000000,-27114000000,543000000,-35253000000,-11561000000,28555000000,-17716000000,0,7276000000,21120000000,13844000000,81266000000,-11488000000,69778000000,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,0
2014-09-27,AAPL,USD,0000320193,2014-10-27,2014-10-27 17:11:55,2014,FY,39510000000,7946000000,2347000000,2863000000,7047000000,-4232000000,-76000000,5938000000,5417000000,9745000000,59713000000,-9813000000,-3765000000,-217128000000,208111000000,16000000,-22579000000,-11960000000,730000000,-45000000000,-11126000000,17847000000,-37549000000,0,-415000000,13844000000,14259000000,59713000000,-9813000000,49900000000,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,0
