date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,383285000000,214137000000,169148000000,0.4413112958,29915000000,0,0,24932000000,-565000000,54847000000,268984000000,3750000000,3933000000,11519000000,125820000000,0.3282674772,114301000000,0.2982141227,-565000000,113736000000,0.2967400237,16741000000,96995000000,0.2530623426,6.16,6.13,15744231000,15812547000,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,0,54847000000,-183000000,-382000000,0,125820000000
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,394328000000,223546000000,170782000000,0.4330963056,26251000000,0,0,25094000000,-334000000,51345000000,274891000000,2825000000,2931000000,11104000000,130541000000,0.3310467428,119437000000,0.302887444,-334000000,119103000000,0.3020404333,19300000000,99803000000,0.2530964071,6.15,6.11,16215963000,16325819000,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,0,51345000000,-106000000,-228000000,0,130541000000
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,365817000000,212981000000,152836000000,0.4177935963,21914000000,0,0,21973000000,258000000,43887000000,256868000000,2843000000,2645000000,11284000000,120233000000,0.3286697994,108949000000,0.2978237753,258000000,109207000000,0.2985290459,14527000000,94680000000,0.2588179336,5.67,5.61,16701272000,16864919000,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,0,43887000000,198000000,60000000,0,120233000000
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,274515000000,169559000000,104956000000,0.3823324773,18752000000,0,0,19916000000,803000000,38668000000,208227000000,3763000000,2873000000,11056000000,77344000000,0.2817478098,66288000000,0.2414731435,803000000,67091000000,0.2443983025,9680000000,57411000000,0.2091361128,3.31,3.28,17352119000,17528214000,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,0,38668000000,890000000,-87000000,0,77344000000
2019-09-28,AAPL,USD,0000320193,2019-10-31,2019-10-30 18:12:36,2019,FY,260174000000,161782000000,98392000000,0.3781776811,16217000000,0,0,18245000000,1807000000,34462000000,196244000000,4961000000,3576000000,12547000000,76477000000,0.2939455903,63930000000,0.2457201719,1807000000,65737000000,0.2526655238,10481000000,55256000000,0.2123809451,2.99,2.97,18471336000,18595652000,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/a10-k20199282019.htm,0,34462000000,1385000000,422000000,0,76477000000
2018-09-29,AAPL,USD,0000320193,2018-11-05,2018-11-05 08:01:40,2018,FY,265595000000,163756000000,101839000000,0.3834371882,14236000000,0,0,16705000000,2005000000,30941000000,194697000000,5686000000,3240000000,10903000000,81801000000,0.3079914908,70898000000,0.2669402662,2005000000,72903000000,0.2744893541,13372000000,59531000000,0.2241420207,3.0,2.98,19821508000,20000436000,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/a10-k20189292018.htm,0,30941000000,2446000000,-441000000,0,81801000000
2017-09-30,AAPL,USD,0000320193,2017-11-03,2017-11-03 08:01:37,2017,FY,229234000000,141048000000,88186000000,0.3846986049,11581000000,0,0,15261000000,2745000000,26842000000,167890000000,5201000000,2323000000,10157000000,71501000000,0.311912718,61344000000,0.2676042821,2745000000,64089000000,0.2795789455,15738000000,48351000000,0.2109242085,2.32,2.3,20868968000,21006768000,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/0000320193-17-000070-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019317000070/a10-k20179302017.htm,0,26842000000,2878000000,-133000000,0,71501000000
2016-09-30,AAPL,USD,0000320193,2016-10-26,2016-10-26 16:42:16,2016,FY,215639000000,131376000000,84263000000,0.3907595565,10045000000,0,0,14194000000,1348000000,24239000000,155615000000,3999000000,1456000000,10505000000,70529000000,0.3270697787,62567000000,0.2901469586,1348000000,61372000000,0.2846052894,15685000000,45687000000,0.2118679831,2.09,2.08,21883280000,22001124000,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/0001628280-16-020309-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000162828016020309/a201610-k9242016.htm,-2543000000,21696000000,2543000000,-3738000000,0,73072000000
2015-09-30,AAPL,USD,0000320193,2015-10-28,2015-10-28 16:31:09,2015,FY,233715000000,140089000000,93626000000,0.4005990202,8067000000,0,0,14329000000,1285000000,22396000000,162485000000,2921000000,733000000,11257000000,82487000000,0.3529384079,71230000000,0.3047729072,1285000000,72515000000,0.3102710566,19121000000,53394000000,0.228457737,2.32,2.31,23013684000,23172276000,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/0001193125-15-356351-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312515356351/d17062d10k.htm,0,22396000000,2188000000,-903000000,0,82487000000
2014-09-30,AAPL,USD,0000320193,2014-10-27,2014-10-27 17:11:55,2014,FY,182795000000,112258000000,70537000000,0.3858803578,6041000000,0,0,11993000000,-431000000,18034000000,130292000000,1795000000,384000000,7946000000,61813000000,0.3381547635,52503000000,0.2872233923,980000000,53483000000,0.2925845893,13973000000,39510000000,0.2161437676,1.62,1.61,24342288000,24490652000,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/0001193125-14-383437-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000119312514383437/d783162d10k.htm,0,18034000000,1411000000,-431000000,0,60449000000
