date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-12-31,BLK,USD,0001364742,2024-02-23,2024-02-23 14:28:07,2023,FY,8736000000,1871000000,8736000000,6346000000,0,-15082000000,19173000000,2533000000,15524000000,18258000000,33782000000,9058000000,208000000,58457000000,104038000000,0,123211000000,886000000,995000000,0,-886000000,245000000,1240000000,6923000000,133000000,3506000000,70169000000,80731000000,0,1784000000,81971000000,0,2000000,32343000000,-840000000,7842000000,39347000000,41240000000,123211000000,1893000000,123211000000,9058000000,9702000000,966000000,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/0000950170-24-019271-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,4091000000,58665000000,245000000,70302000000
2022-12-31,BLK,USD,0001364742,2023-02-24,2023-02-24 14:35:17,2022,FY,7416000000,1331000000,7416000000,3264000000,0,5765000000,16445000000,2547000000,15341000000,18302000000,33643000000,7466000000,3381000000,54146000000,101183000000,0,117628000000,1202000000,1835000000,0,-1202000000,-541000000,1294000000,8489000000,125000000,3381000000,65554000000,77549000000,0,1835000000,78843000000,0,2000000,29876000000,-1101000000,8967000000,37744000000,38785000000,117628000000,1041000000,117628000000,7466000000,8489000000,1073000000,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/0000950170-23-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/blk-20221231.htm,5765000000,57527000000,-541000000,65679000000
2021-12-31,BLK,USD,0001364742,2022-02-25,2022-02-25 15:15:26,2021,FY,9323000000,0,9323000000,3789000000,22128000000,-15047000000,20193000000,2383000000,15351000000,18453000000,33804000000,7262000000,2758000000,86248000000,132455000000,0,152648000000,1207000000,1872000000,0,-1207000000,-475000000,1397000000,9318000000,2951000000,2758000000,97331000000,112358000000,0,1872000000,113755000000,0,2000000,27688000000,-550000000,10553000000,37693000000,38893000000,152648000000,1200000000,152648000000,7262000000,9318000000,-5000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/blk-10k_20211231.htm,-15047000000,89006000000,-475000000,100282000000
2020-12-31,BLK,USD,0001364742,2021-02-25,2021-02-25 15:55:29,2020,FY,8664000000,0,8664000000,3535000000,29617000000,-13110000000,28706000000,681000000,14551000000,18263000000,32814000000,6919000000,304000000,107558000000,148276000000,0,176982000000,897000000,750000000,0,-19811000000,19192000000,1028000000,7264000000,2499000000,3673000000,124862000000,138298000000,0,755000000,139326000000,0,2000000,24334000000,-337000000,11284000000,35283000000,37656000000,176982000000,2373000000,176982000000,6919000000,7264000000,-1400000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/0001564590-21-008796-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/blk-10k_20201231.htm,-13110000000,107862000000,19192000000,127361000000
2019-12-31,BLK,USD,0001364742,2020-02-28,2020-02-28 16:30:05,2019,FY,4829000000,0,4829000000,3179000000,24403000000,-8937000000,23474000000,715000000,14562000000,18369000000,32931000000,5489000000,175000000,105838000000,145148000000,0,168622000000,1167000000,152000000,0,-17968000000,17816000000,1167000000,4955000000,2057000000,3734000000,121780000000,132526000000,0,624000000,133693000000,0,2000000,21662000000,-571000000,12454000000,33547000000,34929000000,168622000000,1382000000,168622000000,5489000000,4955000000,126000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm,-8937000000,106013000000,17816000000,123837000000
2018-12-31,BLK,USD,0001364742,2019-02-28,2019-02-28 16:25:04,2018,FY,6488000000,0,6488000000,5337000000,30648000000,-9993000000,32480000000,643000000,13526000000,17839000000,31365000000,1796000000,163000000,93126000000,127093000000,0,159573000000,1292000000,1000000000,0,-23984000000,22984000000,1292000000,5063000000,1988000000,3571000000,114119000000,124741000000,0,0,126033000000,0,2000000,19282000000,-691000000,13781000000,32374000000,33540000000,159573000000,1166000000,159573000000,1796000000,5063000000,-1425000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/blk-10k_20181231.htm,-9993000000,93289000000,22984000000,116107000000
2017-12-31,BLK,USD,0001364742,2018-02-28,2018-02-28 14:38:00,2017,FY,7038000000,779000000,7038000000,4192000000,-779000000,-10268000000,35420000000,592000000,13220000000,17389000000,30609000000,1981000000,19000000,151596000000,184797000000,0,220217000000,1161000000,0,0,0,0,1161000000,5014000000,2153000000,3538000000,176060000000,186765000000,0,0,187926000000,0,2000000,16966000000,-432000000,15289000000,31825000000,32291000000,220217000000,466000000,220217000000,1981000000,5014000000,-2024000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/blk-10k_20171231.htm,24969000000,151615000000,0,178213000000
2016-12-31,BLK,USD,0001364742,2017-02-28,2017-02-28 15:14:26,2016,FY,6175000000,566000000,6175000000,3358000000,-566000000,-8998000000,37325000000,559000000,13118000000,17363000000,30481000000,1595000000,20000000,150197000000,182852000000,0,220177000000,1094000000,700000000,0,-30447000000,-700000000,1094000000,4915000000,1880000000,4840000000,178104000000,189739000000,0,0,190833000000,0,2000000,13660000000,-716000000,16152000000,29098000000,29344000000,220177000000,246000000,220177000000,1595000000,4915000000,-1260000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/blk-10k_20161231.htm,28358000000,150217000000,29747000000,179984000000
2015-12-31,BLK,USD,0001364742,2016-02-26,2016-02-26 13:40:10,2015,FY,6231000000,720000000,6231000000,3267000000,-720000000,32435000000,40834000000,581000000,13123000000,17372000000,30495000000,1578000000,0,151773000000,184427000000,0,225261000000,1068000000,0,0,0,0,1068000000,4930000000,1971000000,4851000000,183397000000,195149000000,0,0,196217000000,0,2000000,12033000000,-448000000,16916000000,28503000000,29044000000,225261000000,541000000,225261000000,1578000000,4930000000,-1301000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/0001564590-16-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/blk-10k_20151231.htm,32056000000,151773000000,0,185368000000
2014-12-31,BLK,USD,0001364742,2015-02-27,2015-02-27 16:34:29,2014,FY,6001000000,472000000,6001000000,5472000000,-472000000,34585000000,45127000000,467000000,12961000000,17344000000,30305000000,1921000000,0,161988000000,194681000000,0,239808000000,1035000000,0,0,0,0,1035000000,8327000000,1865000000,4989000000,196072000000,211253000000,0,0,212288000000,0,2000000,10145000000,-273000000,17492000000,27366000000,27520000000,239808000000,154000000,239808000000,1921000000,8327000000,2326000000,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/0001193125-15-069955-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/d822114d10k.htm,34126000000,161988000000,0,197937000000
