date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-12-31,BLK,USD,0001364742,2024-02-23,2024-02-23 14:28:07,2023,FY,5502000000,427000000,124000000,630000000,-418000000,-586000000,0,-26000000,194000000,-2126000000,4139000000,-344000000,-189000000,-944000000,472000000,72000000,-933000000,-1179000000,95000000,-1884000000,-3035000000,4011000000,-1992000000,106000000,1320000000,8736000000,7416000000,4139000000,-344000000,3795000000,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/0000950170-24-019271-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,0
2022-12-31,BLK,USD,0001364742,2023-02-24,2023-02-24 14:35:17,2022,FY,4994000000,418000000,602000000,708000000,-897000000,416000000,151000000,-151000000,-1313000000,-869000000,4956000000,-533000000,0,-909000000,242000000,70000000,-1130000000,-776000000,11000000,-2332000000,-2990000000,645000000,-5442000000,-291000000,-1907000000,7433000000,9340000000,4956000000,-533000000,4423000000,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/0000950170-23-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/blk-20221231.htm,0
2021-12-31,BLK,USD,0001364742,2022-02-25,2022-02-25 15:15:26,2021,FY,6205000000,415000000,-865000000,734000000,658000000,-322000000,-342000000,342000000,980000000,-2203000000,4944000000,-341000000,-1106000000,-1014000000,429000000,95000000,-1937000000,-750000000,1023000000,-1485000000,-2547000000,1472000000,-2287000000,-61000000,659000000,9340000000,8681000000,4944000000,-341000000,4603000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/blk-10k_20211231.htm,0
2020-12-31,BLK,USD,0001364742,2021-02-25,2021-02-25 15:55:29,2020,FY,5286000000,358000000,-157000000,622000000,169000000,-313000000,115000000,-115000000,482000000,-2535000000,3743000000,-194000000,0,-430000000,187000000,183000000,-254000000,-2296000000,-2296000000,-1809000000,-2260000000,8905000000,244000000,102000000,3835000000,8681000000,4846000000,3743000000,-194000000,3549000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/0001564590-21-008796-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/blk-10k_20201231.htm,0
2019-12-31,BLK,USD,0001364742,2020-02-28,2020-02-28 16:30:05,2019,FY,4526000000,405000000,17000000,567000000,-608000000,-433000000,111000000,-111000000,-175000000,-2023000000,2884000000,-254000000,-1510000000,-803000000,417000000,136000000,-2014000000,-1000000000,1103000000,-1911000000,-2096000000,1321000000,-2583000000,54000000,-1659000000,4846000000,6505000000,2884000000,-254000000,2630000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm,0
2018-12-31,BLK,USD,0001364742,2019-02-28,2019-02-28 16:25:04,2018,FY,4302000000,220000000,-226000000,564000000,-158000000,4000000,25000000,43000000,-230000000,-1627000000,3075000000,-204000000,-699000000,-378000000,449000000,24000000,-808000000,-40000000,0,-2087000000,-1968000000,1290000000,-2765000000,-93000000,-591000000,6505000000,7096000000,3075000000,-204000000,2871000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/blk-10k_20181231.htm,0
2017-12-31,BLK,USD,0001364742,2018-02-28,2018-02-28 14:38:00,2017,FY,5007000000,240000000,-1221000000,542000000,-152000000,-521000000,-215000000,308000000,276000000,-588000000,3828000000,-155000000,-102000000,-528000000,166000000,32000000,-587000000,-700000000,697000000,-1421000000,-1662000000,456000000,-2630000000,192000000,803000000,6894000000,6091000000,3828000000,-155000000,3673000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/blk-10k_20171231.htm,0
2016-12-31,BLK,USD,0001364742,2017-02-28,2017-02-28 15:14:26,2016,FY,3170000000,229000000,-14000000,521000000,-753000000,-86000000,-632000000,51000000,-86000000,-999000000,2154000000,-119000000,-30000000,-451000000,378000000,34000000,-188000000,0,26000000,-1399000000,-1545000000,1259000000,-1685000000,-273000000,8000000,6091000000,6083000000,2154000000,-119000000,2035000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/blk-10k_20161231.htm,0
2015-12-31,BLK,USD,0001364742,2016-02-26,2016-02-26 13:40:10,2015,FY,3352000000,247000000,-156000000,514000000,-542000000,-154000000,-500000000,14000000,98000000,-411000000,3004000000,-221000000,-273000000,-493000000,456000000,66000000,-465000000,-750000000,913000000,-1331000000,-1476000000,580000000,-2064000000,-115000000,360000000,6083000000,5723000000,3004000000,-221000000,2783000000,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/0001564590-16-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/blk-10k_20151231.htm,0
2014-12-31,BLK,USD,0001364742,2015-02-27,2015-02-27 16:34:29,2014,FY,3264000000,278000000,-104000000,453000000,-320000000,78000000,-430000000,-69000000,101000000,-490000000,3081000000,-66000000,0,-492000000,654000000,143000000,239000000,-488000000,1001000000,-1344000000,-1338000000,314000000,-1855000000,-132000000,1333000000,5723000000,4390000000,3081000000,-66000000,3015000000,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/0001193125-15-069955-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/d822114d10k.htm,0
