date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-12-31,BLK,USD,0001364742,2024-02-23,2024-02-23 14:28:07,2023,FY,18656000000,4160000000,14496000000,0.7770154374,607000000,1870000000,344000000,2214000000,-7457000000,7457000000,11617000000,473000000,292000000,427000000,7466000000,0.4001929674,7039000000,0.3773048885,116000000,7155000000,0.3835227273,1479000000,5502000000,0.2949185249,36.85,36.51,149327558,150706451,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/0000950170-24-019271-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,4636000000,7457000000,181000000,-65000000,174000000,7466000000
2022-12-31,BLK,USD,0001364742,2023-02-24,2023-02-24 14:35:17,2022,FY,17873000000,9086000000,8787000000,0.4916354277,600000000,1816000000,331000000,2147000000,151000000,2298000000,11384000000,152000000,212000000,407000000,6792000000,0.3800145471,6385000000,0.3572427684,-95000000,6290000000,0.3519274884,1296000000,5178000000,0.2897107369,34.31,33.97,150921161,152440471,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/0000950170-23-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/blk-20221231.htm,-345000000,2402000000,-60000000,-35000000,-184000000,6792000000
2021-12-31,BLK,USD,0001364742,2022-02-25,2022-02-25 15:15:26,2021,FY,19374000000,9556000000,9818000000,0.5067616393,508000000,1945000000,238000000,2183000000,147000000,2330000000,11886000000,87000000,205000000,272000000,7722000000,0.3985754103,7450000000,0.3845359761,723000000,8173000000,0.4218540312,1968000000,5901000000,0.3045834624,38.76,38.22,152236047,154404357,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/blk-10k_20211231.htm,-323000000,2368000000,-118000000,841000000,304000000,7722000000
2020-12-31,BLK,USD,0001364742,2021-02-25,2021-02-25 15:55:29,2020,FY,16205000000,7939000000,8266000000,0.5100894786,0,1618000000,229000000,1847000000,106000000,1953000000,9892000000,62000000,205000000,786000000,6481000000,0.3999382907,5695000000,0.3514347424,829000000,6524000000,0.4025917927,1238000000,4932000000,0.3043505091,32.13,31.85,153489422,154840582,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/0001564590-21-008796-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/blk-10k_20201231.htm,724000000,2571000000,-143000000,972000000,354000000,6481000000
2019-12-31,BLK,USD,0001364742,2020-02-28,2020-02-28 16:30:05,2019,FY,14539000000,7133000000,7406000000,0.5093885412,0,1324000000,350000000,1674000000,97000000,1771000000,8904000000,97000000,203000000,278000000,5829000000,0.400921659,5551000000,0.381800674,236000000,5787000000,0.3980328771,1261000000,4476000000,0.3078616136,28.69,28.43,156014343,157459546,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/blk-10k_20191231.htm,181000000,1855000000,-106000000,342000000,50000000,5829000000
2018-12-31,BLK,USD,0001364742,2019-02-28,2019-02-28 16:25:04,2018,FY,14198000000,6993000000,7205000000,0.5074658403,0,1196000000,361000000,1557000000,50000000,1607000000,8600000000,104000000,184000000,50000000,5752000000,0.4051274827,5457000000,0.3843499084,-140000000,5378000000,0.3787857445,1076000000,4305000000,0.30321172,26.75,26.48,160944893,162599126,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/blk-10k_20181231.htm,191000000,1748000000,-80000000,1000000,-3000000,5507000000
2017-12-31,BLK,USD,0001364742,2018-02-28,2018-02-28 14:38:00,2017,FY,13600000000,6811000000,6789000000,0.4991911765,0,1446000000,333000000,1446000000,5000000,1535000000,8346000000,49000000,205000000,89000000,5343000000,0.3928676471,5254000000,0.3863235294,5000000,5259000000,0.3866911765,270000000,4952000000,0.3641176471,30.42,30.0,162811846,165075334,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/blk-10k_20171231.htm,89000000,1535000000,-156000000,161000000,37000000,5343000000
2016-12-31,BLK,USD,0001364742,2017-02-28,2017-02-28 15:14:26,2016,FY,11155000000,5109000000,6046000000,0.5419991035,175000000,1301000000,325000000,1301000000,99000000,1400000000,6509000000,40000000,205000000,99000000,4785000000,0.4289556253,4570000000,0.4096817571,-21000000,4460000000,0.3998207082,1290000000,3172000000,0.2843567907,19.19,18.94,165086201,167248745,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/blk-10k_20161231.htm,0,1476000000,-165000000,55000000,-2000000,4669000000
2015-12-31,BLK,USD,0001364742,2016-02-26,2016-02-26 13:40:10,2015,FY,11401000000,5229000000,6172000000,0.5413560214,170000000,1380000000,365000000,1380000000,128000000,1508000000,6737000000,26000000,204000000,128000000,4876000000,0.4276817823,4664000000,0.4090869222,116000000,4602000000,0.4036488027,1250000000,3345000000,0.2933953162,20.02,19.71,167058240,169717439,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/0001564590-16-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/blk-10k_20151231.htm,-42000000,1508000000,-178000000,116000000,7000000,4792000000
2014-12-31,BLK,USD,0001364742,2015-02-27,2015-02-27 16:34:29,2014,FY,11081000000,4997000000,6084000000,0.5490479199,164000000,1453000000,413000000,1453000000,157000000,1610000000,6607000000,29000000,232000000,157000000,4619000000,0.4168396354,4474000000,0.4037541738,124000000,4395000000,0.3966248534,1131000000,3294000000,0.2972655897,19.5,19.17,168900755,171799457,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/0001193125-15-069955-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/d822114d10k.htm,-7000000,1610000000,-203000000,124000000,-30000000,4631000000
2013-12-31,BLK,USD,0001364742,2014-02-28,2014-02-28 14:29:28,2013,FY,10180000000,4622000000,5558000000,0.5459724951,160000000,1540000000,409000000,1540000000,161000000,1701000000,6323000000,22000000,211000000,161000000,4040000000,0.3968565815,3857000000,0.3788801572,305000000,3973000000,0.3902750491,1022000000,2932000000,0.2880157171,17.16,16.8,170869345,174527008,https://www.sec.gov/Archives/edgar/data/1364742/000119312514076587/0001193125-14-076587-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312514076587/d641151d10k.htm,1000000,1701000000,-189000000,305000000,19000000,4018000000
2012-12-31,BLK,USD,0001364742,2013-03-01,2013-02-28 17:48:24,2012,FY,9337000000,4297000000,5040000000,0.5397879405,150000000,1359000000,384000000,1359000000,157000000,1516000000,5813000000,36000000,215000000,157000000,3679000000,0.3940237764,3524000000,0.3774231552,125000000,3470000000,0.371639713,1030000000,2458000000,0.2632537218,13.97,13.73,175663670,178732607,https://www.sec.gov/Archives/edgar/data/1364742/000119312513084957/0001193125-13-084957-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312513084957/d439552d10k.htm,7000000,1516000000,-179000000,125000000,-18000000,3681000000
2011-12-31,BLK,USD,0001364742,2012-02-28,2012-02-28 17:27:56,2011,FY,9081000000,3585000000,5496000000,0.6052196895,0,5177000000,-3199000000,1978000000,237000000,2215000000,5800000000,34000000,176000000,156000000,3471000000,0.382226627,3249000000,0.3577799802,-4000000,3135000000,0.3452262967,796000000,2337000000,0.2573505121,12.51,12.32,185005386,187867879,https://www.sec.gov/Archives/edgar/data/1364742/000119312512085869/0001193125-12-085869-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312512085869/d270105d10k.htm,269000000,2247000000,-142000000,28000000,2000000,3405000000
2010-12-31,BLK,USD,0001364742,2011-02-28,2011-02-28 17:20:47,2010,FY,8612000000,3505000000,5107000000,0.5930097538,0,4944000000,-3097000000,1847000000,262000000,2109000000,5614000000,29000000,150000000,160000000,3187000000,0.3700650255,2998000000,0.3481189039,144000000,3021000000,0.3507895959,971000000,2063000000,0.2395494659,10.63,10.51,191319787,193465908,https://www.sec.gov/Archives/edgar/data/1364742/000119312511050218/0001193125-11-050218-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312511050218/d10k.htm,262000000,2109000000,-121000000,144000000,-13000000,3158000000
2009-12-31,BLK,USD,0001364742,2010-03-10,2010-03-10 17:25:57,2009,FY,4700000000,2279000000,2421000000,0.515106383,0,2676000000,-1897000000,779000000,247000000,1121000000,3400000000,20000000,68000000,147000000,1467000000,0.3121276596,1278000000,0.2719148936,20000000,1272000000,0.2706382979,375000000,875000000,0.1861702128,6.22,6.09,137218034,140041614,https://www.sec.gov/Archives/edgar/data/1364742/000119312510052764/0001193125-10-052764-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312510052764/d10k.htm,364000000,1143000000,-48000000,42000000,22000000,1425000000
2008-12-31,BLK,USD,0001364742,2009-03-02,2009-02-27 18:43:16,2008,FY,5063908000,597000000,4466908000,0.8821068629,0,1342218000,0,1342218000,276000000,3432958000,3432958000,64721000,65702000,275749000,1971420000,0.3893080206,1592597000,0.314499592,-610917000,1019052000,0.2012382531,387340000,786419000,0.1552988324,5.84,5.76,130063696,131904132,https://www.sec.gov/Archives/edgar/data/1364742/000119312509041298/0001193125-09-041298-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312509041298/d10k.htm,1532093000,2874311000,-981000,-572564000,-154707000,1868346000
2007-12-31,BLK,USD,0001364742,2008-02-28,2008-02-28 16:45:02,2007,FY,4844655000,547620000,4297035000,0.8869640872,0,2765544000,0,2765544000,237827000,3003371000,3550991000,74466000,49412000,198824000,1566954000,0.3234397496,1293664000,0.267029128,504001000,1822719000,0.3762329825,463832000,995272000,0.2054371261,7.5,7.34,129004578,131905682,https://www.sec.gov/Archives/edgar/data/1364742/000119312508041884/0001193125-08-041884-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312508041884/d10k.htm,237827000,3003371000,25054000,504001000,363615000,1492488000
2006-12-31,BLK,USD,0001364742,2007-03-13,2007-03-13 14:24:33,2006,FY,2097976000,0,2097976000,1.0,0,443260000,0,443260000,1182916000,1626176000,1626176000,0,0,72809000,478260000,0.2279625696,471800000,0.2248834114,66349000,528233000,0.2517821939,189463000,322602000,0.1537682033,3.98,3.85,80962014,83693165,https://www.sec.gov/Archives/edgar/data/1364742/000119312507053304/0001193125-07-053304-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312507053304/d10k.htm,1182916000,1626176000,0,56433000,16168000,544609000
2005-12-31,BLK,USD,0001364742,2005-12-31,2005-12-30 19:00:00,2005,FY,1191386000,0,1191386000,1.0,0,204850000,0,204850000,645995000,850845000,850845000,0,0,30902000,328305000,0.2755656017,340541000,0.2858359927,43138000,375755000,0.3153931639,138558000,233908000,0.1963326747,3.63,3.49,64440527,67143723,,,645995000,850845000,0,35214000,3289000,371443000
2004-12-31,BLK,USD,0001364742,2004-12-31,2004-12-30 19:00:00,2004,FY,725311000,0,725311000,1.0,0,128738000,0,128738000,424678000,553416000,553416000,0,0,20686000,163203000,0.2250110642,165798000,0.2285888398,29378000,200438000,0.2763476633,52264000,143141000,0.1973512052,2.24,2.16,63944733,66225373,,,430775000,559513000,0,34640000,5033000,186484000
2003-12-31,BLK,USD,0001364742,2003-12-31,2003-12-30 19:00:00,2003,FY,598212000,0,598212000,1.0,0,107333000,0,107333000,262603000,369936000,369936000,0,0,21366000,226296000,0.3782872961,228276000,0.3815971595,23346000,250902000,0.4194198712,95247000,155402000,0.2597774702,2.39,2.35,64913003,66124866,,,262603000,369936000,0,22626000,253000,249642000
2002-12-31,BLK,USD,0001364742,2002-12-31,2002-12-30 19:00:00,2002,FY,576977000,0,576977000,1.0,0,90076000,0,90076000,271762000,361838000,361838000,0,0,20238000,225885000,0.391497408,215139000,0.3728727488,9492000,223948000,0.3881402552,90699000,133249000,0.2309433478,2.05,2.03,65016354,65569826,,,271762000,361838000,0,8809000,0,235377000
2001-12-31,BLK,USD,0001364742,2001-12-31,2001-12-30 19:00:00,2001,FY,533144000,0,533144000,1.0,0,76567000,0,76567000,286401000,362968000,362968000,0,0,26021000,184621000,0.346287307,170176000,0.3191933136,11576000,180991000,0.3394786399,73557000,107434000,0.2015102862,1.66,1.64,64529655,65186946,,,286401000,362968000,0,10815000,0,196197000
2000-12-31,BLK,USD,0001364742,2000-12-31,2000-12-30 19:00:00,2000,FY,476872000,0,476872000,1.0,0,58311000,0,58311000,275523000,333834000,333834000,0,0,19995000,163033000,0.3418800013,143038000,0.2999505108,6879000,149917000,0.3143757654,62556000,87361000,0.18319591,1.36,1.34,64142924,64850106,,,275523000,333834000,0,6879000,0,163033000
1999-12-31,BLK,USD,0001364742,1999-12-31,1999-12-30 19:00:00,1999,FY,380981000,0,380981000,1.0,0,48570000,0,48570000,221468000,270038000,270038000,0,0,18153000,129096000,0.3388515438,110943000,0.2912034983,-7493000,103450000,0.2715358509,44033000,59417000,0.1559579087,1.04,1.04,57286158,57498907,,,221468000,270038000,0,-7493000,0,129096000
1998-12-31,BLK,USD,0001364742,1998-12-31,1998-12-30 19:00:00,1998,FY,341500000,0,341500000,1.0,0,148400000,0,148400000,-255900000,-107500000,-107500000,0,0,12900000,466200000,1.3651537335,449000000,1.3147877013,-4300000,68000000,0.1991215227,32400000,35600000,0.1042459736,0.67,0.66,53721938,53897794,,,-255900000,-107500000,0,-381000000,0,461900000
