date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-12-31,BMY,USD,0000014272,2024-02-13,2024-02-13 11:54:06,2023,FY,11464000000,816000000,12280000000,15264000000,2662000000,1509000000,31770000000,8036000000,21169000000,27485000000,48654000000,2063000000,2768000000,1868000000,63389000000,0,95159000000,3259000000,3281000000,1371000000,4224000000,11498000000,22262000000,38183000000,300000000,338000000,4591000000,43412000000,0,1692000000,65674000000,0,292000000,28766000000,-1546000000,1918000000,29430000000,29485000000,95159000000,55000000,95159000000,816000000,41464000000,30000000000,https://www.sec.gov/Archives/edgar/data/14272/000001427224000044/0000014272-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427224000044/bmy-20231231.htm,1564000000,4636000000,10127000000,4891000000
2022-12-31,BMY,USD,0000014272,2023-02-14,2023-02-14 16:24:27,2022,FY,9123000000,130000000,9123000000,13937000000,2339000000,1596000000,27273000000,7475000000,21149000000,36355000000,57504000000,2187000000,1344000000,1037000000,69547000000,0,96820000000,3040000000,4400000000,942000000,1344000000,13106000000,21890000000,36317000000,283000000,2166000000,5046000000,43812000000,0,1397000000,65702000000,0,292000000,25503000000,-1281000000,6547000000,31061000000,31118000000,96820000000,57000000,96820000000,2317000000,40717000000,31594000000,https://www.sec.gov/Archives/edgar/data/14272/000001427223000046/0000014272-23-000046-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427223000046/bmy-20221231.htm,1874000000,2381000000,12164000000,5329000000
2021-12-31,BMY,USD,0000014272,2022-02-09,2022-02-09 11:44:38,2021,FY,13979000000,3242000000,13979000000,12516000000,2095000000,1290000000,33262000000,6968000000,20502000000,42775000000,63277000000,2713000000,1439000000,1655000000,76052000000,0,109314000000,2949000000,5117000000,754000000,3693000000,10109000000,21868000000,40479000000,326000000,4501000000,6134000000,51440000000,0,1043000000,73308000000,0,292000000,23820000000,-1268000000,13102000000,35946000000,36006000000,109314000000,60000000,109314000000,5955000000,45596000000,31617000000,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm,4672000000,3094000000,9355000000,6460000000
2020-12-31,BMY,USD,0000014272,2021-02-10,2021-02-10 15:13:50,2020,FY,14546000000,1285000000,14546000000,8501000000,2074000000,1368000000,30192000000,6745000000,20547000000,53243000000,73790000000,4509000000,1161000000,2084000000,88289000000,0,118481000000,2713000000,2504000000,647000000,3622000000,10241000000,19080000000,49169000000,357000000,5407000000,6586000000,61519000000,0,997000000,80599000000,0,292000000,21281000000,-1839000000,18088000000,37822000000,37882000000,118481000000,60000000,118481000000,5794000000,51673000000,37127000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/0000014272-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/bmy-20201231.htm,5071000000,3245000000,9594000000,6943000000
2019-12-31,BMY,USD,0000014272,2020-02-24,2020-02-24 16:10:27,2019,FY,12346000000,3047000000,12346000000,7685000000,4293000000,1983000000,29354000000,6252000000,22488000000,63969000000,86457000000,767000000,510000000,6604000000,100590000000,0,129944000000,2445000000,3479000000,1517000000,4492000000,7888000000,18304000000,44059000000,424000000,6454000000,9005000000,59942000000,0,805000000,78246000000,0,292000000,34474000000,-1520000000,18352000000,51598000000,51698000000,129944000000,100000000,129944000000,3814000000,47538000000,35192000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm,5030000000,7114000000,6371000000,9429000000
2018-12-31,BMY,USD,0000014272,2019-02-25,2019-02-25 16:52:22,2018,FY,6911000000,1973000000,8884000000,5965000000,1195000000,1116000000,8884000000,5027000000,6538000000,1091000000,7629000000,1775000000,1371000000,-14027000000,1775000000,0,10659000000,1892000000,1703000000,398000000,172000000,-2064000000,1703000000,5646000000,468000000,-4559000000,4091000000,5646000000,0,0,7349000000,0,221000000,34065000000,-2762000000,-17493000000,14031000000,14127000000,10659000000,96000000,21476000000,3748000000,7349000000,438000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/bmy-20181231x10xk.htm,-7160000000,-12656000000,-2462000000,4559000000
2017-12-31,BMY,USD,0000014272,2018-02-13,2018-02-13 09:26:31,2017,FY,5421000000,1391000000,6812000000,6300000000,1166000000,576000000,14854000000,5001000000,6863000000,1210000000,8073000000,2480000000,1610000000,1533000000,18697000000,0,33551000000,2248000000,987000000,231000000,83000000,6245000000,9563000000,6975000000,454000000,0,4712000000,12141000000,0,0,21704000000,0,221000000,31160000000,-2289000000,-17351000000,11741000000,11847000000,33551000000,106000000,33551000000,3871000000,7962000000,2541000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/bmy-20171231x10xk.htm,576000000,3143000000,6014000000,5166000000
2016-12-31,BMY,USD,0000014272,2017-02-21,2017-02-21 12:04:14,2016,FY,4237000000,2113000000,4237000000,5543000000,1241000000,2683000000,13704000000,4980000000,6875000000,1385000000,8260000000,2719000000,2996000000,1048000000,20003000000,0,33707000000,1664000000,992000000,152000000,762000000,5423000000,8841000000,5716000000,547000000,0,2256000000,8519000000,0,0,17360000000,0,221000000,33513000000,-2503000000,-15054000000,16177000000,16347000000,33707000000,170000000,33707000000,4832000000,6708000000,2471000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/0000014272-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/bmy-20161231x10xk.htm,2683000000,4044000000,5271000000,2803000000
2015-12-31,BMY,USD,0000014272,2016-02-12,2016-02-12 08:02:37,2015,FY,2385000000,1885000000,2385000000,4299000000,1221000000,2510000000,10415000000,4412000000,6881000000,1419000000,8300000000,4660000000,2844000000,1117000000,21333000000,0,31748000000,1565000000,139000000,572000000,1003000000,5310000000,8017000000,6550000000,586000000,1691000000,480000000,9307000000,0,0,17324000000,0,221000000,31613000000,-2468000000,-15100000000,14266000000,14424000000,31748000000,158000000,31748000000,6545000000,6689000000,4304000000,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/0000014272-16-000288-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/bmy-20151231x10xk.htm,2510000000,3961000000,4738000000,1066000000
2014-12-31,BMY,USD,0000014272,2015-02-13,2015-02-13 09:38:42,2014,FY,5571000000,1864000000,5571000000,3390000000,1560000000,4087000000,14608000000,4417000000,7027000000,1753000000,8780000000,4408000000,915000000,621000000,19141000000,0,33749000000,2487000000,590000000,262000000,1167000000,4217000000,8461000000,7242000000,770000000,1675000000,618000000,10305000000,0,0,18766000000,0,221000000,32541000000,-2425000000,-15485000000,14852000000,14983000000,33749000000,131000000,33749000000,6272000000,7832000000,2261000000,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/0000014272-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm,4087000000,1536000000,3955000000,1388000000
