date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-12-31,BMY,USD,0000014272,2024-02-13,2024-02-13 11:54:06,2023,FY,8040000000,9760000000,-3288000000,518000000,-1914000000,-995000000,-751000000,198000000,-366000000,744000000,13860000000,-1209000000,-260000000,-1774000000,948000000,83000000,-2295000000,-3879000000,3879000000,-5155000000,-4744000000,483000000,-9416000000,45000000,2194000000,11519000000,9325000000,13860000000,-1209000000,12651000000,https://www.sec.gov/Archives/edgar/data/14272/000001427224000044/0000014272-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427224000044/bmy-20231231.htm,0
2022-12-31,BMY,USD,0000014272,2023-02-14,2023-02-14 16:24:27,2022,FY,6345000000,10276000000,-2738000000,457000000,-2229000000,-663000000,-69000000,109000000,-1606000000,955000000,13066000000,-1118000000,-2981000000,-3592000000,6629000000,4342000000,-1062000000,-11431000000,0,-8001000000,-4634000000,7104000000,-16962000000,-33000000,-4991000000,9325000000,14316000000,13066000000,-1118000000,11948000000,https://www.sec.gov/Archives/edgar/data/14272/000001427223000046/0000014272-23-000046-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427223000046/bmy-20221231.htm,0
2021-12-31,BMY,USD,0000014272,2022-02-09,2022-02-09 11:44:38,2021,FY,7014000000,10686000000,-1393000000,583000000,-1253000000,-2117000000,13000000,245000000,606000000,570000000,16207000000,-973000000,-862000000,-5478000000,6775000000,2045000000,-538000000,-6022000000,-160000000,-6287000000,-4396000000,641000000,-16224000000,-102000000,-657000000,14316000000,14973000000,16207000000,-973000000,15234000000,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm,0
2020-12-31,BMY,USD,0000014272,2021-02-10,2021-02-10 15:13:50,2020,FY,-8995000000,10380000000,983000000,779000000,983000000,-2951000000,2672000000,188000000,1074000000,9922000000,14052000000,-753000000,-12214000000,-4172000000,6280000000,2978000000,-10859000000,-2750000000,6678000000,-1546000000,-4075000000,542000000,-1151000000,111000000,2153000000,14973000000,12820000000,14052000000,-753000000,13299000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/0000014272-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/bmy-20201231.htm,0
2019-12-31,BMY,USD,0000014272,2020-02-24,2020-02-24 16:10:27,2019,FY,3460000000,1746000000,-924000000,441000000,3065000000,1659000000,463000000,229000000,714000000,279000000,8067000000,-836000000,-8782000000,-3961000000,3809000000,15700000000,-9770000000,-9256000000,26909000000,-7300000000,-2679000000,-53000000,7621000000,-9000000,5909000000,12820000000,6911000000,8067000000,-836000000,7231000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm,0
2018-12-31,BMY,USD,0000014272,2019-02-25,2019-02-25 16:52:22,2018,FY,4947000000,637000000,86000000,221000000,176000000,-267000000,-216000000,-59000000,718000000,-127000000,5940000000,-951000000,3000000,-2305000000,2379000000,1323000000,-874000000,-5000000,-543000000,-320000000,-2613000000,-54000000,-3535000000,-41000000,1490000000,6911000000,5421000000,5940000000,-951000000,4989000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/bmy-20181231x10xk.htm,0
2017-12-31,BMY,USD,0000014272,2018-02-13,2018-02-13 09:26:31,2017,FY,975000000,789000000,1010000000,199000000,1588000000,-431000000,-29000000,320000000,1728000000,714000000,5275000000,-1055000000,14000000,-5437000000,6412000000,1715000000,-66000000,-1224000000,2215000000,-2469000000,-2577000000,-22000000,-4077000000,52000000,1184000000,5421000000,4237000000,5275000000,-1055000000,4220000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/bmy-20171231x10xk.htm,0
2016-12-31,BMY,USD,0000014272,2017-02-21,2017-02-21 12:04:14,2016,FY,4507000000,382000000,-204000000,205000000,-1360000000,-803000000,-152000000,104000000,-509000000,-680000000,2850000000,-1215000000,975000000,-3089000000,4809000000,3054000000,1480000000,-15000000,181000000,-231000000,-2547000000,167000000,-2445000000,-33000000,1852000000,4237000000,2385000000,2850000000,-1215000000,1635000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/0000014272-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/bmy-20161231x10xk.htm,0
2015-12-31,BMY,USD,0000014272,2016-02-12,2016-02-12 08:02:37,2015,FY,1631000000,376000000,-347000000,235000000,-1028000000,-942000000,97000000,-919000000,736000000,965000000,1832000000,-820000000,-403000000,-3143000000,2794000000,359000000,-1572000000,-1957000000,266000000,819000000,-2477000000,-2000000,-3351000000,-95000000,-3186000000,2385000000,5571000000,1832000000,-820000000,1012000000,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/0000014272-16-000288-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/bmy-20151231x10xk.htm,0
2014-12-31,BMY,USD,0000014272,2015-02-13,2015-02-13 09:38:42,2014,FY,2029000000,467000000,-542000000,213000000,201000000,-252000000,-254000000,-44000000,751000000,780000000,3148000000,-526000000,3366000000,-5719000000,4095000000,1961000000,1216000000,-676000000,288000000,244000000,-2398000000,105000000,-2437000000,58000000,1985000000,5571000000,3586000000,3148000000,-526000000,2622000000,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/0000014272-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm,0
