date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-12-31,BMY,USD,0000014272,2024-02-13,2024-02-13 11:54:06,2023,FY,45006000000,10693000000,34313000000,0.7624094565,9299000000,6372000000,1400000000,7772000000,1382000000,26118000000,36811000000,449000000,1166000000,9760000000,19177000000,0.4260987424,17242000000,0.383104475,1411000000,8440000000,0.1875305515,400000000,8025000000,0.1783095587,3.88,3.86,2069000000,2078000000,https://www.sec.gov/Archives/edgar/data/14272/000001427224000044/0000014272-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427224000044/bmy-20231231.htm,0,17071000000,-717000000,-8085000000,15000000,27002000000
2022-12-31,BMY,USD,0000014272,2023-02-14,2023-02-14 16:24:27,2022,FY,46159000000,10137000000,36022000000,0.7803895232,9509000000,0,7814000000,7814000000,9595000000,26918000000,37055000000,171000000,1232000000,9595000000,19923000000,0.4316168028,10328000000,0.2237483481,-2615000000,7713000000,0.1670963409,1368000000,6327000000,0.1370696939,2.97,2.95,2130000000,2146000000,https://www.sec.gov/Archives/edgar/data/14272/000001427223000046/0000014272-23-000046-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427223000046/bmy-20221231.htm,8371000000,25694000000,-1061000000,-1554000000,18000000,19923000000
2021-12-31,BMY,USD,0000014272,2022-02-09,2022-02-09 11:44:38,2021,FY,46385000000,9940000000,36445000000,0.7857065862,10195000000,0,7690000000,7690000000,10023000000,27908000000,37848000000,120000000,1334000000,10023000000,20182000000,0.4350975531,10159000000,0.2190147677,-2061000000,8098000000,0.1745823003,1084000000,6994000000,0.1507815026,3.15,3.12,2221000000,2245000000,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/bmy-20211231.htm,8401000000,26286000000,-1214000000,-847000000,20000000,20182000000
2020-12-31,BMY,USD,0000014272,2021-02-10,2021-02-10 15:13:50,2020,FY,42518000000,11773000000,30745000000,0.7231055083,11143000000,0,7661000000,7661000000,9764000000,28568000000,40341000000,121000000,1420000000,9688000000,14816000000,0.3484641799,5128000000,0.1206077426,-11999000000,-6871000000,-0.161602145,2124000000,-8995000000,-0.211557458,-3.98,-3.98,2258000000,2258000000,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/0000014272-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/bmy-20201231.htm,6813000000,25617000000,-1299000000,-10700000000,0,14816000000
2019-12-31,BMY,USD,0000014272,2020-02-24,2020-02-24 16:10:27,2019,FY,26145000000,8078000000,18067000000,0.6910307898,6148000000,0,4871000000,4871000000,1135000000,12154000000,20232000000,464000000,656000000,1135000000,6599000000,0.2524000765,5464000000,0.2089883343,-489000000,4975000000,0.1902849493,1515000000,3439000000,0.1315356665,2.02,2.01,1705000000,1712000000,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/bmy-20191231x10xk.htm,1584000000,12603000000,-192000000,-297000000,21000000,6599000000
2018-12-31,BMY,USD,0000014272,2019-02-25,2019-02-25 16:52:22,2018,FY,22561000000,6547000000,16014000000,0.7098089624,6345000000,0,4551000000,4551000000,1372000000,10896000000,17443000000,0,183000000,637000000,6071000000,0.2690926821,5118000000,0.2268516466,1075000000,6010000000,0.2663889012,1031000000,4952000000,0.2194938168,3.03,3.03,1633000000,1637000000,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/bmy-20181231x10xk.htm,0,10896000000,-183000000,1075000000,27000000,5755000000
2017-12-31,BMY,USD,0000014272,2018-02-13,2018-02-13 09:26:31,2017,FY,20776000000,6066000000,14710000000,0.7080284944,6411000000,162000000,4687000000,4849000000,1404000000,11260000000,17326000000,0,196000000,789000000,5718000000,0.2752214093,3450000000,0.1660569888,1877000000,5131000000,0.246967655,4156000000,1007000000,0.0484693878,0.61,0.61,1645000000,1652000000,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/bmy-20171231x10xk.htm,0,11260000000,-196000000,1877000000,-32000000,4239000000
2016-12-31,BMY,USD,0000014272,2017-02-21,2017-02-21 12:04:14,2016,FY,19427000000,4946000000,14481000000,0.7454058784,4940000000,91000000,4911000000,5002000000,1001000000,9942000000,14888000000,0,167000000,382000000,5617000000,0.2891336799,4539000000,0.2336438977,1543000000,5915000000,0.3044731559,1408000000,4457000000,0.229422968,2.67,2.65,1671000000,1680000000,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/0000014272-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/bmy-20161231x10xk.htm,0,9942000000,-167000000,1543000000,50000000,4921000000
2015-12-31,BMY,USD,0000014272,2016-02-12,2016-02-12 08:02:37,2015,FY,16560000000,3909000000,12651000000,0.7639492754,5920000000,160000000,4841000000,5001000000,621000000,10921000000,14830000000,0,184000000,376000000,2434000000,0.1469806763,1730000000,0.104468599,621000000,2167000000,0.1308574879,477000000,1624000000,0.0980676329,0.97,0.97,1667000000,1679000000,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/0000014272-16-000288-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/bmy-20151231x10xk.htm,0,10921000000,-184000000,621000000,66000000,2106000000
2014-12-31,BMY,USD,0000014272,2015-02-13,2015-02-13 09:38:42,2014,FY,15879000000,3932000000,11947000000,0.7523773537,4534000000,877000000,4822000000,5699000000,313000000,10233000000,14165000000,0,203000000,467000000,2134000000,0.1343913345,1714000000,0.1079413061,870000000,2381000000,0.1499464702,352000000,2004000000,0.1262044209,1.21,1.2,1657000000,1670000000,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/0000014272-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm,0,10233000000,-203000000,870000000,25000000,2181000000
2013-12-31,BMY,USD,0000014272,2014-02-14,2014-02-14 09:37:38,2013,FY,16385000000,4619000000,11766000000,0.7180958193,3731000000,165000000,4939000000,5104000000,133000000,8835000000,13454000000,0,199000000,763000000,3230000000,0.1971315227,2931000000,0.1788831248,159000000,2891000000,0.1764418676,311000000,2563000000,0.1564235581,1.56,1.54,1644000000,1662000000,https://www.sec.gov/Archives/edgar/data/14272/000001427214000054/0000014272-14-000054-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427214000054/bmy-20131231x10xk.htm,0,8835000000,-199000000,159000000,17000000,3694000000
2012-12-31,BMY,USD,0000014272,2013-02-15,2013-02-15 08:55:25,2012,FY,17621000000,4610000000,13011000000,0.7383803416,3904000000,158000000,5017000000,5175000000,245000000,9079000000,13689000000,0,182000000,681000000,4360000000,0.2474320413,3932000000,0.2231428409,-1410000000,2340000000,0.1327960956,-161000000,1960000000,0.1112309177,1.17,1.16,1670000000,1688000000,https://www.sec.gov/Archives/edgar/data/14272/000119312513061678/0001193125-13-061678-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312513061678/d450621d10k.htm,0,9079000000,-182000000,-1410000000,541000000,4613000000
2011-12-31,BMY,USD,0000014272,2012-02-17,2012-02-17 08:44:56,2011,FY,21244000000,5598000000,15646000000,0.7364903031,3839000000,4203000000,957000000,5160000000,0,8611000000,14209000000,91000000,145000000,801000000,7126000000,0.3354358878,6647000000,0.3128883449,45000000,6981000000,0.3286104312,1721000000,3709000000,0.1745904726,2.18,2.16,1700000000,1717000000,https://www.sec.gov/Archives/edgar/data/14272/000119312512066416/0001193125-12-066416-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312512066416/d302058d10k.htm,0,8999000000,-54000000,388000000,1551000000,7448000000
2010-12-31,BMY,USD,0000014272,2011-02-18,2011-02-18 13:34:50,2010,FY,19484000000,5277000000,14207000000,0.7291623897,3566000000,3559000000,977000000,4536000000,284000000,7707000000,12984000000,75000000,145000000,744000000,6575000000,0.3374563745,5605000000,0.2876719359,-359000000,6071000000,0.3115889961,1558000000,3102000000,0.1592075549,1.81,1.8,1713000000,1727000000,https://www.sec.gov/Archives/edgar/data/14272/000119312511040120/0001193125-11-040120-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312511040120/d10k.htm,500000000,8602000000,-70000000,536000000,1411000000,6349000000
