date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-12-31,JNJ,USD,0000200406,2024-02-16,2024-02-16 16:12:22,2023,FY,21859000000,1068000000,22927000000,14873000000,11181000000,4514000000,53495000000,20898000000,36558000000,34175000000,70733000000,4473000000,9279000000,8680000000,114063000000,0,167558000000,9632000000,3451000000,2993000000,2993000000,30206000000,46282000000,25881000000,1100000000,3193000000,22328000000,52502000000,0,1100000000,98784000000,0,3120000000,153843000000,-12527000000,-75662000000,68774000000,68774000000,167558000000,0,167558000000,5541000000,30432000000,8573000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm,4514000000,17959000000,27213000000,23428000000
2022-12-31,JNJ,USD,0000200406,2023-02-16,2023-02-16 16:01:53,2022,FY,14127000000,9392000000,23519000000,16160000000,12483000000,3132000000,55294000000,19803000000,45231000000,48325000000,93556000000,576000000,9123000000,9026000000,132084000000,0,187378000000,11703000000,12771000000,2127000000,0,31328000000,55802000000,26888000000,0,6374000000,21510000000,54772000000,0,1100000000,110574000000,0,3120000000,128345000000,-12967000000,-41694000000,76804000000,76804000000,187378000000,0,187378000000,9392000000,39659000000,25532000000,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/0000200406-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,3132000000,18149000000,29201000000,21510000000
2021-12-31,JNJ,USD,0000200406,2022-02-17,2022-02-17 16:06:50,2021,FY,14487000000,17121000000,31608000000,15283000000,10387000000,3701000000,60979000000,18962000000,35246000000,46392000000,81638000000,1884000000,10223000000,8332000000,121039000000,0,182018000000,11055000000,3766000000,1112000000,0,30405000000,45226000000,29985000000,14611000000,7487000000,10686000000,62769000000,0,1000000000,107995000000,0,3120000000,123060000000,-13058000000,-39099000000,74023000000,74023000000,182018000000,0,182018000000,17121000000,33751000000,19264000000,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/0000200406-22-000022-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,3701000000,18555000000,29293000000,25297000000
2020-12-31,JNJ,USD,0000200406,2021-02-22,2021-02-22 16:36:14,2020,FY,13985000000,11200000000,25185000000,13576000000,9344000000,3132000000,51237000000,18766000000,36393000000,53402000000,89795000000,1481000000,8534000000,5081000000,123657000000,0,174894000000,9505000000,2631000000,1392000000,0,30357000000,42493000000,32635000000,17330000000,7214000000,11944000000,69123000000,0,1100000000,111616000000,0,3120000000,113890000000,-15242000000,-38490000000,63278000000,63278000000,174894000000,0,174894000000,11200000000,35266000000,21281000000,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,3132000000,13615000000,28965000000,29274000000
2019-12-29,JNJ,USD,0000200406,2020-02-18,2020-02-18 16:34:21,2019,FY,17305000000,1982000000,19287000000,14481000000,9020000000,2486000000,45274000000,17658000000,33639000000,47643000000,81282000000,1148000000,7819000000,4547000000,112454000000,0,157728000000,8544000000,1202000000,2266000000,0,26218000000,35964000000,26494000000,18107000000,5958000000,11734000000,62293000000,0,716000000,98257000000,0,3120000000,110659000000,-15891000000,-38417000000,59471000000,59471000000,157728000000,0,157728000000,1982000000,27696000000,10391000000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm,2486000000,12366000000,23952000000,29841000000
2018-12-30,JNJ,USD,0000200406,2019-02-20,2019-02-20 16:40:34,2018,FY,18107000000,1580000000,19687000000,14098000000,8599000000,3649000000,46033000000,17035000000,30453000000,47611000000,78064000000,12091000000,7640000000,-7909000000,106921000000,0,152954000000,7537000000,2796000000,818000000,7640000000,13257000000,31230000000,27684000000,18193000000,7506000000,8589000000,61972000000,0,0,93202000000,0,3120000000,106216000000,-15222000000,-34362000000,59752000000,59752000000,152954000000,0,152954000000,13671000000,30480000000,12373000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm,3649000000,-269000000,12439000000,26782000000
2017-12-31,JNJ,USD,0000200406,2018-02-21,2018-02-21 16:49:20,2017,FY,17824000000,472000000,18296000000,13490000000,8765000000,2537000000,43088000000,17005000000,31906000000,53228000000,85134000000,751000000,7105000000,4220000000,114215000000,0,157303000000,7310000000,3906000000,1854000000,1854000000,17467000000,30537000000,30675000000,18546000000,8368000000,9017000000,66606000000,0,0,97143000000,0,3120000000,101793000000,-13199000000,-31554000000,60160000000,60160000000,157303000000,0,157303000000,472000000,34581000000,16757000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/form10-k20171231.htm,2537000000,11325000000,15613000000,27563000000
2016-12-31,JNJ,USD,0000200406,2017-02-27,2017-02-27 16:52:48,2016,FY,18972000000,22935000000,41907000000,11699000000,8144000000,3282000000,65032000000,15912000000,22805000000,26876000000,49681000000,1209000000,6148000000,3226000000,76176000000,0,141208000000,6918000000,4684000000,971000000,6148000000,8537000000,26287000000,22442000000,9615000000,2910000000,9536000000,44503000000,0,0,70790000000,0,3120000000,110551000000,-14901000000,-28352000000,70418000000,70418000000,141208000000,0,141208000000,22935000000,27126000000,8154000000,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/0000200406-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/form10-k20170101.htm,3282000000,9374000000,7566000000,19151000000
2015-12-31,JNJ,USD,0000200406,2016-02-24,2016-02-24 16:58:53,2015,FY,13732000000,24644000000,38376000000,10734000000,8053000000,3047000000,60210000000,15905000000,21629000000,25764000000,47393000000,1494000000,5490000000,2919000000,73201000000,0,133411000000,6668000000,7004000000,750000000,5490000000,8585000000,27747000000,12857000000,8854000000,2562000000,10241000000,34514000000,0,0,62261000000,0,3120000000,103879000000,-13165000000,-22684000000,71150000000,71150000000,133411000000,0,133411000000,24644000000,19861000000,6129000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/0000200406-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/form10-k20160103.htm,3047000000,8409000000,7835000000,19095000000
2014-12-28,JNJ,USD,0000200406,2015-02-24,2015-02-23 19:11:03,2014,FY,14523000000,18566000000,33089000000,10985000000,8184000000,7053000000,59311000000,16126000000,21832000000,27222000000,49054000000,708000000,3396000000,2524000000,71808000000,0,131119000000,7633000000,3638000000,500000000,3567000000,10247000000,25085000000,15122000000,9972000000,3154000000,8034000000,36282000000,0,0,61367000000,0,3120000000,97245000000,-10722000000,-19891000000,69752000000,69752000000,131119000000,0,131119000000,18566000000,18760000000,4237000000,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/0000200406-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/a2014122810-k.htm,7053000000,5920000000,9747000000,18006000000
