date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-12-31,JNJ,USD,0000200406,2024-02-16,2024-02-16 16:12:22,2023,FY,13326000000,7486000000,-4194000000,1162000000,2507000000,-624000000,-1323000000,2346000000,2108000000,2504000000,22791000000,-4543000000,358000000,-10906000000,19390000000,-3421000000,878000000,-10781000000,13382000000,-5054000000,-11770000000,-1602000000,-15825000000,-112000000,8970000000,21859000000,12889000000,22791000000,-4543000000,18248000000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm,0
2022-12-31,JNJ,USD,0000200406,2023-02-16,2023-02-16 16:01:53,2022,FY,17941000000,6970000000,-1663000000,1138000000,-4011000000,-1290000000,-2527000000,1098000000,-1292000000,819000000,21194000000,-4009000000,-17652000000,-32384000000,41609000000,65000000,-12371000000,-8684000000,1329000000,-6035000000,-11682000000,16201000000,-8871000000,-312000000,-360000000,14127000000,14487000000,21194000000,-4009000000,17185000000,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/0000200406-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,0
2021-12-31,JNJ,USD,0000200406,2022-02-17,2022-02-17 16:06:50,2021,FY,20878000000,7390000000,-2079000000,1135000000,-4238000000,-2402000000,-1248000000,2437000000,-3025000000,324000000,23410000000,-3652000000,-60000000,-30394000000,25006000000,417000000,-8683000000,-2992000000,3038000000,-3456000000,-11032000000,395000000,-14047000000,-178000000,502000000,14487000000,13985000000,23410000000,-3652000000,19758000000,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/0000200406-22-000022-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,0
2020-12-31,JNJ,USD,0000200406,2021-02-22,2021-02-22 16:36:14,2020,FY,14714000000,7231000000,-1141000000,1005000000,2690000000,774000000,-265000000,5141000000,-2960000000,-963000000,23536000000,-3347000000,-7323000000,-21089000000,12137000000,-1203000000,-20825000000,-3727000000,11936000000,-3221000000,-10481000000,-627000000,-6120000000,89000000,-3320000000,13985000000,17305000000,23536000000,-3347000000,20189000000,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,0
2019-12-29,JNJ,USD,0000200406,2020-02-18,2020-02-18 16:34:21,2019,FY,15119000000,7009000000,-2476000000,977000000,3865000000,-289000000,-277000000,4060000000,371000000,-1078000000,23416000000,-3498000000,-5810000000,-3920000000,3725000000,3309000000,-6194000000,-2923000000,996000000,-6746000000,-9917000000,575000000,-18015000000,-9000000,-802000000,17305000000,18107000000,23416000000,-3498000000,19918000000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm,0
2018-12-30,JNJ,USD,0000200406,2019-02-20,2019-02-20 16:40:34,2018,FY,15297000000,6929000000,-1016000000,978000000,3000000,-1185000000,-644000000,-12971000000,14803000000,10000000,22201000000,-3670000000,-899000000,-5626000000,4289000000,2739000000,-3167000000,-4034000000,1034000000,-5868000000,-9494000000,-148000000,-18510000000,-241000000,283000000,18107000000,17824000000,22201000000,-3670000000,18531000000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm,0
2017-12-31,JNJ,USD,0000200406,2018-02-21,2018-02-21 16:49:20,2017,FY,1300000000,5642000000,2406000000,962000000,11241000000,-633000000,581000000,2725000000,11293000000,-495000000,21056000000,-3279000000,-35151000000,-6153000000,28117000000,1598000000,-14868000000,-3107000000,10923000000,-6358000000,-8943000000,-188000000,-7673000000,337000000,-1148000000,17824000000,18972000000,21056000000,-3279000000,17777000000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/form10-k20171231.htm,-2725000000
2016-12-31,JNJ,USD,0000200406,2017-02-27,2017-02-27 16:52:48,2016,FY,16540000000,3754000000,-341000000,878000000,-1773000000,-1065000000,-249000000,-39204000000,38745000000,-291000000,18767000000,-3226000000,-4509000000,-33950000000,35780000000,1144000000,-4761000000,-4240000000,13304000000,-8979000000,-8621000000,-15000000,-8551000000,-215000000,5240000000,18972000000,13732000000,18767000000,-3226000000,15541000000,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/0000200406-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/form10-k20170101.htm,0
2015-12-31,JNJ,USD,0000200406,2016-02-24,2016-02-24 16:58:53,2015,FY,15409000000,3746000000,-270000000,874000000,1339000000,-433000000,-449000000,-30242000000,32463000000,-1819000000,19279000000,-3463000000,-954000000,-40828000000,34149000000,3361000000,-7735000000,-1112000000,3786000000,-5290000000,-8173000000,-57000000,-10846000000,-1489000000,-791000000,13732000000,14523000000,19279000000,-3463000000,15816000000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/0000200406-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/form10-k20160103.htm,0
2014-12-28,JNJ,USD,0000200406,2015-02-24,2015-02-23 19:11:03,2014,FY,16323000000,3895000000,441000000,792000000,-1066000000,-247000000,-1120000000,-33925000000,34226000000,-1914000000,18471000000,-3714000000,-2129000000,-34913000000,24119000000,4332000000,-12305000000,-3111000000,0,-7124000000,-7768000000,5743000000,-12260000000,-310000000,-6404000000,14523000000,20927000000,18471000000,-3714000000,14757000000,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/0000200406-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/a2014122810-k.htm,0
