date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-12-31,JNJ,USD,0000200406,2024-02-16,2024-02-16 16:12:22,2023,FY,85152000000,26739000000,58413000000,0.685985062,15048000000,21012000000,500000000,21512000000,1600000000,36560000000,63299000000,1261000000,1247000000,7486000000,29339000000,0.344548572,21853000000,0.2566351935,-6791000000,15062000000,0.1768836903,1736000000,35153000000,0.412826475,14.6,13.72,2407078000,2560400000,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/0000200406-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040624000013/jnj-20231231.htm,0,36560000000,14000000,-6805000000,-21827000000,29339000000
2022-12-31,JNJ,USD,0000200406,2023-02-16,2023-02-16 16:01:53,2022,FY,94943000000,31089000000,63854000000,0.672550899,15386000000,22665000000,2100000000,24765000000,-1871000000,40151000000,71240000000,490000000,276000000,6970000000,24024000000,0.2530360321,23917000000,0.2519090402,-2192000000,21725000000,0.2288215034,3784000000,17941000000,0.1889660112,6.83,6.73,2625200000,2663900000,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/0000200406-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040623000016/jnj-20230101.htm,-214000000,39937000000,214000000,-2406000000,0,30887000000
2021-12-31,JNJ,USD,0000200406,2022-02-17,2022-02-17 16:06:50,2021,FY,93775000000,29855000000,63920000000,0.6816315649,14714000000,21959000000,2700000000,24659000000,-489000000,39373000000,69228000000,53000000,183000000,7390000000,25699000000,0.2740495868,24417000000,0.2603785657,-1641000000,22776000000,0.2428792322,1898000000,20878000000,0.2226392962,7.93,7.81,2632100000,2674000000,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/0000200406-22-000022-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040622000022/jnj-20220102.htm,130000000,39503000000,-130000000,-1511000000,0,31807000000
2020-12-31,JNJ,USD,0000200406,2021-02-22,2021-02-22 16:36:14,2020,FY,82584000000,28427000000,54157000000,0.6557807808,12159000000,19984000000,2100000000,22084000000,-2899000000,34243000000,62670000000,111000000,201000000,7231000000,20342000000,0.2463188995,19824000000,0.2400464981,-3327000000,16497000000,0.1997602441,1783000000,14714000000,0.1781701056,5.59,5.51,2632800000,2670700000,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/0000200406-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040621000008/jnj-20210103.htm,90000000,34333000000,-90000000,-3237000000,0,27055000000
2019-12-29,JNJ,USD,0000200406,2020-02-18,2020-02-18 16:34:21,2019,FY,82059000000,27556000000,54503000000,0.6641928369,11355000000,19978000000,2200000000,22178000000,-2525000000,33533000000,61089000000,357000000,318000000,7009000000,22126000000,0.2696352624,21009000000,0.2560231053,-3681000000,17328000000,0.2111651373,2209000000,15119000000,0.1842454819,5.72,5.63,2645100000,2684300000,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/0000200406-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040620000010/form10-k20191229.htm,-39000000,33494000000,39000000,-3720000000,0,28018000000
2018-12-30,JNJ,USD,0000200406,2019-02-20,2019-02-20 16:40:34,2018,FY,81581000000,27091000000,54490000000,0.6679251296,10775000000,19940000000,2600000000,22540000000,-1405000000,33315000000,60406000000,611000000,1005000000,6929000000,22552000000,0.2764369155,20781000000,0.2547284294,-2782000000,17999000000,0.220627352,2702000000,15297000000,0.187506895,5.75,5.61,2662324000,2728700000,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/0000200406-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040619000009/form10-k20181230.htm,394000000,33709000000,-394000000,-2388000000,0,27710000000
2017-12-31,JNJ,USD,0000200406,2018-02-21,2018-02-21 16:49:20,2017,FY,76450000000,25354000000,51096000000,0.6683584042,10554000000,18920000000,2500000000,21420000000,-183000000,31974000000,57328000000,385000000,934000000,5642000000,19839000000,0.2595029431,14197000000,0.1857030739,-900000000,17673000000,0.2311706998,16373000000,1300000000,0.0170045782,0.48,0.47,2682525000,2745300000,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/0000200406-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040618000005/form10-k20171231.htm,4925000000,36899000000,-549000000,4025000000,0,19839000000
2016-12-31,JNJ,USD,0000200406,2017-02-27,2017-02-27 16:52:48,2016,FY,71890000000,21685000000,50205000000,0.6983586034,9095000000,17545000000,2400000000,19945000000,-484000000,29040000000,50725000000,368000000,726000000,3754000000,21685000000,0.3016413966,17931000000,0.2494227292,-1004000000,19803000000,0.2754625122,3263000000,16540000000,0.2300737237,6.08,5.93,2706511000,2788900000,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/0000200406-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040617000006/form10-k20170101.htm,3234000000,32274000000,-358000000,2230000000,0,21685000000
2015-12-31,JNJ,USD,0000200406,2016-02-24,2016-02-24 16:58:53,2015,FY,70074000000,21536000000,48538000000,0.6926677512,9046000000,18703000000,2500000000,21203000000,2064000000,30249000000,51785000000,128000000,552000000,3746000000,19022000000,0.2714558895,15276000000,0.2179981163,1331000000,19196000000,0.2739389788,3787000000,15409000000,0.2198961098,5.57,5.48,2755162000,2812900000,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/0000200406-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040616000071/form10-k20160103.htm,3013000000,33262000000,-424000000,4344000000,0,19022000000
2014-12-28,JNJ,USD,0000200406,2015-02-24,2015-02-23 19:11:03,2014,FY,74331000000,22746000000,51585000000,0.6939903943,8494000000,19354000000,2600000000,21954000000,70000000,30448000000,53194000000,67000000,533000000,3895000000,21315000000,0.2867578803,17420000000,0.2343571323,-108000000,20563000000,0.2766409708,4240000000,16323000000,0.2195988215,5.86,5.7,2783223000,2863900000,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/0000200406-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/200406/000020040615000004/a2014122810-k.htm,3717000000,34165000000,-466000000,3609000000,0,21315000000
