date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,34704000000,76558000000,111262000000,48688000000,2500000000,21807000000,184257000000,109987000000,67886000000,9366000000,77252000000,9879000000,20163000000,10438000000,227719000000,0,411976000000,18095000000,5247000000,4152000000,50901000000,29906000000,104149000000,54718000000,2912000000,433000000,43541000000,101604000000,0,12728000000,205753000000,0,93718000000,118848000000,-6343000000,0,206223000000,206223000000,411976000000,0,411976000000,86437000000,59965000000,25261000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,21807000000,30601000000,25754000000,46453000000
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,13931000000,90826000000,104757000000,44261000000,3742000000,16924000000,169684000000,87546000000,67524000000,11298000000,78822000000,6891000000,13515000000,8382000000,195156000000,0,364840000000,19000000000,2749000000,4067000000,45538000000,27795000000,95082000000,58521000000,2870000000,230000000,41595000000,103216000000,0,11489000000,198298000000,0,86939000000,84281000000,-4678000000,0,166542000000,166542000000,364840000000,0,364840000000,97709000000,61270000000,47339000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,16924000000,21897000000,23728000000,44465000000
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,14224000000,116110000000,130334000000,38043000000,2636000000,13393000000,184406000000,70803000000,49711000000,7800000000,57511000000,5984000000,7181000000,7894000000,149373000000,0,333779000000,15163000000,8072000000,2174000000,41525000000,23897000000,88657000000,59703000000,2616000000,198000000,40617000000,103134000000,0,9629000000,191791000000,0,83111000000,57055000000,1822000000,0,141988000000,141988000000,333779000000,0,333779000000,122094000000,67775000000,53551000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,13393000000,15075000000,21723000000,43233000000
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,FY,13576000000,122951000000,136527000000,32011000000,1895000000,11482000000,181915000000,52904000000,43351000000,7038000000,50389000000,2965000000,6405000000,6733000000,119396000000,0,301311000000,12530000000,3749000000,2130000000,36000000000,20031000000,72310000000,67249000000,3180000000,204000000,40064000000,110697000000,0,7671000000,183007000000,0,80552000000,34566000000,3186000000,0,118304000000,118304000000,301311000000,0,301311000000,125916000000,70998000000,57422000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,11482000000,13138000000,17901000000,43244000000
2019-06-30,MSFT,USD,0000789019,2019-08-01,2019-08-01 16:09:55,2019,FY,11356000000,122463000000,133819000000,29524000000,2063000000,10146000000,175552000000,43856000000,42026000000,7750000000,49776000000,2649000000,7536000000,7187000000,111004000000,0,286556000000,9382000000,5516000000,5665000000,32676000000,21846000000,69420000000,72850000000,4530000000,233000000,37193000000,114806000000,0,6188000000,184226000000,0,78520000000,24150000000,-340000000,0,102330000000,102330000000,286556000000,0,286556000000,125112000000,78366000000,67010000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,10146000000,14723000000,16181000000,41723000000
2018-06-30,MSFT,USD,0000789019,2018-08-03,2018-08-03 11:03:33,2018,FY,11946000000,121822000000,133768000000,26481000000,2662000000,6751000000,169662000000,36146000000,35683000000,8053000000,43736000000,1862000000,1369000000,6073000000,89186000000,0,258848000000,8617000000,3998000000,2121000000,28905000000,16968000000,58488000000,77810000000,3815000000,541000000,35476000000,117642000000,0,5568000000,176130000000,0,71223000000,13682000000,-2187000000,0,82718000000,82718000000,258848000000,0,258848000000,123684000000,81808000000,69862000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,6751000000,7442000000,14847000000,39291000000
2017-06-30,MSFT,USD,0000789019,2017-08-02,2017-08-02 16:15:01,2017,FY,7663000000,125318000000,132981000000,19792000000,2181000000,4897000000,159851000000,23734000000,35122000000,10106000000,45228000000,6023000000,531000000,5719000000,81235000000,0,241086000000,7390000000,10121000000,718000000,34102000000,12914000000,64527000000,76073000000,10377000000,531000000,17184000000,104165000000,0,7797000000,168692000000,0,69315000000,2648000000,431000000,0,72394000000,72394000000,241086000000,0,241086000000,131341000000,86194000000,78531000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,4897000000,6250000000,12196000000,27561000000
2016-06-30,MSFT,USD,0000789019,2016-07-28,2016-07-28 16:12:18,2016,FY,6510000000,106730000000,113240000000,18277000000,2251000000,5892000000,139660000000,18356000000,17872000000,3733000000,21605000000,10431000000,1476000000,2166000000,54034000000,0,193694000000,6898000000,12904000000,580000000,27468000000,12087000000,59357000000,40783000000,6441000000,1476000000,13640000000,62340000000,0,761000000,121697000000,0,68178000000,2282000000,1537000000,0,71997000000,71997000000,193694000000,0,193694000000,117161000000,53687000000,47177000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,5892000000,3642000000,11507000000,20081000000
2015-06-30,MSFT,USD,0000789019,2015-07-31,2015-07-31 15:07:52,2015,FY,5595000000,90931000000,96526000000,17908000000,2902000000,5461000000,124712000000,14731000000,16939000000,4835000000,21774000000,12053000000,1915000000,1038000000,51511000000,0,176223000000,6591000000,7484000000,606000000,23223000000,12560000000,49858000000,27808000000,2095000000,2835000000,13544000000,46282000000,0,0,96140000000,0,68465000000,9096000000,2522000000,0,80083000000,80083000000,176223000000,0,176223000000,102984000000,35292000000,29697000000,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,7376000000,2953000000,11954000000,15639000000
2014-06-30,MSFT,USD,0000789019,2014-07-31,2014-07-31 17:16:52,2014,FY,8669000000,77040000000,85709000000,19544000000,2660000000,4392000000,114246000000,13011000000,20127000000,6981000000,27108000000,14597000000,1941000000,1481000000,58138000000,0,172384000000,7432000000,2000000000,782000000,23150000000,13043000000,45625000000,20645000000,2008000000,2728000000,11594000000,36975000000,0,0,82600000000,0,68366000000,17710000000,3708000000,0,89784000000,89784000000,172384000000,0,172384000000,91637000000,22645000000,13976000000,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,6333000000,3422000000,12261000000,13602000000
