date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,72361000000,13861000000,-6059000000,9611000000,-2388000000,-4087000000,1242000000,-2721000000,3178000000,196000000,87582000000,-28107000000,-1670000000,-37651000000,47864000000,-3116000000,-22680000000,-2750000000,1866000000,-22245000000,-19800000000,-1006000000,-43935000000,-194000000,20773000000,34704000000,13931000000,87582000000,-28107000000,59475000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,0
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,72738000000,14460000000,-5702000000,7502000000,446000000,-6834000000,-1123000000,2943000000,5460000000,-409000000,89035000000,-23886000000,-22038000000,-26456000000,44894000000,-2825000000,-30311000000,-9023000000,1841000000,-32696000000,-18135000000,-863000000,-58876000000,-141000000,-293000000,13931000000,14224000000,89035000000,-23886000000,65149000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,0
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,61271000000,11686000000,-150000000,6118000000,-936000000,-6481000000,-737000000,2798000000,3484000000,-1249000000,76740000000,-20622000000,-8909000000,-62924000000,65800000000,-922000000,-27577000000,-3750000000,1693000000,-27385000000,-16521000000,-2523000000,-48486000000,-29000000,648000000,14224000000,13576000000,76740000000,-20622000000,56118000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,0
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,FY,44281000000,12796000000,-3620000000,5289000000,2148000000,-2577000000,168000000,3018000000,1539000000,-219000000,60675000000,-15441000000,-2521000000,-77190000000,84170000000,-1241000000,-12223000000,-5518000000,1343000000,-22968000000,-15137000000,-3751000000,-46031000000,-201000000,2220000000,13576000000,11356000000,60675000000,-15441000000,45234000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,0
2019-06-30,MSFT,USD,0000789019,2019-08-01,2019-08-01 16:09:55,2019,FY,39240000000,11682000000,-3534000000,4652000000,937000000,-2812000000,597000000,232000000,2920000000,-792000000,52185000000,-13925000000,-2388000000,-57697000000,58237000000,540000000,-15773000000,-4000000000,1142000000,-19543000000,-13811000000,-675000000,-36887000000,-115000000,-590000000,11356000000,11946000000,52185000000,-13925000000,38260000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,0
2018-06-30,MSFT,USD,0000789019,2018-08-03,2018-08-03 11:03:33,2018,FY,16571000000,10261000000,13040000000,3940000000,2284000000,-3862000000,-465000000,1148000000,5463000000,-2212000000,43884000000,-11632000000,-888000000,-137380000000,143937000000,-98000000,-6061000000,-10060000000,1002000000,-10721000000,-12699000000,-971000000,-33590000000,50000000,4283000000,11946000000,7663000000,43884000000,-11632000000,32252000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,0
2017-06-30,MSFT,USD,0000789019,2017-08-02,2017-08-02 16:15:01,2017,FY,21204000000,8778000000,-3296000000,3266000000,69363000000,-925000000,50000000,81000000,70157000000,-59808000000,39507000000,-8129000000,-25944000000,-176905000000,164394000000,-197000000,-46781000000,-7922000000,772000000,-11788000000,-11845000000,39191000000,8408000000,19000000,1153000000,7663000000,6510000000,39507000000,-8129000000,31378000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,0
2016-06-30,MSFT,USD,0000789019,2016-07-28,2016-07-28 16:12:18,2016,FY,16798000000,6622000000,-448000000,2668000000,55776000000,-530000000,600000000,88000000,55618000000,-48091000000,33325000000,-8343000000,-1393000000,-129758000000,115341000000,203000000,-23950000000,-2796000000,668000000,-15969000000,-11006000000,20710000000,-8393000000,-67000000,915000000,6510000000,5595000000,33325000000,-8343000000,24982000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,0
2015-06-30,MSFT,USD,0000789019,2015-07-31,2015-07-31 15:07:52,2015,FY,12193000000,5957000000,224000000,2574000000,46585000000,1456000000,-272000000,-1054000000,46455000000,-38453000000,29080000000,-5944000000,-3723000000,-98729000000,85861000000,-466000000,-23001000000,-1500000000,634000000,-14443000000,-9882000000,16111000000,-9080000000,-73000000,-3074000000,5595000000,8669000000,29080000000,-5944000000,23136000000,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,0
2014-06-30,MSFT,USD,0000789019,2014-07-31,2014-07-31 17:16:52,2014,FY,22074000000,5212000000,-331000000,2446000000,44949000000,-1120000000,-161000000,473000000,45757000000,-42119000000,32231000000,-5485000000,-5937000000,-72690000000,65366000000,-87000000,-18833000000,-3888000000,607000000,-7316000000,-8879000000,11082000000,-8394000000,-139000000,4865000000,8669000000,3804000000,32231000000,-5485000000,26746000000,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,0
2013-06-30,MSFT,USD,0000789019,2013-07-30,2013-07-30 16:14:49,2013,FY,21863000000,3755000000,-19000000,2406000000,42878000000,-1807000000,-802000000,537000000,44950000000,-42050000000,28833000000,-4257000000,-1584000000,-75396000000,57594000000,-168000000,-23811000000,-1346000000,931000000,-5360000000,-7455000000,5082000000,-8148000000,-8000000,-3134000000,3804000000,6938000000,28833000000,-4257000000,24576000000,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/d527745d10k.htm,0
2012-06-30,MSFT,USD,0000789019,2012-07-26,2012-07-26 16:12:48,2012,FY,16978000000,2967000000,954000000,2244000000,35930000000,-1156000000,184000000,-31000000,36933000000,-27447000000,31626000000,-2305000000,-10112000000,-57250000000,45275000000,-394000000,-24786000000,0,1913000000,-5029000000,-6385000000,93000000,-9408000000,-104000000,-2672000000,6938000000,9610000000,31626000000,-2305000000,29321000000,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/d347676d10k.htm,0
2011-06-30,MSFT,USD,0000789019,2011-07-28,2011-07-28 14:59:09,2011,FY,23150000000,2766000000,2000000,2166000000,-3003000000,-1451000000,-561000000,58000000,-1049000000,1913000000,26994000000,-2355000000,-71000000,-35993000000,23803000000,0,-14616000000,-814000000,2422000000,-11555000000,-5180000000,6751000000,-8376000000,103000000,4105000000,9610000000,5505000000,26994000000,-2355000000,24639000000,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/d10k.htm,0
2010-06-30,MSFT,USD,0000789019,2010-07-30,2010-07-30 11:30:38,2010,FY,18760000000,2673000000,-220000000,1891000000,661000000,-2238000000,0,0,2899000000,308000000,24073000000,-1977000000,-245000000,-31670000000,22578000000,-1502000000,-11314000000,-3977000000,2356000000,-11269000000,-4578000000,4177000000,-13291000000,-39000000,-571000000,5505000000,6076000000,24073000000,-1977000000,22096000000,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/d10k.htm,0
2009-06-30,MSFT,USD,0000789019,2009-07-30,2009-07-30 06:05:07,2009,FY,14569000000,2562000000,762000000,1708000000,-178000000,2215000000,0,0,-2393000000,-386000000,19037000000,-3119000000,-868000000,-37780000000,25997000000,-930000000,-15770000000,-228000000,631000000,-9353000000,-4468000000,5955000000,-7463000000,-67000000,-4263000000,6076000000,10339000000,19037000000,-3119000000,15918000000,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/d10k.htm,0
