date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,211915000000,65863000000,146052000000,0.6892008588,27195000000,7575000000,22759000000,30334000000,-223000000,57529000000,123392000000,2994000000,1968000000,13861000000,105155000000,0.4962131043,88523000000,0.4177288064,-238000000,89311000000,0.4214472784,16950000000,72361000000,0.3414623788,9.72,9.68,7446000000,7472000000,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,0,57529000000,1026000000,-238000000,0,102384000000
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,198270000000,62650000000,135620000000,0.6840167448,24512000000,5900000000,21825000000,27725000000,-32000000,52237000000,114887000000,2094000000,2063000000,14460000000,99905000000,0.5038835931,83383000000,0.4205527816,302000000,83716000000,0.4222323095,10978000000,72738000000,0.3668633681,9.7,9.65,7496000000,7540000000,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,0,52237000000,31000000,302000000,0,97843000000
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,168088000000,52232000000,115856000000,0.6892580077,20716000000,5107000000,20117000000,25224000000,98000000,45940000000,98172000000,2131000000,2346000000,11686000000,83831000000,0.4987328066,69916000000,0.4159487887,1401000000,71102000000,0.4230046166,9831000000,61271000000,0.3645173956,8.12,8.05,7547000000,7608000000,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,0,45940000000,-215000000,1401000000,0,81602000000
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,FY,143015000000,46078000000,96937000000,0.6778100199,19269000000,5111000000,19598000000,24709000000,-40000000,43978000000,90056000000,2680000000,2591000000,12796000000,68395000000,0.4782365486,52959000000,0.3703038143,-12000000,53036000000,0.3708422193,8755000000,44281000000,0.3096248645,5.82,5.76,7610000000,7683000000,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,0,43978000000,89000000,-12000000,0,65755000000
2019-06-30,MSFT,USD,0000789019,2019-08-01,2019-08-01 16:09:55,2019,FY,125843000000,42910000000,82933000000,0.659019572,16876000000,4885000000,18213000000,23098000000,-57000000,39974000000,82884000000,2762000000,2686000000,11682000000,57346000000,0.4556947943,42959000000,0.3413698021,653000000,43688000000,0.3471627345,4448000000,39240000000,0.3118171054,5.11,5.06,7673000000,7753000000,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/msft-10k_20190630.htm,0,39974000000,76000000,653000000,0,54641000000
2018-06-30,MSFT,USD,0000789019,2018-08-03,2018-08-03 11:03:33,2018,FY,110360000000,38353000000,72007000000,0.6524737224,14726000000,4754000000,17469000000,22223000000,-59000000,36949000000,75302000000,2214000000,2733000000,10261000000,47474000000,0.4301739761,35058000000,0.3176694455,1935000000,36474000000,0.3305001812,19903000000,16571000000,0.1501540413,2.15,2.13,7700000000,7794000000,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/msft-10k_20180630.htm,0,36949000000,-519000000,1935000000,0,45319000000
2017-06-30,MSFT,USD,0000789019,2017-08-02,2017-08-02 16:15:01,2017,FY,96571000000,34261000000,62310000000,0.6452247569,13037000000,4481000000,15461000000,19942000000,-251000000,32979000000,67240000000,1387000000,2222000000,8778000000,39245000000,0.4063849396,29025000000,0.3005560676,1405000000,29901000000,0.3096271137,4412000000,25489000000,0.2639405204,2.74,2.71,7746000000,7832000000,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/msft-10k_20170630.htm,306000000,33285000000,-835000000,1711000000,0,37803000000
2016-06-30,MSFT,USD,0000789019,2016-07-28,2016-07-28 16:12:18,2016,FY,91154000000,32780000000,58374000000,0.6403887926,11988000000,4563000000,14635000000,19198000000,-195000000,31186000000,63966000000,0,1243000000,6622000000,33615000000,0.3687715295,26078000000,0.2860872809,-306000000,25639000000,0.2812712552,5100000000,20539000000,0.2253219826,2.12,2.1,7925000000,8013000000,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/d187868d10k.htm,1110000000,32296000000,-1243000000,804000000,0,32700000000
2015-06-30,MSFT,USD,0000789019,2015-07-31,2015-07-31 15:07:52,2015,FY,93580000000,33038000000,60542000000,0.6469544775,12046000000,4611000000,15713000000,20324000000,-267000000,32370000000,65408000000,0,781000000,5957000000,33862000000,0.3618508228,18161000000,0.1940692456,-8884000000,18507000000,0.1977666168,6314000000,12193000000,0.1302949348,1.49,1.48,8177000000,8254000000,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/d918813d10k.htm,10011000000,42381000000,-781000000,1127000000,0,24118000000
2014-06-30,MSFT,USD,0000789019,2014-07-31,2014-07-31 17:16:52,2014,FY,86833000000,27078000000,59755000000,0.6881600313,11381000000,4677000000,15811000000,20488000000,-169000000,31869000000,58947000000,0,597000000,5212000000,32929000000,0.3792221851,27759000000,0.3196826091,531000000,27820000000,0.320385107,5746000000,22074000000,0.2542121083,2.66,2.63,8299000000,8399000000,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/d722626d10k.htm,127000000,31996000000,-597000000,658000000,0,32971000000
