date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-05-31,NKE,USD,0000320187,2023-07-20,2023-07-20 16:20:36,2023,FY,7441000000,3234000000,10675000000,4131000000,8454000000,1942000000,25202000000,8004000000,281000000,274000000,555000000,-3770000000,3770000000,3770000000,12329000000,0,37531000000,2862000000,431000000,240000000,0,5963000000,9256000000,11713000000,-2558000000,2558000000,2558000000,14271000000,0,3211000000,23527000000,0,3000000,1358000000,231000000,12412000000,14004000000,14004000000,37531000000,0,37531000000,3234000000,12144000000,4703000000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,1942000000,7540000000,5723000000,0
2022-05-31,NKE,USD,0000320187,2022-07-21,2022-07-21 16:05:53,2022,FY,8574000000,4423000000,12997000000,4667000000,8420000000,2129000000,28213000000,7717000000,284000000,286000000,570000000,-3821000000,3821000000,3821000000,12108000000,0,40321000000,3358000000,930000000,222000000,3821000000,2621000000,10730000000,11697000000,2613000000,2613000000,-2613000000,14310000000,0,3197000000,25040000000,0,3000000,3476000000,318000000,11484000000,15281000000,15281000000,40321000000,0,40321000000,4423000000,12627000000,4053000000,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,2129000000,7642000000,2399000000,0
2021-05-31,NKE,USD,0000320187,2021-07-20,2021-07-20 16:11:03,2021,FY,9889000000,3587000000,13476000000,4463000000,6854000000,1498000000,26291000000,8017000000,242000000,269000000,511000000,-2921000000,2921000000,2921000000,11449000000,0,37740000000,2836000000,469000000,306000000,0,6369000000,9674000000,12344000000,-2955000000,2955000000,2955000000,15299000000,0,3398000000,24973000000,0,3000000,3179000000,-380000000,9965000000,12767000000,12767000000,37740000000,0,37740000000,3587000000,12813000000,2924000000,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm,1498000000,5842000000,6063000000,0
2020-05-31,NKE,USD,0000320187,2020-07-24,2020-07-24 16:07:45,2020,FY,8348000000,439000000,8787000000,2749000000,7367000000,1653000000,20556000000,7963000000,223000000,274000000,497000000,-2326000000,2326000000,2326000000,10786000000,0,31342000000,2248000000,696000000,156000000,5004000000,336000000,8284000000,12319000000,-2684000000,2684000000,2684000000,15003000000,0,3358000000,23287000000,0,3000000,-191000000,-56000000,8299000000,8055000000,8055000000,31342000000,0,31342000000,439000000,13015000000,4667000000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm,1653000000,4652000000,180000000,0
2019-05-31,NKE,USD,0000320187,2019-07-23,2019-07-23 16:13:55,2019,FY,4466000000,197000000,4663000000,4272000000,5622000000,1968000000,16525000000,4744000000,154000000,283000000,437000000,-2011000000,2011000000,2011000000,7192000000,0,23717000000,2612000000,15000000,229000000,0,5239000000,7866000000,3464000000,-4184000000,3347000000,4184000000,6811000000,0,374000000,14677000000,0,3000000,1643000000,231000000,7163000000,9040000000,9040000000,23717000000,0,23717000000,197000000,3479000000,-987000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm,1968000000,4022000000,5010000000,0
2018-05-31,NKE,USD,0000320187,2018-07-25,2018-07-24 18:22:39,2018,FY,4249000000,996000000,5245000000,3498000000,5261000000,1130000000,15134000000,4454000000,154000000,285000000,439000000,-2509000000,2509000000,2509000000,7402000000,0,22536000000,2279000000,342000000,150000000,3212000000,207000000,6040000000,3468000000,-3216000000,3216000000,3216000000,6684000000,0,0,12724000000,0,3000000,3517000000,-92000000,6384000000,9812000000,9812000000,22536000000,0,22536000000,996000000,3810000000,-439000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm,1130000000,5018000000,57000000,0
2017-05-31,NKE,USD,0000320187,2017-07-20,2017-07-20 16:18:16,2017,FY,3808000000,2371000000,6179000000,3677000000,5055000000,1150000000,16061000000,3989000000,139000000,283000000,422000000,-2787000000,2787000000,2787000000,7198000000,0,23259000000,2048000000,331000000,84000000,2927000000,168000000,5474000000,3471000000,-1907000000,1907000000,1907000000,5378000000,0,0,10852000000,0,3000000,3979000000,-213000000,8638000000,12407000000,12407000000,23259000000,0,23259000000,2371000000,3802000000,-6000000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/0000320187-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/nke-5312017x10k.htm,1150000000,5574000000,84000000,0
2016-05-31,NKE,USD,0000320187,2016-07-21,2016-07-21 16:11:03,2016,FY,3138000000,2319000000,5457000000,3241000000,4838000000,1489000000,15025000000,3520000000,131000000,281000000,412000000,-2439000000,2439000000,2439000000,6371000000,0,21396000000,2191000000,45000000,85000000,2855000000,267000000,5358000000,2010000000,-1770000000,1770000000,1770000000,3780000000,0,0,9138000000,0,3000000,4151000000,318000000,7786000000,12258000000,12258000000,21396000000,0,21396000000,2319000000,2055000000,-1083000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/0000320187-16-000336-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/nke-5312016x10k.htm,1489000000,4878000000,182000000,0
2015-05-31,NKE,USD,0000320187,2015-07-23,2015-07-23 17:26:50,2015,FY,3852000000,2072000000,5924000000,3358000000,4337000000,1968000000,15976000000,3011000000,131000000,281000000,412000000,-2201000000,2201000000,2201000000,5624000000,0,21600000000,2131000000,181000000,71000000,2892000000,1130000000,6334000000,1079000000,-1480000000,1480000000,1480000000,2559000000,0,0,8893000000,0,3000000,4685000000,1246000000,6773000000,12707000000,12707000000,21600000000,0,21600000000,2072000000,1260000000,-2592000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/0000320187-15-000113-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/nke-5312015x10k.htm,2357000000,4402000000,1059000000,0
2014-05-31,NKE,USD,0000320187,2014-07-25,2014-07-25 16:22:20,2014,FY,2220000000,2922000000,5142000000,3434000000,3947000000,818000000,13696000000,2834000000,131000000,282000000,413000000,-1651000000,1651000000,1651000000,4898000000,0,18594000000,1930000000,174000000,432000000,2838000000,85000000,5027000000,1199000000,-1544000000,1544000000,1544000000,2743000000,0,0,7770000000,0,3000000,4871000000,85000000,5865000000,10824000000,10824000000,18594000000,0,18594000000,2922000000,1373000000,-847000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/0000320187-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/nke-5312014x10k.htm,1173000000,3302000000,-347000000,0
