date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-05-31,NKE,USD,0000320187,2023-07-20,2023-07-20 16:20:36,2023,FY,5070000000,859000000,-117000000,755000000,-513000000,489000000,-133000000,-225000000,-131000000,-213000000,5841000000,-969000000,0,-6059000000,7540000000,52000000,564000000,-500000000,647000000,-5480000000,-2012000000,-102000000,-7447000000,-91000000,-1133000000,7441000000,8574000000,5841000000,-969000000,4872000000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,-513000000
2022-05-31,NKE,USD,0000320187,2022-07-21,2022-07-21 16:05:53,2022,FY,6046000000,840000000,-650000000,638000000,-1660000000,-504000000,-1676000000,1365000000,-845000000,-26000000,5188000000,-758000000,0,-12913000000,12166000000,-19000000,-1524000000,-15000000,1151000000,-4014000000,-1837000000,-121000000,-4836000000,-143000000,-1315000000,8574000000,9889000000,5188000000,-758000000,4430000000,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,0
2021-05-31,NKE,USD,0000320187,2021-07-20,2021-07-20 16:11:03,2021,FY,5727000000,797000000,-385000000,611000000,45000000,-1606000000,507000000,1326000000,-182000000,-138000000,6657000000,-695000000,0,-9961000000,6685000000,171000000,-3800000000,-197000000,1120000000,-608000000,-1638000000,-136000000,-1459000000,143000000,1541000000,9889000000,8348000000,6657000000,-695000000,5962000000,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm,0
2020-05-31,NKE,USD,0000320187,2020-07-24,2020-07-24 16:07:45,2020,FY,2539000000,1119000000,-380000000,429000000,-1245000000,1239000000,-1854000000,24000000,-654000000,23000000,2485000000,-1086000000,0,-2426000000,2453000000,31000000,-1028000000,-6183000000,885000000,-3067000000,-1452000000,12308000000,2491000000,-66000000,3882000000,8348000000,4466000000,2485000000,-1086000000,1399000000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm,0
2019-05-31,NKE,USD,0000320187,2019-07-23,2019-07-23 16:13:55,2019,FY,4029000000,720000000,34000000,325000000,562000000,-270000000,-490000000,1525000000,-203000000,233000000,5903000000,-1119000000,5000000,-2937000000,3787000000,855000000,-264000000,-33000000,700000000,-4286000000,-1332000000,-342000000,-5293000000,-129000000,217000000,4466000000,4249000000,5903000000,-1119000000,4784000000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm,0
2018-05-31,NKE,USD,0000320187,2018-07-25,2018-07-24 18:22:39,2018,FY,1933000000,774000000,647000000,218000000,1482000000,187000000,-255000000,1515000000,35000000,-99000000,4955000000,-1028000000,3000000,-4783000000,6109000000,-25000000,276000000,-29000000,746000000,-4254000000,-1243000000,-55000000,-4835000000,45000000,441000000,4249000000,3808000000,4955000000,-1028000000,3927000000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm,0
2017-05-31,NKE,USD,0000320187,2017-07-20,2017-07-20 16:18:16,2017,FY,4240000000,716000000,-273000000,215000000,-1141000000,-426000000,-231000000,0,-484000000,-117000000,3640000000,-1105000000,13000000,-5928000000,6046000000,-34000000,-1008000000,-61000000,2298000000,-3223000000,-1133000000,177000000,-1942000000,-20000000,670000000,3808000000,3138000000,3640000000,-1105000000,2535000000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/0000320187-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/nke-5312017x10k.htm,0
2016-05-31,NKE,USD,0000320187,2016-07-21,2016-07-21 16:11:03,2016,FY,3760000000,662000000,-80000000,236000000,-1580000000,60000000,-590000000,0,-1050000000,98000000,3096000000,-1143000000,10000000,-5217000000,5310000000,6000000,-1034000000,-113000000,1421000000,-3238000000,-1022000000,281000000,-2671000000,-105000000,-714000000,3138000000,3852000000,3096000000,-1143000000,1953000000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/0000320187-16-000336-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/nke-5312016x10k.htm,0
2015-05-31,NKE,USD,0000320187,2015-07-23,2015-07-23 17:26:50,2015,FY,3273000000,649000000,-113000000,191000000,256000000,-216000000,-621000000,0,1093000000,424000000,4680000000,-963000000,0,-5086000000,5871000000,3000000,-175000000,-26000000,451000000,-2534000000,-899000000,218000000,-2790000000,-83000000,1632000000,3852000000,2220000000,4680000000,-963000000,3717000000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/0000320187-15-000113-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/nke-5312015x10k.htm,0
2014-05-31,NKE,USD,0000320187,2014-07-25,2014-07-25 16:22:20,2014,FY,2693000000,632000000,-11000000,177000000,-488000000,-298000000,-505000000,0,315000000,-266000000,3003000000,-880000000,3000000,-5386000000,5058000000,-2000000,-1207000000,-77000000,458000000,-2628000000,-799000000,132000000,-2914000000,1000000,-1117000000,2220000000,3337000000,3003000000,-880000000,2123000000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/0000320187-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/nke-5312014x10k.htm,0
