date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-05-31,NKE,USD,0000320187,2023-07-20,2023-07-20 16:20:36,2023,FY,51217000000,28925000000,22292000000,0.4352461097,0,12317000000,4060000000,16377000000,280000000,16377000000,45302000000,297000000,-286000000,859000000,5915000000,0.1154889978,5056000000,0.0987172228,1145000000,6201000000,0.1210730812,1131000000,5070000000,0.0989905695,3.27,3.23,1551600000,1569800000,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/0000320187-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018723000039/nke-20230531.htm,859000000,17236000000,583000000,562000000,0,5915000000
2022-05-31,NKE,USD,0000320187,2022-07-21,2022-07-21 16:05:53,2022,FY,46710000000,25231000000,21479000000,0.4598372939,0,10954000000,3850000000,14804000000,181000000,14804000000,40035000000,94000000,-205000000,840000000,6675000000,0.1429030186,5835000000,0.1249197174,816000000,6651000000,0.14238921,605000000,6046000000,0.1294369514,3.83,3.75,1578800000,1610800000,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/0000320187-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018722000038/nke-20220531.htm,840000000,15644000000,299000000,517000000,0,6675000000
2021-05-31,NKE,USD,0000320187,2021-07-20,2021-07-20 16:11:03,2021,FY,44538000000,24576000000,19962000000,0.4482015358,0,9911000000,3114000000,13025000000,-14000000,13025000000,37601000000,34000000,262000000,797000000,6937000000,0.1557546365,6140000000,0.1378598051,521000000,6661000000,0.1495576811,934000000,5727000000,0.1285868247,3.64,3.56,1573000000,1609400000,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/nke-20210531.htm,797000000,13822000000,-228000000,749000000,0,6937000000
2020-05-31,NKE,USD,0000320187,2020-07-24,2020-07-24 16:07:45,2020,FY,37403000000,21162000000,16241000000,0.4342165067,0,9534000000,3592000000,13126000000,-139000000,13126000000,34288000000,62000000,89000000,1119000000,3115000000,0.0832820897,1996000000,0.0533647034,891000000,2887000000,0.077186322,348000000,2539000000,0.0678822554,1.63,1.6,1558800000,1591600000,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/nke-531202010k.htm,1119000000,14245000000,-27000000,918000000,0,3115000000
2019-05-31,NKE,USD,0000320187,2019-07-23,2019-07-23 16:13:55,2019,FY,39117000000,21643000000,17474000000,0.4467111486,0,8949000000,3753000000,12702000000,78000000,12702000000,34345000000,82000000,-749000000,720000000,4772000000,0.1219929954,4052000000,0.1035866759,749000000,4801000000,0.122734361,772000000,4029000000,0.1029986962,2.55,2.49,1579700000,1618400000,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/nke-531201910k.htm,720000000,13422000000,831000000,-82000000,0,4772000000
2018-05-31,NKE,USD,0000320187,2018-07-25,2018-07-24 18:22:39,2018,FY,36397000000,20441000000,15956000000,0.4383877792,0,7934000000,3577000000,11511000000,-66000000,11511000000,31952000000,0,54000000,774000000,4445000000,0.1221254499,4445000000,0.1221254499,-66000000,4325000000,0.1188284749,2392000000,1933000000,0.0531087727,1.19,1.17,1623800000,1659100000,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/nke-5312018x10k.htm,0,11511000000,-54000000,-66000000,0,5219000000
2017-05-31,NKE,USD,0000320187,2017-07-20,2017-07-20 16:18:16,2017,FY,34350000000,19038000000,15312000000,0.4457641921,0,7222000000,3341000000,10563000000,196000000,10563000000,29601000000,0,59000000,716000000,4749000000,0.1382532751,4749000000,0.1382532751,196000000,4886000000,0.1422416303,646000000,4240000000,0.1234352256,2.56,2.51,1657800000,1692000000,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/0000320187-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/nke-5312017x10k.htm,0,10563000000,-59000000,196000000,0,5465000000
2016-05-31,NKE,USD,0000320187,2016-07-21,2016-07-21 16:11:03,2016,FY,32376000000,17405000000,14971000000,0.4624104275,0,7191000000,3278000000,10469000000,140000000,10469000000,27874000000,0,19000000,662000000,4502000000,0.13905362,4502000000,0.13905362,140000000,4623000000,0.1427909563,863000000,3760000000,0.1161354089,2.21,2.16,1697900000,1742500000,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/0000320187-16-000336-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/nke-5312016x10k.htm,0,10469000000,-19000000,140000000,0,5164000000
2015-05-31,NKE,USD,0000320187,2015-07-23,2015-07-23 17:26:50,2015,FY,30601000000,16534000000,14067000000,0.4596908598,0,6679000000,3213000000,9892000000,58000000,9892000000,26426000000,0,28000000,649000000,4175000000,0.1364334499,4205000000,0.13741381,58000000,4205000000,0.13741381,932000000,3273000000,0.106957289,1.9,1.85,1723400000,1768800000,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/0000320187-15-000113-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/nke-5312015x10k.htm,-30000000,9862000000,-28000000,28000000,0,4854000000
2014-05-31,NKE,USD,0000320187,2014-07-25,2014-07-25 16:22:20,2014,FY,27799000000,15353000000,12446000000,0.4477139465,0,5735000000,3031000000,8766000000,-103000000,8766000000,24119000000,0,33000000,632000000,3680000000,0.1323788625,3544000000,0.1274866002,-103000000,3544000000,0.1274866002,851000000,2693000000,0.0968739883,1.53,1.49,1766800000,1811600000,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/0000320187-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/nke-5312014x10k.htm,136000000,8902000000,-33000000,33000000,0,4176000000
2013-05-31,NKE,USD,0000320187,2013-07-23,2013-07-23 16:32:32,2013,FY,25313000000,14279000000,11034000000,0.4359025007,0,5035000000,2745000000,7780000000,15000000,7780000000,22059000000,0,-3000000,513000000,3254000000,0.1285505471,3293000000,0.1300912575,15000000,3272000000,0.1292616442,808000000,2485000000,0.0981709003,1.39,1.36,1794600000,1832800000,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/0000320187-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/nke-5312013x10k.htm,-39000000,7741000000,3000000,-24000000,-21000000,3806000000
2012-05-31,NKE,USD,0000320187,2012-07-24,2012-07-24 16:16:23,2012,FY,24128000000,13657000000,10471000000,0.433977122,0,7431000000,2711000000,7431000000,0,7431000000,21088000000,0,3000000,405000000,3040000000,0.125994695,3037000000,0.1258703581,-54000000,2983000000,0.1236322944,760000000,2223000000,0.0921336207,1.21,1.18,1840000000,1879200000,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/0001193125-12-312306-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/d341264d10k.htm,3000000,7434000000,-3000000,-51000000,0,3442000000
2011-05-31,NKE,USD,0000320187,2011-07-22,2011-07-22 16:16:31,2011,FY,20862000000,11354000000,9508000000,0.4557568785,0,6693000000,2448000000,6693000000,0,6693000000,18047000000,0,4000000,358000000,2848000000,0.1365161538,2811000000,0.1347425942,-33000000,2844000000,0.1363244176,711000000,2133000000,0.1022433132,1.12,1.1,1902000000,1942800000,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/0001193125-11-194791-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/d10k.htm,4000000,6697000000,-4000000,37000000,0,3169000000
2010-05-31,NKE,USD,0000320187,2010-07-20,2010-07-20 17:18:30,2010,FY,19014000000,10213600000,8800400000,0.4628379089,0,6326400000,0,6326400000,0,6326400000,16540000000,0,6300000,395500000,2820300000,0.1483275481,2474000000,0.1301146524,49200000,2516900000,0.1323708846,610200000,1906700000,0.100278742,0.98,0.97,1942000000,1975600000,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/0001193125-10-161874-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/d10k.htm,0,6326400000,-6300000,49200000,0,2869500000
2009-05-31,NKE,USD,0000320187,2009-07-27,2009-07-27 17:27:24,2009,FY,19176100000,10571700000,8604400000,0.4487043768,0,0,0,6149600000,0,6149600000,16721300000,0,0,383300000,3345900000,0.1744828198,2454800000,0.1280135168,-507800000,1956500000,0.1020280453,469800000,1486700000,0.0775287989,0.77,0.76,1939600000,1962800000,https://www.sec.gov/Archives/edgar/data/320187/000119312509155951/0001193125-09-155951-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312509155951/d10k.htm,0,6149600000,0,-498300000,0,2838100000
2008-05-31,NKE,USD,0000320187,2008-07-28,2008-07-28 16:08:06,2008,FY,18627000000,10239600000,8387400000,0.4502818489,0,5953700000,0,5953700000,0,5953700000,16193300000,0,0,321500000,2763100000,0.1483384335,2502900000,0.1343694637,-7900000,2502900000,0.1343694637,619500000,1883400000,0.1011112901,0.95,0.94,1982400000,2016400000,https://www.sec.gov/Archives/edgar/data/320187/000119312508159004/0001193125-08-159004-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312508159004/d10k.htm,-69200000,5884500000,0,0,0,2824400000
2007-05-31,NKE,USD,0000320187,2007-07-27,2007-07-27 16:16:21,2007,FY,16325900000,9165400000,7160500000,0.4385975658,0,5028700000,0,5028700000,0,5028700000,14194100000,0,0,270200000,2401100000,0.1470730557,2199900000,0.1347490797,900000,2199900000,0.1347490797,708400000,1491500000,0.0913579037,0.74,0.73,2015540541,2036177474,https://www.sec.gov/Archives/edgar/data/320187/000119312507164166/0001193125-07-164166-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312507164166/d10k.htm,-68100000,4960600000,0,0,0,2470100000
2006-05-31,NKE,USD,0000320187,2006-07-28,2006-07-28 17:04:57,2006,FY,14954900000,8367900000,6587000000,0.4404576426,0,4477800000,0,4477800000,0,4477800000,12845700000,0,-36800000,290900000,2404500000,0.1607834222,2109200000,0.1410373857,-4400000,2141600000,0.1432038997,749600000,1392000000,0.0930798601,0.34,0.33,2073743017,2109090909,https://www.sec.gov/Archives/edgar/data/320187/000119312506156152/0001193125-06-156152-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312506156152/d10k.htm,0,4477800000,36800000,-4400000,0,2400100000
2005-05-31,NKE,USD,0000320187,2005-07-29,2005-07-29 17:12:55,2005,FY,13739700000,7624300000,6115400000,0.4450897763,0,4221700000,0,4221700000,0,4221700000,11846000000,0,0,287700000,2210500000,0.1608841532,1859800000,0.1353595784,-29100000,1859800000,0.1353595784,648200000,1211600000,0.0881824203,0.58,0.56,2102559653,2163571429,https://www.sec.gov/Archives/edgar/data/320187/000095012405004551/0000950124-05-004551-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000095012405004551/v10583e10vk.htm,33900000,4255600000,0,0,0,2147500000
2004-05-31,NKE,USD,0000320187,2004-07-30,2004-07-30 17:04:26,2004,FY,12253100000,7001400000,5251700000,0.4286017416,0,3702000000,0,3702000000,0,3702000000,10703400000,0,25000000,310400000,1934800000,0.157902898,1450000000,0.1183374003,-74700000,1450000000,0.1183374003,504400000,945600000,0.0771723074,0.45,0.44,2107186630,2155213675,https://www.sec.gov/Archives/edgar/data/320187/000119312504128270/0001193125-04-128270-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312504128270/d10k.htm,99700000,3801700000,-25000000,25000000,0,1760400000
2003-05-31,NKE,USD,0000320187,2003-08-07,2003-08-07 17:13:04,2003,FY,10697000000,6313600000,4383400000,0.4097784426,0,3137600000,0,3137600000,0,3137600000,9451200000,0,42900000,262500000,1588200000,0.1484715341,856900000,0.0801065719,-79900000,1123000000,0.1049827054,382900000,474000000,0.0443114892,0.22,0.22,2116000000,2140800000,https://www.sec.gov/Archives/edgar/data/320187/000119312503031022/0001193125-03-031022-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312503031022/d10k.htm,388900000,3526500000,-42900000,309000000,266100000,1119400000
2002-05-31,NKE,USD,0000320187,2002-08-14,2002-08-14 15:37:26,2002,FY,9893000000,6004700000,3888300000,0.3930354796,0,2820400000,0,2820400000,0,2820400000,8825100000,0,0,276600000,1347500000,0.1362074194,1012300000,0.1023248762,-3000000,1017300000,0.102830284,349000000,663300000,0.0670474073,0.31,0.31,2141600000,2177600000,https://www.sec.gov/Archives/edgar/data/320187/000089102002001248/0000891020-02-001248-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000089102002001248/v83383ore10vk.htm,55600000,2876000000,0,5000000,5000000,1288900000
2001-05-31,NKE,USD,0000320187,2001-08-09,2001-08-09 00:00:00,2001,FY,9488800000,5784900000,3703900000,0.390344406,0,2689700000,0,2689700000,0,2689700000,8474600000,0,0,214100000,1262400000,0.1330410589,921400000,0.0971039541,-34100000,921400000,0.0971039541,331700000,589700000,0.0621469522,0.27,0.27,2164036697,2184074074,https://www.sec.gov/Archives/edgar/data/320187/000109581101503828/0001095811-01-503828-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000109581101503828/v74223e10-k.txt,92800000,2782500000,0,0,0,1135500000
2000-05-31,NKE,USD,0000320187,2000-08-29,2000-08-29 00:00:00,2000,FY,8995100000,5180200000,3814900000,0.4241086814,0,2606400000,0,2606400000,223600000,2830000000,8010200000,0,0,223600000,1229200000,0.1366521773,919200000,0.1021889696,-20700000,919200000,0.1021889696,340100000,579100000,0.0643794955,0.26,0.26,2206095238,2238067633,https://www.sec.gov/Archives/edgar/data/320187/000091205700039514/0000912057-00-039514-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000091205700039514/a10-k405.txt,289300000,2895700000,0,0,0,1142800000
1999-05-31,NKE,USD,0000320187,1999-08-26,1999-08-26 00:00:00,1999,FY,8776900000,5264700000,3512200000,0.400164067,0,2426600000,0,2426600000,228800000,2655400000,7920100000,0,0,228800000,1152200000,0.1312764188,746100000,0.0850072349,-66600000,746100000,0.0850072349,294700000,451400000,0.0514304595,0.2,0.2,2271194969,2300127389,https://www.sec.gov/Archives/edgar/data/320187/000032018799000010/0000320187-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/320187/000032018799000010/,339500000,2766100000,0,0,0,974900000
1998-05-31,NKE,USD,0000320187,1998-08-26,1998-08-26 00:00:00,1998,FY,9553100000,5832000000,3721100000,0.3895175388,0,2623800000,0,2623800000,233500000,2857300000,8689300000,0,0,233500000,1248100000,0.13064869,653000000,0.0683547749,-150800000,653000000,0.0683547749,253400000,399600000,0.0418293538,0.17,0.17,2316521739,2368000000,https://www.sec.gov/Archives/edgar/data/320187/000032018798000018/0000320187-98-000018-index.html,https://www.sec.gov/Archives/edgar/data/320187/,444300000,3068100000,0,0,0,886500000
1997-05-31,NKE,USD,0000320187,1997-08-29,1997-08-29 00:00:00,1997,FY,9186500000,5334700000,3851800000,0.4192891743,0,2303700000,0,2303700000,168300000,2472000000,7806700000,0,0,168300000,1580400000,0.1720350514,1295200000,0.1409894955,-32300000,1295200000,0.1409894955,499400000,795800000,0.0866271159,0.17,0.17,2314160000,2376000000,https://www.sec.gov/Archives/edgar/data/320187/000091205797029601/0000912057-97-029601-index.html,https://www.sec.gov/Archives/edgar/data/320187/,252900000,2556600000,0,0,0,1463500000
1996-05-31,NKE,USD,0000320187,1996-08-30,1996-08-30 00:00:00,1996,FY,6470600000,3774300000,2696300000,0.4167001515,0,1588600000,0,1588600000,132400000,1721000000,5495300000,0,0,132400000,1144400000,0.1768614966,899100000,0.1389515655,-36700000,899100000,0.1389515655,345900000,553200000,0.08549439,0.24,0.24,2348864000,2348864000,https://www.sec.gov/Archives/edgar/data/320187/000032018796000014/0000320187-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/320187/,208600000,1797200000,0,0,0,1031500000
1995-05-31,NKE,USD,0000320187,1995-08-30,1995-08-30 00:00:00,1995,FY,4760800000,2775100000,1985700000,0.4170937658,0,1209800000,0,1209800000,90200000,1300000000,4075100000,0,0,90200000,787600000,0.1654343808,649900000,0.1365106705,-11700000,649900000,0.1365106705,250200000,399700000,0.0839564779,0.0213,0.0213,2286240000,2352096000,https://www.sec.gov/Archives/edgar/data/320187/000032018795000013/0000320187-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/320187/,126000000,1335800000,0,0,0,740100000
1994-05-31,NKE,USD,0000320187,1994-05-31,1994-05-30 20:00:00,1994,FY,3789700000,2236900000,1552800000,0.409742196,0,0,0,974100000,64500000,1038600000,3275500000,0,0,64500000,587000000,0.1548935272,490600000,0.1294561575,-8300000,490600000,0.1294561575,191800000,298800000,0.0788452912,0.0156,0.0155,2342400000,2342400000,,,88100000,1062200000,0,0,0,555100000
1993-05-31,NKE,USD,0000320187,1993-05-31,1993-05-30 20:00:00,1993,FY,3931000000,2326600000,1604400000,0.4081404223,0,0,0,922300000,60400000,982700000,3309300000,0,0,60400000,683600000,0.1738997711,594500000,0.1512337828,-1500000,594500000,0.1512337828,229500000,365000000,0.0928516917,0.0188,0.0184,2427264000,2427264000,,,87600000,1009900000,0,0,0,654900000
1992-05-31,NKE,USD,0000320187,1992-05-31,1992-05-30 20:00:00,1992,FY,3405200000,2041400000,1363800000,0.4005051098,0,0,0,761500000,47700000,809200000,2850600000,0,0,47700000,604400000,0.1774932456,521800000,0.1532362269,-2100000,521800000,0.1532362269,192600000,329200000,0.0966756725,0.0169,0.0169,2416320000,2416320000,,,80500000,842000000,0,0,0,569500000
1991-05-31,NKE,USD,0000320187,1991-05-31,1991-05-30 20:00:00,1991,FY,3003600000,1816100000,1187500000,0.3953589027,0,0,0,664100000,34500000,698600000,2514700000,0,0,34500000,523400000,0.1742575576,461700000,0.1537155414,0,461700000,0.1537155414,174700000,287000000,0.0955520043,0.0148,0.0148,2409472000,2409472000,,,61700000,725800000,0,0,0,496200000
1990-05-31,NKE,USD,0000320187,1990-05-31,1990-05-30 20:00:00,1990,FY,2235200000,1367000000,868200000,0.3884216178,0,0,0,454500000,17100000,471600000,1838600000,0,0,17100000,406400000,0.1818181818,393400000,0.1760021475,7300000,393400000,0.1760021475,150400000,243000000,0.1087151038,0.0063,0.0063,2387136000,2387136000,,,20300000,474800000,0,0,0,410500000
1989-05-31,NKE,USD,0000320187,1989-05-31,1989-05-30 20:00:00,1989,FY,1710800000,1060100000,650700000,0.380348375,0,0,0,354800000,14800000,369600000,1429700000,0,0,14800000,292500000,0.1709726444,270600000,0.1581716156,3400000,270600000,0.1581716156,103600000,167000000,0.0976151508,0.0044,0.0044,2387136000,2387136000,,,25300000,380100000,0,0,0,285400000
1988-05-31,NKE,USD,0000320187,1988-05-31,1988-05-30 20:00:00,1988,FY,1203400000,789400000,414000000,0.3440252618,0,0,0,246600000,14000000,260600000,1050000000,0,-14000000,14000000,146700000,0.1219046036,152200000,0.1264749875,20700000,166200000,0.138108692,64500000,101700000,0.0845105534,0.0027,0.0027,2374592000,2374592000,,,15200000,261800000,14000000,0,0,166200000
1987-05-31,NKE,USD,0000320187,1987-05-31,1987-05-30 20:00:00,1987,FY,877400000,584600000,292800000,0.3337132437,0,0,0,204700000,12100000,216800000,801400000,0,-12100000,12100000,81900000,0.0933439708,61600000,0.070207431,6200000,73700000,0.0839981764,37800000,35900000,0.0409163437,0.0009,0.0009,2428032000,2428032000,,,26500000,231200000,12100000,0,0,73700000
