date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-10-01,SBUX,USD,0000829224,2023-11-17,2023-11-17 17:31:27,2023,FY,3551500000,401500000,3953000000,1184100000,1806400000,359900000,7303400000,15799700000,3218300000,120500000,3338800000,687300000,1769800000,546500000,22142100000,0,29445500000,1544300000,3127400000,402000000,1700200000,2973400000,9345300000,21472400000,6101800000,14600000,499200000,28088000000,0,9200100000,37433300000,0,1100000,-7255800000,-778200000,38100000,-7994800000,-7987800000,29445500000,7000000,29445500000,1088800000,24599800000,21048300000,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/0000829224-23-000058-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/sbux-20231001.htm,359900000,2316300000,2571400000,6601000000
2022-10-02,SBUX,USD,0000829224,2022-11-18,2022-11-18 16:35:30,2022,FY,2818400000,364500000,3182900000,1175500000,2176600000,386600000,7018700000,14576100000,3283500000,155900000,3439400000,590300000,1799700000,554200000,20959700000,0,27978400000,1441400000,3169700000,333800000,1641900000,2898800000,9151800000,20635100000,6279700000,0,610500000,27525300000,0,8760900000,36677100000,0,1100000,-8449800000,-463200000,205300000,-8706600000,-8698700000,27978400000,7900000,27978400000,954800000,23804800000,20986400000,https://www.sec.gov/Archives/edgar/data/829224/000082922422000058/0000829224-22-000058-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922422000058/sbux-20221002.htm,483700000,2353900000,2565000000,6890200000
2021-10-03,SBUX,USD,0000829224,2021-11-19,2021-11-19 16:46:02,2021,FY,6455700000,162200000,6617900000,940000000,1603900000,594600000,9756400000,14605500000,3677300000,349900000,4027200000,550200000,1874800000,578500000,21636200000,0,31392600000,1211600000,2250200000,348000000,1596100000,3093500000,8151400000,21354900000,6463000000,0,737800000,28555700000,0,8989300000,36707100000,0,1200000,-6315700000,147200000,846100000,-5321200000,-5314500000,31392600000,6700000,31392600000,712400000,23605100000,17149400000,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/0000829224-21-000086-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/sbux-20211003.htm,594600000,2453300000,2745500000,7200800000
2020-09-27,SBUX,USD,0000829224,2020-11-12,2020-11-12 16:59:07,2020,FY,4350900000,281200000,4632100000,883400000,1551400000,739500000,7806400000,14375500000,3597200000,552100000,4149300000,684800000,1789900000,568600000,21568100000,0,29374500000,997900000,2937500000,98200000,1456500000,1954900000,7346800000,22321300000,6598500000,281800000,625500000,29827100000,0,8910500000,37173900000,0,1200000,-7815600000,-364600000,373900000,-7805100000,-7799400000,29374500000,5700000,29374500000,966000000,25258800000,20907900000,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/0000829224-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/sbux-20200927.htm,739500000,2358500000,1856700000,7224000000
2019-09-29,SBUX,USD,0000829224,2019-11-15,2019-11-15 16:16:58,2019,FY,2686600000,70500000,2757100000,879200000,1529400000,488200000,5653900000,6431700000,3490800000,781800000,4272600000,616000000,1765800000,479600000,13565700000,0,19219600000,1189700000,5200000,1468400000,1269000000,3704800000,6168700000,11167000000,6744400000,318500000,1052000000,19281900000,0,62700000,25450600000,0,1200000,-5771200000,-503300000,41100000,-6232200000,-6231000000,19219600000,1200000,19219600000,686500000,11167000000,8480400000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/sbux-9292019x10xk.htm,488200000,2245400000,2236400000,7796400000
2018-09-30,SBUX,USD,0000829224,2018-11-16,2018-11-16 16:44:31,2018,FY,8756300000,181500000,8937800000,693100000,1400500000,1462800000,12494200000,5929100000,3541600000,1042200000,4583800000,602400000,134700000,412200000,11662200000,0,24156400000,1179300000,349900000,286600000,1642900000,2512100000,5684200000,9090200000,6775700000,494800000,935700000,17296400000,0,53600000,22980600000,0,1300000,1457400000,-330300000,41100000,1169500000,1175800000,24156400000,6300000,24156400000,783900000,9440100000,683800000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/sbux-9302018x10xk.htm,1462800000,546900000,2225500000,7711400000
2017-10-01,SBUX,USD,0000829224,2017-11-17,2017-11-17 16:10:18,2017,FY,2462300000,228600000,2690900000,870400000,1364000000,358100000,5283400000,4919500000,1539200000,441400000,1980600000,1023900000,795400000,362800000,9082200000,0,14365600000,782500000,226600000,226600000,1288500000,1923100000,4220700000,3932600000,-203200000,203200000,552100000,4687900000,0,55000000,8908600000,0,1400000,5563200000,-155600000,41100000,5450100000,5457000000,14365600000,6900000,14365600000,1252500000,3932600000,1470300000,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/0000829224-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/sbux-1012017x10xk.htm,358100000,1158200000,1696500000,552100000
2016-10-02,SBUX,USD,0000829224,2016-11-18,2016-11-18 16:06:40,2016,FY,2128800000,134400000,2263200000,768800000,1378500000,350000000,4760500000,4533800000,1719600000,516300000,2235900000,1496200000,885400000,417700000,9569000000,0,14329500000,730600000,400000000,368400000,1171200000,2245100000,4546900000,3202200000,-161200000,161200000,528500000,3891900000,0,0,8438800000,0,1500000,5949800000,-108400000,41100000,5884000000,5890700000,14329500000,6700000,14329500000,1630600000,3602200000,1473400000,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/0000829224-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/sbux-1022016x10xk.htm,350000000,1303100000,1876700000,528500000
2015-09-27,SBUX,USD,0000829224,2015-11-12,2015-11-12 16:26:50,2015,FY,1530100000,81300000,1611400000,719000000,1306400000,334200000,4352700000,4088300000,1575400000,520400000,2095800000,664500000,828900000,415900000,8093400000,0,12446100000,684200000,259000000,259000000,983800000,1726500000,3653500000,2347500000,0,0,625300000,2972800000,0,0,6626300000,0,1500000,5974800000,-199400000,41100000,5818000000,5819800000,12446100000,1800000,12446100000,745800000,2347500000,817400000,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/0000829224-15-000038-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/sbux-9272015x10k.htm,715900000,1244800000,1467500000,625300000
2014-09-28,SBUX,USD,0000829224,2014-11-14,2014-11-14 16:08:21,2014,FY,1708400000,135400000,1843800000,631000000,1090900000,285600000,4168700000,3519000000,856200000,273500000,1129700000,833300000,903300000,198900000,6584200000,0,10752900000,533700000,272000000,272000000,794500000,1438500000,3038700000,2048300000,0,0,392200000,2440500000,0,0,5479200000,0,700000,5206600000,25300000,39400000,5272000000,5273700000,10752900000,1700000,10752900000,968700000,2048300000,339900000,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/0000829224-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/sbux-9282014x10k.htm,603000000,1102200000,1166500000,392200000
