date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-10-01,SBUX,USD,0000829224,2023-11-17,2023-11-17 17:31:27,2023,FY,4124700000,1450300000,-59400000,302700000,-1133400000,-4100000,366400000,100100000,-1595800000,1323800000,6008700000,-2333600000,0,-610500000,619400000,53900000,-2270800000,-1253800000,167400000,-984400000,-2431800000,1512000000,-2990600000,-14200000,733100000,3551500000,2818400000,6008700000,-2333600000,3675100000,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/0000829224-23-000058-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/sbux-20231001.htm,0
2022-10-02,SBUX,USD,0000829224,2022-11-18,2022-11-18 16:35:30,2022,FY,3283400000,1529400000,-37800000,271500000,-2133000000,-326100000,-641000000,345500000,-1511400000,1483800000,4397300000,-1841300000,59300000,-377900000,139900000,-126300000,-2146300000,-1036600000,101600000,-4013000000,-2263300000,1573300000,-5638000000,-250300000,-3637300000,2818400000,6455700000,4397300000,-1841300000,2556000000,https://www.sec.gov/Archives/edgar/data/829224/000082922422000058/0000829224-22-000058-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922422000058/sbux-20221002.htm,0
2021-10-03,SBUX,USD,0000829224,2021-11-19,2021-11-19 16:46:02,2021,FY,4200300000,1524100000,-146200000,319100000,-501200000,-43000000,-49800000,189900000,-598300000,593000000,5989100000,-1470000000,1175000000,-432000000,488700000,-81200000,-319500000,-1896300000,246200000,215100000,-2119000000,-97000000,-3651000000,86200000,2104800000,6455700000,4350900000,5989100000,-1470000000,4519100000,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/0000829224-21-000086-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/sbux-20211003.htm,0
2020-09-27,SBUX,USD,0000829224,2020-11-12,2020-11-12 16:59:07,2020,FY,924700000,1503200000,-25800000,248600000,-2676400000,-2700000,-10900000,-210800000,-2452000000,1623500000,1597800000,-1483600000,0,-443900000,260400000,-44400000,-1711500000,-967700000,298800000,-1698900000,-1923500000,6004600000,1713300000,64700000,1664300000,4350900000,2686600000,1597800000,-1483600000,114200000,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/0000829224-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/sbux-20200927.htm,0
2019-09-29,SBUX,USD,0000829224,2019-11-15,2019-11-15 16:16:58,2019,FY,3594600000,1449300000,-1495400000,308000000,1648700000,-197700000,-173000000,31900000,1987500000,-458200000,5047000000,-1806600000,684300000,-190400000,358100000,-56200000,-1010800000,-350000000,409800000,-10222300000,-1761300000,1866900000,-10056900000,-49000000,-6069700000,2686600000,8756300000,5047000000,-1806600000,3240400000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/sbux-9292019x10xk.htm,0
2018-09-30,SBUX,USD,0000829224,2018-11-16,2018-11-16 16:44:31,2018,FY,4518300000,1305900000,714900000,250300000,6913400000,131000000,-41200000,391600000,6432000000,-1765000000,11937800000,-1976400000,-703100000,-191900000,504300000,5600000,-2361500000,-5584100000,153900000,-7133500000,-1743400000,11064300000,-3242800000,-39500000,6294000000,8756300000,2462300000,11937800000,-1976400000,9961400000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/sbux-9302018x10xk.htm,0
2017-10-01,SBUX,USD,0000829224,2017-11-17,2017-11-17 16:10:18,2017,FY,2884900000,1067100000,95100000,176000000,89700000,-96800000,14000000,46400000,126100000,-138500000,4174300000,-1519400000,85400000,-674400000,1204100000,54300000,-850000000,-400000000,150800000,-2042500000,-1450400000,740500000,-3001600000,10800000,333500000,2462300000,2128800000,4174300000,-1519400000,2654900000,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/0000829224-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/sbux-1012017x10xk.htm,0
2016-10-02,SBUX,USD,0000829224,2016-11-18,2016-11-18 16:06:40,2016,FY,2818900000,1030100000,265700000,218100000,353000000,-55600000,-67500000,46900000,429200000,-110700000,4575100000,-1440300000,69600000,-1585700000,708600000,24900000,-2222900000,-1254500000,160700000,-1995600000,-1178000000,2517400000,-1750000000,-3500000,598700000,2128800000,1530100000,4575100000,-1440300000,3134800000,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/0000829224-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/sbux-1022016x10xk.htm,0
2015-09-27,SBUX,USD,0000829224,2015-11-12,2015-11-12 16:26:50,2015,FY,2759300000,933800000,21200000,209800000,278800000,-82800000,-207900000,137700000,431800000,-453800000,3749100000,-1303700000,-275400000,-567400000,619400000,6800000,-1520300000,-610100000,191800000,-1436100000,-928600000,526500000,-2256500000,-150600000,-178300000,1530100000,1708400000,3749100000,-1303700000,2445400000,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/0000829224-15-000038-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/sbux-9272015x10k.htm,0
2014-09-28,SBUX,USD,0000829224,2014-11-14,2014-11-14 16:08:21,2014,FY,2067700000,748400000,10200000,183200000,-2209800000,-79700000,14300000,60400000,-2204800000,-191900000,607800000,-1160900000,103900000,-1652500000,1910900000,-19100000,-817700000,-748500000,139700000,-758600000,-783100000,1527200000,-623300000,-34100000,-867300000,1708400000,2575700000,607800000,-1160900000,-553100000,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/0000829224-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/sbux-9282014x10k.htm,0
