date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-10-01,SBUX,USD,0000829224,2023-11-17,2023-11-17 17:31:27,2023,FY,35975600000,26129400000,9846200000,0.2736910573,0,2441300000,0,2441300000,0,4343300000,30472700000,81200000,550100000,1450300000,7332800000,0.2038270383,5870800000,0.1631883832,367900000,5401900000,0.1501545492,1277200000,4124500000,0.1146471497,3.6,3.58,1146800000,1151300000,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/0000829224-23-000058-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922423000058/sbux-20231001.htm,1534100000,3975400000,-468900000,0,200000,7321100000
2022-10-02,SBUX,USD,0000829224,2022-11-18,2022-11-18 16:35:30,2022,FY,32250300000,23879200000,8371100000,0.2595665777,0,2032000000,0,2032000000,1909400000,3941400000,27820600000,97000000,482900000,1672400000,6290200000,0.1950431469,4617800000,0.1431862649,-385900000,4231900000,0.1312204848,948500000,3281600000,0.1017540922,2.85,2.83,1153300000,1158500000,https://www.sec.gov/Archives/edgar/data/829224/000082922422000058/0000829224-22-000058-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922422000058/sbux-20221002.htm,1721300000,3753300000,-385900000,0,1800000,6290200000
2021-10-03,SBUX,USD,0000829224,2021-11-19,2021-11-19 16:46:02,2021,FY,29060600000,20669600000,8391000000,0.2887414575,0,1932600000,0,1932600000,1801200000,3733800000,24403400000,90100000,469800000,1784600000,6656700000,0.2290627172,4872100000,0.1676531111,484800000,5356900000,0.184335492,1156600000,4199300000,0.14450149,3.57,3.54,1177600000,1185500000,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/0000829224-21-000086-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922421000086/sbux-20211003.htm,1586300000,3518900000,-379700000,864500000,1000000,6656700000
2020-09-27,SBUX,USD,0000829224,2020-11-12,2020-11-12 16:59:07,2020,FY,23518000000,18458900000,5059100000,0.2151160813,0,1679600000,0,1679600000,1861600000,3541200000,22000100000,39700000,437000000,1821600000,3383300000,0.1438600221,1561700000,0.0664044562,-397300000,1164400000,0.0495110128,239700000,928300000,0.0394718939,0.79,0.79,1172800000,1181800000,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/0000829224-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922420000078/sbux-20200927.htm,1817800000,3497400000,-397300000,0,-3600000,3383300000
2019-09-29,SBUX,USD,0000829224,2019-11-15,2019-11-15 16:16:58,2019,FY,26508600000,19020500000,7488100000,0.2824781392,0,1824100000,0,1824100000,1748300000,3572400000,22592900000,96500000,331000000,1681600000,5759500000,0.2172691127,4077900000,0.1538330957,388300000,4466200000,0.1684811721,871600000,3599200000,0.1357748052,2.95,2.92,1221200000,1233200000,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/0000829224-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922419000051/sbux-9292019x10xk.htm,1586100000,3410200000,-234500000,622800000,-4600000,5759500000
2018-09-30,SBUX,USD,0000829224,2018-11-16,2018-11-16 16:44:31,2018,FY,24719500000,17367700000,7351800000,0.2974089282,0,1759000000,0,1759000000,1786300000,3545300000,20913000000,191400000,170300000,1305900000,5605000000,0.2267440684,3883300000,0.1570946014,1952400000,5780000000,0.2338234997,1262000000,4518300000,0.1827828233,3.27,3.24,1382700000,1394600000,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/0000829224-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922418000052/sbux-9302018x10xk.htm,1709500000,3468500000,21100000,1875600000,-300000,5189200000
2017-10-01,SBUX,USD,0000829224,2017-11-17,2017-11-17 16:10:18,2017,FY,22386800000,15531500000,6855300000,0.30622063,0,1393300000,0,1393300000,1565200000,2958500000,18490000000,275300000,92500000,1067100000,5630600000,0.2515142852,4134700000,0.1846936588,237900000,4317500000,0.1928591849,1432600000,2884700000,0.1288571837,2.0,1.97,1431600000,1461500000,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/0000829224-17-000049-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922417000049/sbux-1012017x10xk.htm,1327300000,2720600000,182800000,0,200000,5201800000
2016-10-02,SBUX,USD,0000829224,2016-11-18,2016-11-18 16:06:40,2016,FY,21315900000,14575400000,6740500000,0.316219348,0,1360600000,0,1360600000,1526200000,2886800000,17462200000,108000000,81300000,1030100000,5310000000,0.2491098194,4171900000,0.1957177506,318200000,4198600000,0.1969703367,1379700000,2817700000,0.1321877096,1.92,1.9,1460500000,1486700000,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/0000829224-16-000083-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922416000083/sbux-1022016x10xk.htm,1208000000,2568600000,26700000,0,1200000,5202000000
2015-09-27,SBUX,USD,0000829224,2015-11-12,2015-11-12 16:26:50,2015,FY,19162700000,13198600000,5964100000,0.3112348469,0,1196700000,0,1196700000,1416300000,2613000000,15811600000,43000000,70500000,933800000,4577800000,0.2388911792,3601000000,0.1879171515,579400000,3903000000,0.2036769349,1143700000,2757400000,0.1438941277,1.86,1.82,1485100000,1513400000,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/0000829224-15-000038-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922415000038/sbux-9272015x10k.htm,1166400000,2363100000,-27500000,329500000,1900000,4534800000
2014-09-28,SBUX,USD,0000829224,2014-11-14,2014-11-14 16:08:21,2014,FY,16447800000,11497000000,4950800000,0.3010007417,0,991300000,116600000,991300000,1166900000,2158200000,13655200000,142700000,64100000,748400000,3952000000,0.2402752952,3081100000,0.1873259646,288500000,3159700000,0.1921047192,1092000000,2068100000,0.1257371807,1.38,1.36,1499000000,1526200000,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/0000829224-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/829224/000082922414000041/sbux-9282014x10k.htm,878400000,1869700000,78600000,0,-400000,3829500000
