date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-12-31,TXN,USD,0000097476,2024-02-02,2024-02-02 11:11:54,2023,FY,2964000000,5611000000,8575000000,2284000000,3999000000,264000000,15122000000,9999000000,4362000000,223000000,4585000000,1032000000,757000000,853000000,17226000000,0,32348000000,802000000,599000000,172000000,1349000000,570000000,3320000000,10624000000,108000000,63000000,1336000000,12131000000,0,478000000,15451000000,0,1741000000,52283000000,-205000000,-36922000000,16897000000,16897000000,32348000000,0,32348000000,5611000000,11223000000,8259000000,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/0000097476-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/txn-20231231.htm,264000000,1610000000,398000000,1444000000
2022-12-31,TXN,USD,0000097476,2023-02-03,2023-02-03 11:07:12,2022,FY,3050000000,6017000000,9067000000,1895000000,2757000000,302000000,14021000000,6876000000,4362000000,152000000,4514000000,34000000,473000000,1289000000,13186000000,0,27207000000,851000000,500000000,189000000,0,1634000000,2985000000,8235000000,0,66000000,1344000000,9645000000,0,344000000,12630000000,0,1741000000,50353000000,-254000000,-37263000000,14577000000,14577000000,27207000000,0,27207000000,6017000000,8735000000,5685000000,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/0000097476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/txn-20221231.htm,302000000,1762000000,1445000000,1344000000
2021-12-31,TXN,USD,0000097476,2022-02-04,2022-02-04 12:34:37,2021,FY,4631000000,5108000000,9739000000,1701000000,1910000000,335000000,13685000000,5141000000,4362000000,85000000,4447000000,392000000,263000000,748000000,10991000000,0,24676000000,653000000,500000000,121000000,0,1416000000,2569000000,7241000000,79000000,87000000,1367000000,8774000000,0,383000000,11343000000,0,1741000000,45919000000,-157000000,-34170000000,13333000000,13333000000,24676000000,0,24676000000,5108000000,7741000000,3110000000,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/txn-20211231.htm,335000000,1011000000,1295000000,1446000000
2020-12-31,TXN,USD,0000097476,2021-02-05,2021-02-05 16:26:50,2020,FY,3107000000,3461000000,6568000000,1414000000,1955000000,302000000,10239000000,3269000000,4362000000,274000000,4636000000,49000000,343000000,815000000,9112000000,0,19351000000,415000000,550000000,134000000,0,1425000000,2390000000,6248000000,131000000,90000000,1305000000,7774000000,0,249000000,10164000000,0,1741000000,42051000000,-360000000,-34245000000,9187000000,9187000000,19351000000,0,19351000000,3510000000,6798000000,3691000000,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/txn-20201231.htm,302000000,1158000000,1291000000,1436000000
2019-12-31,TXN,USD,0000097476,2020-02-20,2020-02-20 11:57:52,2019,FY,2437000000,2950000000,5387000000,1074000000,2001000000,299000000,8761000000,3303000000,4362000000,409000000,4771000000,300000000,197000000,686000000,9257000000,0,18018000000,388000000,500000000,46000000,0,1235000000,2123000000,5303000000,93000000,78000000,1514000000,6988000000,0,259000000,9111000000,0,1741000000,39898000000,-347000000,-32385000000,8907000000,8907000000,18018000000,0,18018000000,3250000000,5803000000,3366000000,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/txn-20191231.htm,299000000,883000000,1189000000,1607000000
2018-12-31,TXN,USD,0000097476,2019-02-22,2019-02-22 12:16:54,2018,FY,2438000000,1795000000,4233000000,1207000000,2217000000,440000000,8097000000,3183000000,4362000000,717000000,5079000000,251000000,295000000,232000000,9040000000,0,17137000000,478000000,749000000,103000000,103000000,1144000000,2474000000,4319000000,118000000,42000000,1190000000,5669000000,0,0,8143000000,0,1741000000,37906000000,-473000000,-30180000000,8994000000,8994000000,17137000000,0,17137000000,2046000000,5068000000,2630000000,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/txn-10k_20181231.htm,440000000,527000000,1041000000,1308000000
2017-12-31,TXN,USD,0000097476,2018-02-22,2018-02-22 13:58:19,2017,FY,1656000000,2813000000,4469000000,1278000000,1957000000,1030000000,8734000000,2664000000,4362000000,1056000000,5418000000,268000000,264000000,294000000,8908000000,0,17642000000,466000000,500000000,128000000,128000000,1164000000,2258000000,3577000000,724000000,78000000,668000000,5047000000,0,0,7305000000,0,1741000000,34662000000,-384000000,-25682000000,10337000000,10337000000,17642000000,0,17642000000,3081000000,4077000000,2421000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/txn-10k_20171231.htm,1030000000,558000000,1036000000,1392000000
2016-12-31,TXN,USD,0000097476,2017-02-23,2017-02-23 13:00:41,2016,FY,1154000000,2336000000,3490000000,1267000000,1790000000,910000000,7457000000,2512000000,4362000000,1316000000,5678000000,235000000,374000000,175000000,8974000000,0,16431000000,396000000,631000000,83000000,83000000,1154000000,2264000000,2978000000,0,33000000,683000000,3694000000,0,0,5958000000,0,1741000000,33107000000,-526000000,-23849000000,10473000000,10473000000,16431000000,0,16431000000,2571000000,3609000000,2455000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/txn-10k_20161231.htm,910000000,549000000,1071000000,683000000
2015-12-31,TXN,USD,0000097476,2016-02-24,2016-02-24 10:31:05,2015,FY,1000000000,2218000000,3218000000,1165000000,1691000000,1000000000,7074000000,2596000000,4362000000,1629000000,5991000000,221000000,201000000,147000000,9156000000,0,16230000000,386000000,1000000000,95000000,95000000,1074000000,2555000000,3120000000,0,37000000,572000000,3729000000,0,0,6284000000,0,1741000000,31176000000,-532000000,-22439000000,9946000000,9946000000,16230000000,0,16230000000,2439000000,4120000000,3120000000,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/txn-10k_20151231.htm,1000000000,348000000,979000000,572000000
2014-12-31,TXN,USD,0000097476,2015-02-24,2015-02-24 16:24:05,2014,FY,1199000000,2342000000,3541000000,1246000000,1784000000,850000000,7768000000,2840000000,4362000000,1985000000,6347000000,224000000,172000000,371000000,9954000000,0,17722000000,437000000,1001000000,71000000,827000000,397000000,2662000000,3641000000,0,399000000,630000000,4670000000,0,0,7332000000,0,1741000000,29653000000,-532000000,-20472000000,10390000000,10390000000,17722000000,0,17722000000,2566000000,4642000000,3443000000,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/txn-12312014x10xk.htm,1197000000,543000000,326000000,630000000
