date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-12-31,TXN,USD,0000097476,2024-02-02,2024-02-02 11:11:54,2023,FY,6510000000,1238000000,-299000000,362000000,-1099000000,108000000,-1242000000,-33000000,68000000,-292000000,6420000000,-5071000000,3000000,-12705000000,13387000000,24000000,-4362000000,-500000000,263000000,-293000000,-4557000000,2943000000,-2144000000,0,-86000000,2964000000,3050000000,6420000000,-5071000000,1349000000,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/0000097476-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/txn-20231231.htm,0
2022-12-31,TXN,USD,0000097476,2023-02-03,2023-02-03 11:07:12,2022,FY,8749000000,979000000,-191000000,289000000,-813000000,-194000000,-847000000,106000000,122000000,-293000000,8720000000,-2797000000,3000000,-14483000000,13657000000,37000000,-3583000000,-500000000,241000000,-3615000000,-4297000000,1453000000,-6718000000,0,-1581000000,3050000000,4631000000,8720000000,-2797000000,5923000000,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/0000097476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/txn-20221231.htm,0
2021-12-31,TXN,USD,0000097476,2022-02-04,2022-02-04 12:34:37,2021,FY,7769000000,954000000,15000000,230000000,-165000000,-287000000,45000000,33000000,44000000,-47000000,8756000000,-2462000000,2462000000,-10124000000,8478000000,-2449000000,-4095000000,-550000000,377000000,-527000000,-3886000000,1449000000,-3137000000,0,1524000000,4631000000,3107000000,8756000000,-2462000000,6294000000,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/txn-20211231.htm,0
2020-12-31,TXN,USD,0000097476,2021-02-05,2021-02-05 16:26:50,2020,FY,5595000000,992000000,-137000000,224000000,-428000000,-340000000,46000000,63000000,-197000000,-107000000,6139000000,-649000000,649000000,-5786000000,5545000000,-681000000,-922000000,-500000000,470000000,-2553000000,-3426000000,1462000000,-4547000000,0,670000000,3107000000,2437000000,6139000000,-649000000,5490000000,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/txn-20201231.htm,0
2019-12-31,TXN,USD,0000097476,2020-02-20,2020-02-20 11:57:52,2019,FY,5017000000,1050000000,81000000,217000000,313000000,133000000,216000000,-93000000,57000000,-29000000,6649000000,-847000000,847000000,-3444000000,2309000000,-785000000,-1920000000,-750000000,539000000,-2960000000,-3008000000,1449000000,-4730000000,0,-1000000,2437000000,2438000000,6649000000,-847000000,5802000000,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/txn-20191231.htm,0
2018-12-31,TXN,USD,0000097476,2019-02-22,2019-02-22 12:16:54,2018,FY,5580000000,954000000,-105000000,232000000,602000000,71000000,-282000000,-7000000,820000000,-74000000,7189000000,-1131000000,1131000000,-5641000000,6708000000,-1145000000,-78000000,-500000000,373000000,-5100000000,-2555000000,1453000000,-6329000000,0,782000000,2438000000,1656000000,7189000000,-1131000000,6058000000,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/txn-10k_20181231.htm,0
2017-12-31,TXN,USD,0000097476,2018-02-22,2018-02-22 13:58:19,2017,FY,3682000000,904000000,112000000,242000000,418000000,-7000000,-167000000,51000000,541000000,5000000,5363000000,-695000000,40000000,-4555000000,4095000000,28000000,-1127000000,-625000000,483000000,-2556000000,-2104000000,1068000000,-3734000000,0,502000000,1656000000,1154000000,5363000000,-695000000,4668000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/txn-10k_20171231.htm,0
2016-12-31,TXN,USD,0000097476,2017-02-23,2017-02-23 13:00:41,2016,FY,3595000000,955000000,-202000000,252000000,153000000,-108000000,-99000000,72000000,288000000,-139000000,4614000000,-531000000,-1062000000,-3503000000,3390000000,1056000000,-650000000,-1000000000,472000000,-2132000000,-1646000000,496000000,-3810000000,0,154000000,1154000000,1000000000,4614000000,-531000000,4083000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/txn-10k_20161231.htm,0
2015-12-31,TXN,USD,0000097476,2016-02-24,2016-02-24 10:31:05,2015,FY,2986000000,1133000000,-55000000,286000000,94000000,77000000,93000000,-188000000,112000000,-176000000,4268000000,-551000000,0,-2767000000,2892000000,124000000,-302000000,-1000000000,442000000,-2741000000,-1444000000,578000000,-4165000000,0,-199000000,1000000000,1199000000,4268000000,-551000000,3717000000,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/txn-10k_20151231.htm,0
2014-12-31,TXN,USD,0000097476,2015-02-24,2015-02-24 16:24:05,2014,FY,2821000000,1230000000,-61000000,277000000,-223000000,-49000000,-53000000,-194000000,73000000,-152000000,3892000000,-385000000,0,-3107000000,2966000000,149000000,-377000000,-1000000000,616000000,-2831000000,-1323000000,595000000,-3943000000,0,-428000000,1199000000,1627000000,3892000000,-385000000,3507000000,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/txn-12312014x10xk.htm,0
