year,adjDividend,isLtmEqualToLastYear
LTM,5.14,False
2023,5.02,
2022,4.69,
2021,4.21,
2020,3.72,
2019,3.21,
2018,2.63,
2017,2.12,
2016,1.64,
2015,1.4,
2014,1.24,
2013,1.07,
2012,0.72,
2011,0.56,
2010,0.49,
2009,0.45,
2008,0.41,
2007,0.3,
2006,0.13,
2005,0.105,
2004,0.091,
2003,0.087,
2002,0.087,
2001,0.087,
2000,0.085,
1999,0.085,
1998,0.064,
1997,0.085,
1996,0.085,
1995,0.079,
1994,0.058,
1993,0.045,
1992,0.045,
1991,0.045,
1990,0.045,
1989,0.045,
1988,0.045,
1987,0.044,
1986,0.042,
1985,0.042,
1984,0.042,
1983,0.042,
1982,0.042,
1981,0.042,
1980,0.042,
1979,0.042,
1978,0.037,
1977,0.029,
1976,0.022,
1975,0.021,
1974,0.021,
1973,0.015,
