date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-12-31,TXN,USD,0000097476,2024-02-02,2024-02-02 11:11:54,2023,FY,17519000000,6500000000,11019000000,0.6289742565,1863000000,0,0,1825000000,440000000,3688000000,10188000000,0,353000000,1238000000,9009000000,0.5142416805,7331000000,0.4184599578,440000000,7418000000,0.4234259946,908000000,6510000000,0.3715965523,7.13,7.07,908000000,916000000,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/0000097476-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747624000007/txn-20231231.htm,0,3688000000,-353000000,440000000,0,8569000000
2022-12-31,TXN,USD,0000097476,2023-02-03,2023-02-03 11:07:12,2022,FY,20028000000,6257000000,13771000000,0.6875873777,1670000000,0,0,1704000000,106000000,3374000000,9631000000,0,214000000,979000000,11482000000,0.5732973837,10140000000,0.5062911923,-151000000,10032000000,0.5008987418,1283000000,8749000000,0.4368384262,9.51,9.41,916000000,926000000,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/0000097476-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747623000007/txn-20221231.htm,257000000,3631000000,-214000000,106000000,0,11119000000
2021-12-31,TXN,USD,0000097476,2022-02-04,2022-02-04 12:34:37,2021,FY,18344000000,5968000000,12376000000,0.6746620148,1554000000,0,0,1666000000,143000000,3220000000,9188000000,0,184000000,954000000,10253000000,0.5589293502,8960000000,0.4884430877,-53000000,8919000000,0.4862080244,1150000000,7769000000,0.4235172263,8.38,8.27,923000000,936000000,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/0000097476-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747622000009/txn-20211231.htm,196000000,3416000000,-184000000,143000000,0,9914000000
2020-12-31,TXN,USD,0000097476,2021-02-05,2021-02-05 16:26:50,2020,FY,14461000000,5192000000,9269000000,0.6409653551,1530000000,0,0,1623000000,313000000,3153000000,8345000000,0,190000000,992000000,7421000000,0.5131733628,5894000000,0.4075790056,91000000,6017000000,0.4160846414,422000000,5595000000,0.3869027038,6.05,5.97,921000000,933000000,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/0000097476-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747621000006/txn-20201231.htm,222000000,3375000000,-190000000,313000000,0,6886000000
2019-12-31,TXN,USD,0000097476,2020-02-20,2020-02-20 11:57:52,2019,FY,14383000000,5219000000,9164000000,0.6371410693,1544000000,0,0,1645000000,175000000,3189000000,8408000000,0,170000000,1050000000,7200000000,0.5005909755,5723000000,0.397900299,-77000000,5728000000,0.3982479316,711000000,5017000000,0.3488145728,5.33,5.24,936000000,952000000,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/0000097476-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747620000009/txn-20191231.htm,252000000,3441000000,-170000000,175000000,0,6773000000
2018-12-31,TXN,USD,0000097476,2019-02-22,2019-02-22 12:16:54,2018,FY,15784000000,5507000000,10277000000,0.6511023822,1559000000,0,0,1684000000,98000000,3243000000,8750000000,0,125000000,954000000,8086000000,0.5122909275,6713000000,0.4253041054,-223000000,6686000000,0.4235935124,1106000000,5580000000,0.3535225545,5.75,5.64,970000000,990000000,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/0001564590-19-003839-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/txn-10k_20181231.htm,321000000,3564000000,-125000000,98000000,0,7667000000
2017-12-31,TXN,USD,0000097476,2018-02-22,2018-02-22 13:58:19,2017,FY,14961000000,5347000000,9614000000,0.642604104,1508000000,0,0,1694000000,75000000,3202000000,8549000000,0,78000000,904000000,7391000000,0.4940177796,6083000000,0.4065904686,-254000000,6080000000,0.4063899472,2398000000,3682000000,0.2461065437,3.72,3.61,991000000,1012000000,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/0001564590-18-002832-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459018002832/txn-10k_20171231.htm,329000000,3531000000,-78000000,75000000,0,6987000000
2016-12-31,TXN,USD,0000097476,2017-02-23,2017-02-23 13:00:41,2016,FY,13370000000,5130000000,8240000000,0.6163051608,1370000000,0,0,1767000000,211000000,3137000000,8267000000,8000000,80000000,955000000,6269000000,0.4688855647,4799000000,0.3589379207,-93000000,4930000000,0.3687359761,1335000000,3595000000,0.2688855647,3.61,3.48,995983961,1021000000,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/0001564590-17-002142-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459017002142/txn-10k_20161231.htm,304000000,3441000000,-72000000,203000000,0,5754000000
2015-12-31,TXN,USD,0000097476,2016-02-24,2016-02-24 10:31:05,2015,FY,13000000000,5440000000,7560000000,0.5815384615,1280000000,0,0,1748000000,32000000,3028000000,8468000000,14000000,90000000,1133000000,5697000000,0.4382307692,4274000000,0.3287692308,-226000000,4216000000,0.3243076923,1230000000,2986000000,0.2296923077,2.95,2.82,1011268412,1043000000,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/0001564590-16-013126-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000156459016013126/txn-10k_20151231.htm,258000000,3286000000,-76000000,18000000,0,5407000000
2014-12-31,TXN,USD,0000097476,2015-02-24,2015-02-24 16:24:05,2014,FY,13045000000,5618000000,7427000000,0.5693369107,1358000000,0,0,1843000000,21000000,3201000000,8819000000,13000000,94000000,1230000000,5477000000,0.4198543503,3947000000,0.3025680337,-258000000,3874000000,0.2969720199,1053000000,2821000000,0.2162514373,2.7,2.57,1046626812,1080000000,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/0000097476-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747615000003/txn-12312014x10xk.htm,279000000,3480000000,-81000000,8000000,0,5177000000
2013-12-31,TXN,USD,0000097476,2014-02-24,2014-02-24 11:05:47,2013,FY,12205000000,5841000000,6364000000,0.5214256452,1522000000,0,0,1858000000,17000000,3380000000,9221000000,0,95000000,1215000000,4216000000,0.3454321999,2832000000,0.2320360508,-135000000,2754000000,0.2256452274,592000000,2162000000,0.1771405162,1.94,1.91,1098000000,1113000000,https://www.sec.gov/Archives/edgar/data/97476/000009747614000007/0000097476-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747614000007/txn-12312013x10xk.htm,152000000,3532000000,-95000000,17000000,0,4047000000
2012-12-31,TXN,USD,0000097476,2013-02-22,2013-02-22 11:49:48,2012,FY,12825000000,6457000000,6368000000,0.4965302144,1877000000,0,0,1804000000,47000000,3681000000,10138000000,40000000,85000000,1299000000,4033000000,0.3144639376,1973000000,0.1538401559,-667000000,1935000000,0.150877193,176000000,1759000000,0.1371539961,1.53,1.51,1132000000,1146000000,https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/0000097476-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747613000009/txn-12312012x10xk.htm,714000000,4395000000,-45000000,7000000,0,3272000000
2011-12-31,TXN,USD,0000097476,2012-02-24,2012-02-24 12:13:07,2011,FY,13735000000,6963000000,6772000000,0.4930469603,1715000000,0,0,1638000000,0,3353000000,10316000000,11000000,42000000,1015000000,4434000000,0.3228248999,2992000000,0.2178376411,-422000000,2955000000,0.2151437932,719000000,2236000000,0.1627957772,1.91,1.88,1151000000,1171000000,https://www.sec.gov/Archives/edgar/data/97476/000009747612000010/0000097476-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000009747612000010/txn-12312011x10xk.htm,427000000,3780000000,-31000000,-6000000,0,4007000000
2010-12-31,TXN,USD,0000097476,2011-02-25,2011-02-25 17:10:14,2010,FY,13966000000,6474000000,7492000000,0.5364456537,1570000000,0,0,1519000000,-144000000,2945000000,9419000000,13000000,0,913000000,5456000000,0.3906630388,4514000000,0.3232135185,4000000,4551000000,0.3258628097,1323000000,3228000000,0.231132751,2.66,2.62,1199000000,1213000000,https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/0001140361-11-012312-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036111012312/form10-k.htm,-111000000,2978000000,13000000,24000000,0,5427000000
2009-12-31,TXN,USD,0000097476,2010-02-23,2010-02-23 14:25:33,2009,FY,10427000000,5428000000,4999000000,0.479428407,1476000000,0,0,1320000000,0,2796000000,8224000000,24000000,0,925000000,3314000000,0.3178287139,1991000000,0.190946581,-186000000,2017000000,0.1934401074,547000000,1470000000,0.1409801477,1.16,1.15,1260000000,1269000000,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/0001140361-10-007923-index.htm,https://www.sec.gov/Archives/edgar/data/97476/000114036110007923/form10k.htm,212000000,3008000000,24000000,2000000,0,2916000000
