date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-12-31,VZ,USD,0000732712,2024-02-09,2024-02-09 10:51:34,2023,FY,2065000000,0,2065000000,25085000000,2057000000,1651000000,36814000000,133036000000,22843000000,166724000000,189567000000,953000000,0,19885000000,343441000000,0,380255000000,10021000000,17239000000,2612000000,6955000000,19008000000,53223000000,157703000000,13189000000,45781000000,16560000000,233233000000,0,24268000000,286456000000,1380000000,429000000,82915000000,-1380000000,9086000000,92430000000,93799000000,380255000000,1369000000,380255000000,953000000,174942000000,172877000000,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/0000732712-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/vz-20231231.htm,7607000000,19885000000,16396000000,29749000000
2022-12-31,VZ,USD,0000732712,2023-02-10,2023-02-10 11:54:36,2022,FY,2605000000,37000000,2605000000,24506000000,2388000000,8358000000,37857000000,133564000000,28671000000,161257000000,189928000000,1071000000,43441000000,-26181000000,341823000000,0,379680000000,8750000000,14097000000,1876000000,6583000000,20741000000,50171000000,162234000000,1651000000,43441000000,29720000000,237046000000,0,25692000000,287217000000,0,429000000,82380000000,-1865000000,10200000000,91144000000,92463000000,379680000000,1319000000,379680000000,1071000000,176331000000,173726000000,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/0000732712-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm,8358000000,17260000000,18865000000,31371000000
2021-12-31,VZ,USD,0000732712,2022-02-11,2022-02-11 14:04:46,2021,FY,2921000000,18000000,2921000000,23846000000,3055000000,6906000000,36728000000,127579000000,28603000000,159296000000,187899000000,1061000000,1007000000,12322000000,329868000000,0,366596000000,8040000000,11302000000,1624000000,6053000000,21765000000,47160000000,166628000000,15410000000,40685000000,13513000000,236236000000,0,27062000000,283396000000,0,429000000,71993000000,-927000000,10295000000,81790000000,83200000000,366596000000,1410000000,366596000000,1061000000,177930000000,175009000000,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/0000732712-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm,6906000000,13329000000,20141000000,28923000000
2020-12-31,VZ,USD,0000732712,2021-02-25,2021-02-25 14:08:10,2020,FY,22171000000,0,22171000000,23917000000,1796000000,6710000000,54594000000,117364000000,24773000000,105510000000,130283000000,589000000,35711000000,-22060000000,261887000000,0,316481000000,6667000000,9374000000,1432000000,4843000000,18776000000,39660000000,141173000000,18657000000,35711000000,12008000000,207549000000,0,21485000000,247209000000,0,429000000,60464000000,-71000000,7020000000,67842000000,69272000000,316481000000,1430000000,316481000000,589000000,150547000000,128376000000,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/0000732712-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm,6710000000,13651000000,17344000000,30665000000
2019-12-31,VZ,USD,0000732712,2020-02-21,2020-02-21 11:20:18,2019,FY,2594000000,0,2594000000,25429000000,1422000000,8028000000,37473000000,114609000000,24389000000,104557000000,128946000000,558000000,0,10141000000,254254000000,0,291727000000,7725000000,14038000000,1771000000,4651000000,18454000000,44868000000,119105000000,17952000000,34703000000,12264000000,184024000000,0,21654000000,228892000000,0,429000000,53147000000,998000000,6821000000,61395000000,62835000000,291727000000,1440000000,291727000000,558000000,133143000000,130549000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/0000732712-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm,8028000000,10141000000,16683000000,30216000000
2018-12-31,VZ,USD,0000732712,2019-02-15,2019-02-15 13:42:40,2018,FY,2745000000,0,2745000000,25102000000,1336000000,5453000000,34636000000,89286000000,24614000000,103905000000,128519000000,671000000,0,11717000000,230193000000,0,264829000000,7232000000,7190000000,1483000000,4207000000,19301000000,37930000000,105873000000,18599000000,33795000000,13922000000,172189000000,0,0,210119000000,0,429000000,43542000000,2370000000,6804000000,53145000000,54710000000,264829000000,1565000000,264829000000,671000000,113063000000,110318000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/0000732712-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/a2018q410-k.htm,5453000000,11717000000,17818000000,32521000000
2017-12-31,VZ,USD,0000732712,2018-02-23,2018-02-23 13:15:54,2017,FY,2079000000,0,2079000000,23493000000,1034000000,3307000000,29913000000,88568000000,29172000000,98664000000,127836000000,1039000000,0,9787000000,227230000000,0,257143000000,7063000000,3453000000,1483000000,3084000000,19437000000,33037000000,113642000000,22112000000,31232000000,12433000000,179419000000,0,0,212456000000,0,424000000,35635000000,2659000000,4378000000,43096000000,43096000000,257143000000,1591000000,257143000000,1039000000,117095000000,115016000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/0000732712-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/a201710-k.htm,3307000000,9787000000,17954000000,34545000000
2016-12-31,VZ,USD,0000732712,2017-02-21,2017-02-21 15:21:12,2016,FY,2880000000,0,2880000000,17513000000,1202000000,3918000000,26395000000,84751000000,27205000000,95570000000,122775000000,1110000000,0,9149000000,217785000000,0,244180000000,7084000000,2645000000,1516000000,2914000000,17697000000,30340000000,105433000000,26172000000,45964000000,12239000000,189808000000,0,0,220148000000,0,424000000,15059000000,2673000000,4368000000,22524000000,22524000000,244180000000,1508000000,244180000000,1110000000,108078000000,105198000000,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/0001193125-17-050292-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/d296602d10k.htm,4800000000,9149000000,16181000000,38411000000
2015-12-31,VZ,USD,0000732712,2016-02-23,2016-02-23 15:09:48,2015,FY,4470000000,350000000,4820000000,13457000000,1252000000,1959000000,22280000000,83541000000,25331000000,94913000000,120244000000,796000000,0,17779000000,222360000000,0,244640000000,6391000000,6489000000,2054000000,2969000000,19203000000,35052000000,103705000000,30916000000,45484000000,11641000000,191746000000,0,0,226798000000,0,424000000,11246000000,550000000,4208000000,16428000000,16428000000,244640000000,1414000000,244640000000,1146000000,110194000000,105724000000,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/0001193125-16-473367-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/d35513d10k.htm,2751000000,17779000000,17149000000,42557000000
2014-12-31,VZ,USD,0000732712,2015-02-23,2015-02-23 13:10:04,2014,FY,10598000000,555000000,11153000000,13993000000,1153000000,3324000000,29623000000,89947000000,24639000000,81069000000,105708000000,802000000,0,6628000000,203085000000,0,232708000000,5598000000,2735000000,1457000000,3125000000,16606000000,28064000000,110536000000,33280000000,41578000000,5574000000,190968000000,0,0,219032000000,0,424000000,2447000000,1111000000,8316000000,12298000000,12298000000,232708000000,1378000000,232708000000,1357000000,113271000000,102673000000,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/0001193125-15-057710-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/d820819d10k.htm,3324000000,6628000000,15149000000,38854000000
