date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-12-31,VZ,USD,0000732712,2024-02-09,2024-02-09 10:51:34,2023,FY,12095000000,17624000000,2388000000,533000000,-267000000,-2198000000,287000000,2079000000,-435000000,-3710000000,37475000000,-18767000000,-30000000,0,0,-4635000000,-23432000000,-10624000000,0,0,-11025000000,6992000000,-14657000000,0,-614000000,3497000000,4111000000,37475000000,-18767000000,18708000000,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/0000732712-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/vz-20231231.htm,0
2022-12-31,VZ,USD,0000732712,2023-02-10,2023-02-10 11:54:36,2022,FY,21748000000,17099000000,2973000000,609000000,-456000000,-1978000000,627000000,-33000000,928000000,-4832000000,37141000000,-26740000000,281000000,-2265000000,0,62000000,-28662000000,-13564000000,0,0,-10805000000,15840000000,-8529000000,0,-50000000,4111000000,4161000000,37141000000,-26740000000,10401000000,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/0000732712-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm,0
2021-12-31,VZ,USD,0000732712,2022-02-11,2022-02-11 14:04:46,2021,FY,22618000000,16206000000,4264000000,625000000,-890000000,-1592000000,-905000000,1457000000,150000000,-3284000000,39539000000,-20286000000,57000000,-21000000,21000000,-46924000000,-67153000000,-18863000000,0,0,-10445000000,37585000000,8277000000,0,-19337000000,4161000000,23498000000,39539000000,-20286000000,19253000000,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/0000732712-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm,0
2020-12-31,VZ,USD,0000732712,2021-02-25,2021-02-25 14:08:10,2020,FY,18348000000,16720000000,1553000000,780000000,56000000,189000000,-369000000,-966000000,1202000000,4311000000,41768000000,-20318000000,-520000000,0,0,-2674000000,-23512000000,-17188000000,0,0,-10232000000,28745000000,1325000000,0,19581000000,23498000000,3917000000,41768000000,-20318000000,21450000000,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/0000732712-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm,0
2019-12-31,VZ,USD,0000732712,2020-02-21,2020-02-21 11:20:18,2019,FY,19788000000,16682000000,1232000000,872000000,-6713000000,-1471000000,-76000000,-2359000000,-2807000000,3885000000,35746000000,-18837000000,-1000000,0,0,1257000000,-17581000000,-23886000000,0,0,-10016000000,15738000000,-18164000000,0,1000000,3917000000,3916000000,35746000000,-18837000000,16909000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/0000732712-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm,0
2018-12-31,VZ,USD,0000732712,2019-02-15,2019-02-15 13:42:40,2018,FY,16039000000,17403000000,389000000,720000000,-1177000000,-2667000000,-324000000,1777000000,37000000,-1460000000,34339000000,-18087000000,-230000000,0,0,383000000,-17934000000,-14558000000,0,0,-9772000000,8953000000,-15377000000,0,1028000000,3916000000,2888000000,34339000000,-18087000000,16252000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/0000732712-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/a2018q410-k.htm,0
2017-12-31,VZ,USD,0000732712,2018-02-23,2018-02-23 13:15:54,2017,FY,30550000000,16954000000,-14463000000,384000000,-5938000000,-5674000000,168000000,-459000000,656000000,-2735000000,24318000000,-17830000000,-2314000000,0,0,772000000,-19372000000,-24407000000,0,0,-9472000000,27145000000,-6734000000,0,-801000000,2079000000,2880000000,24318000000,-17830000000,6488000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/0000732712-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/a201710-k.htm,-629000000
2016-12-31,VZ,USD,0000732712,2017-02-21,2017-02-21 15:21:12,2016,FY,13608000000,15928000000,-1063000000,400000000,-6755000000,-5067000000,61000000,-1089000000,-3936000000,-3285000000,21689000000,-17593000000,6117000000,0,0,493000000,-10983000000,-19308000000,3000000,17950000000,-9262000000,-2705000000,-13322000000,0,-1590000000,2880000000,4470000000,21689000000,-17593000000,4096000000,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/0001193125-17-050292-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/d296602d10k.htm,3276000000
2015-12-31,VZ,USD,0000732712,2016-02-23,2016-02-23 15:09:48,2015,FY,18375000000,16017000000,3516000000,300000000,2443000000,-945000000,-99000000,0,942000000,-1314000000,39027000000,-27717000000,-3497000000,0,0,1171000000,-30043000000,-9684000000,40000000,-5134000000,-8538000000,8301000000,-15015000000,0,-6128000000,4470000000,10598000000,39027000000,-27717000000,11310000000,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/0001193125-16-473367-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/d35513d10k.htm,2545000000
2014-12-31,VZ,USD,0000732712,2015-02-23,2015-02-23 13:10:04,2014,FY,11956000000,16533000000,-92000000,300000000,-2160000000,-2745000000,-132000000,0,-695000000,-3088000000,30631000000,-17545000000,-62000000,0,0,1751000000,-15856000000,-18144000000,34000000,30967000000,-7803000000,-62759000000,-57705000000,0,-42930000000,10598000000,53528000000,30631000000,-17545000000,13086000000,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/0001193125-15-057710-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/d820819d10k.htm,1412000000
