date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-12-31,VZ,USD,0000732712,2024-02-09,2024-02-09 10:51:34,2023,FY,133974000000,72511000000,61463000000,0.4587681192,0,28785000000,3847000000,32632000000,-975000000,32632000000,105143000000,354000000,7343000000,17624000000,46455000000,0.3467463836,28831000000,0.2151984713,-11844000000,16987000000,0.1267932584,4892000000,11614000000,0.0866884619,2.76,2.76,4211000000,4215000000,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/0000732712-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271224000010/vz-20231231.htm,0,32632000000,-6989000000,-4855000000,481000000,46455000000
2022-12-31,VZ,USD,0000732712,2023-02-10,2023-02-10 11:54:36,2022,FY,136835000000,76232000000,60603000000,0.4428910732,0,26580000000,3556000000,30136000000,17099000000,30136000000,106368000000,146000000,5612000000,17099000000,47566000000,0.3476157416,30467000000,0.2226550225,-2196000000,28271000000,0.2066064969,6523000000,21256000000,0.1553403734,5.06,5.06,4202000000,4204000000,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/0000732712-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271223000012/vz-20221231.htm,0,30136000000,-5466000000,3270000000,492000000,47566000000
2021-12-31,VZ,USD,0000732712,2022-02-11,2022-02-11 14:04:46,2021,FY,133613000000,56301000000,77312000000,0.5786263313,0,25264000000,3394000000,28658000000,16206000000,44864000000,101165000000,48000000,3485000000,16206000000,48171000000,0.3605262961,31965000000,0.2392357031,-2545000000,29420000000,0.2201881553,6802000000,22065000000,0.1651411165,5.32,5.32,4148000000,4150000000,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/0000732712-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271222000008/vz-20211231.htm,16689000000,45347000000,-3437000000,892000000,553000000,48171000000
2020-12-31,VZ,USD,0000732712,2021-02-25,2021-02-25 14:08:10,2020,FY,128292000000,51201000000,77091000000,0.6009026284,0,28466000000,3107000000,31573000000,16720000000,48293000000,99494000000,65000000,4247000000,16136000000,44934000000,0.350247872,28798000000,0.2244722976,-4831000000,23967000000,0.1868160135,5619000000,17801000000,0.1387537804,4.3,4.3,4140000000,4142000000,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/0000732712-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271221000012/vz-20201231.htm,16720000000,48293000000,-4182000000,-649000000,547000000,44934000000
2019-12-31,VZ,USD,0000732712,2020-02-21,2020-02-21 11:20:18,2019,FY,131868000000,54726000000,77142000000,0.584994085,0,26825000000,3071000000,29896000000,16682000000,46578000000,101304000000,121000000,4730000000,13953000000,44331000000,0.3361770862,30378000000,0.2303667304,-7645000000,22733000000,0.1723920891,2945000000,19265000000,0.1460930628,4.66,4.65,4138000000,4140000000,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/0000732712-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271220000014/a2019q410-k.htm,16868000000,46764000000,-4609000000,-3036000000,523000000,44331000000
2018-12-31,VZ,USD,0000732712,2019-02-15,2019-02-15 13:42:40,2018,FY,130863000000,55508000000,75355000000,0.5758312128,0,31083000000,0,31083000000,2364000000,48486000000,103994000000,94000000,4833000000,17403000000,46450000000,0.3549513613,22278000000,0.170239105,-2413000000,19623000000,0.1499507118,3584000000,15528000000,0.1186584443,3.76,3.76,4128000000,4132000000,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/0000732712-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271219000012/a2018q410-k.htm,21994000000,53077000000,-4739000000,2084000000,511000000,39681000000
2017-12-31,VZ,USD,0000732712,2018-02-23,2018-02-23 13:15:54,2017,FY,126034000000,51556000000,74478000000,0.5909357792,0,28336000000,1774000000,30110000000,-2010000000,47064000000,98620000000,82000000,4733000000,16954000000,42281000000,0.3354729676,27414000000,0.2175127347,-2087000000,20594000000,0.1634003523,-9956000000,30101000000,0.2388323786,7.37,7.36,4084000000,4089000000,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/0000732712-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000073271218000009/a201710-k.htm,16954000000,47064000000,-4651000000,-2169000000,449000000,44368000000
2016-12-31,VZ,USD,0000732712,2017-02-21,2017-02-21 15:21:12,2016,FY,125980000000,51424000000,74556000000,0.5918082235,0,31569000000,0,31569000000,-1599000000,47497000000,98921000000,59000000,4376000000,15928000000,41290000000,0.3277504366,27059000000,0.2147880616,-1697000000,20986000000,0.1665819971,7378000000,13127000000,0.1041990792,3.22,3.21,4080000000,4086000000,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/0001193125-17-050292-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312517050292/d296602d10k.htm,15928000000,47497000000,-4317000000,-1756000000,481000000,42987000000
2015-12-31,VZ,USD,0000732712,2016-02-23,2016-02-23 15:09:48,2015,FY,131620000000,52557000000,79063000000,0.6006913843,0,29986000000,0,29986000000,186000000,46003000000,98560000000,115000000,4920000000,16017000000,49177000000,0.3736286279,33060000000,0.2511776326,100000000,28240000000,0.2145570582,9865000000,17879000000,0.1358380185,4.38,4.37,4085000000,4093000000,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/0001193125-16-473367-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312516473367/d35513d10k.htm,16017000000,46003000000,-4805000000,-15000000,496000000,49077000000
2014-12-31,VZ,USD,0000732712,2015-02-23,2015-02-23 13:10:04,2014,FY,127079000000,49931000000,77148000000,0.6070869302,0,41016000000,0,41016000000,-1194000000,57549000000,107480000000,108000000,4915000000,16533000000,36718000000,0.2889383769,19599000000,0.1542268982,586000000,15270000000,0.1201614744,3314000000,9625000000,0.0757402875,2.42,2.42,3974000000,3981000000,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/0001193125-15-057710-index.htm,https://www.sec.gov/Archives/edgar/data/732712/000119312515057710/d820819d10k.htm,16533000000,57549000000,-4807000000,478000000,2331000000,36132000000
