date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,link,finalLink,calculatedOtherCurrentAssets,calculatedOtherNonCurrentAssets,calculatedOtherCurrentLiabilities,calculatedOtherNonCurrentLiabilities
2023-09-30,V,USD,0001403161,2023-11-15,2023-11-15 16:07:14,2023,FY,16286000000,3842000000,20128000000,4474000000,4769000000,4161000000,33532000000,3425000000,17997000000,26104000000,44101000000,1921000000,126000000,7394000000,56967000000,0,90499000000,375000000,106000000,1500000000,-106000000,22723000000,23098000000,20463000000,0,5114000000,3091000000,28668000000,0,412000000,51766000000,1698000000,22150000000,18040000000,-1317000000,-1838000000,38733000000,38733000000,90499000000,0,90499000000,5763000000,20463000000,4177000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/0001403161-23-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/v-20230930.htm,4161000000,7520000000,21223000000,3091000000
2022-09-30,V,USD,0001403161,2022-11-16,2022-11-16 16:06:43,2022,FY,15689000000,2833000000,18522000000,3952000000,6459000000,1272000000,30205000000,3223000000,17787000000,25065000000,42852000000,2136000000,87000000,6998000000,55296000000,0,85501000000,340000000,2250000000,365000000,0,18263000000,20853000000,20200000000,0,5332000000,3535000000,29067000000,0,422000000,49920000000,2324000000,21869000000,16116000000,-2369000000,-2359000000,35581000000,35581000000,85501000000,0,85501000000,4969000000,22450000000,6761000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm,1272000000,7085000000,17898000000,3535000000
2021-09-30,V,USD,0001403161,2021-11-18,2021-11-18 16:06:50,2021,FY,16487000000,2025000000,18512000000,3726000000,4010000000,1359000000,27607000000,2715000000,15958000000,27664000000,43622000000,1705000000,80000000,7167000000,55289000000,0,82896000000,266000000,999000000,325000000,6971000000,7503000000,15739000000,19978000000,0,6128000000,3462000000,29568000000,0,500000000,45307000000,3080000000,21935000000,15351000000,436000000,-3213000000,37589000000,37589000000,82896000000,0,82896000000,3730000000,20977000000,4490000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/v-20210930.htm,1359000000,7247000000,7178000000,3462000000
2020-09-30,V,USD,0001403161,2020-11-19,2020-11-19 16:03:34,2020,FY,16289000000,3752000000,20041000000,2882000000,3508000000,1214000000,27645000000,2737000000,15910000000,27808000000,43718000000,231000000,63000000,6525000000,53274000000,0,80919000000,174000000,2999000000,134000000,5311000000,6026000000,14510000000,21071000000,0,5237000000,3891000000,30199000000,0,462000000,44709000000,5086000000,0,14088000000,354000000,16682000000,36210000000,36210000000,80919000000,0,80919000000,3983000000,24070000000,7781000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/v-20200930.htm,1214000000,6588000000,5892000000,3891000000
2019-09-30,V,USD,0001403161,2019-11-14,2019-11-14 15:35:00,2019,FY,7838000000,4236000000,12074000000,4590000000,3565000000,741000000,20970000000,2695000000,15656000000,26780000000,42436000000,2157000000,24000000,4292000000,51604000000,0,72574000000,156000000,0,327000000,0,13259000000,13415000000,16729000000,0,4807000000,2939000000,24475000000,0,0,37890000000,5462000000,0,13502000000,-650000000,16370000000,34684000000,34684000000,72574000000,0,72574000000,6393000000,16729000000,8891000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/v093019form10k.htm,741000000,4316000000,12932000000,2939000000
2018-09-30,V,USD,0001403161,2018-11-16,2018-11-16 16:10:27,2018,FY,8162000000,3547000000,11709000000,2790000000,3377000000,340000000,18216000000,2472000000,15194000000,27558000000,42752000000,4082000000,941000000,762000000,51009000000,0,69225000000,183000000,0,257000000,0,11122000000,11305000000,16630000000,0,4618000000,2666000000,23914000000,0,0,35219000000,5470000000,0,11318000000,547000000,16671000000,34006000000,34006000000,69225000000,0,69225000000,7629000000,16630000000,8468000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/v093018.htm,340000000,1703000000,10865000000,2666000000
2017-09-30,V,USD,0001403161,2017-11-17,2017-11-16 20:07:25,2017,FY,9874000000,3564000000,13438000000,2554000000,2687000000,344000000,19023000000,2253000000,15110000000,27848000000,42958000000,1926000000,81000000,1736000000,48954000000,0,67977000000,179000000,1749000000,243000000,4871000000,3195000000,9994000000,16618000000,1304000000,5980000000,1321000000,25223000000,0,0,35217000000,5526000000,0,9508000000,878000000,16848000000,32760000000,32760000000,67977000000,0,67977000000,5490000000,18367000000,8493000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/v093017.htm,344000000,1817000000,2952000000,2625000000
2016-09-30,V,USD,0001403161,2016-11-15,2016-11-15 16:44:02,2016,FY,5619000000,3319000000,8938000000,2740000000,2351000000,284000000,14313000000,2150000000,15066000000,27234000000,42300000000,3977000000,22000000,1273000000,49722000000,0,64035000000,203000000,0,153000000,0,7843000000,8046000000,15882000000,1225000000,4808000000,1162000000,23077000000,0,0,31123000000,5717000000,0,10462000000,-458000000,17191000000,32912000000,32912000000,64035000000,0,64035000000,7296000000,15882000000,10263000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/v093016.htm,284000000,1295000000,7690000000,2387000000
2015-09-30,V,USD,0001403161,2015-11-20,2015-11-19 18:24:51,2015,FY,3518000000,2497000000,6015000000,1332000000,3242000000,303000000,10892000000,1888000000,11825000000,11361000000,23186000000,3429000000,11000000,830000000,29344000000,0,40236000000,127000000,3094000000,75000000,81000000,2072000000,5374000000,0,0,4123000000,897000000,5020000000,0,0,10394000000,0,0,11843000000,-74000000,18073000000,29842000000,29842000000,40236000000,0,40236000000,5926000000,0,-3518000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/0001403161-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/v093015.htm,303000000,841000000,1997000000,897000000
2014-09-30,V,USD,0001403161,2014-11-21,2014-11-20 18:57:50,2014,FY,1971000000,1979000000,3950000000,1699000000,3703000000,210000000,9562000000,1892000000,11753000000,11411000000,23164000000,3050000000,8000000,893000000,29007000000,0,38569000000,147000000,3780000000,73000000,82000000,1997000000,6006000000,0,0,4145000000,1005000000,5150000000,0,0,11156000000,0,0,9131000000,-17000000,18299000000,27413000000,27413000000,38569000000,0,38569000000,5029000000,0,-1971000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/0001403161-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/v09301410-k.htm,210000000,901000000,1924000000,1005000000
2013-09-30,V,USD,0001403161,2013-11-22,2013-11-21 19:53:37,2013,FY,2186000000,2069000000,4255000000,1702000000,1583000000,282000000,7822000000,1732000000,11681000000,11351000000,23032000000,2790000000,481000000,99000000,28134000000,0,35956000000,184000000,2306000000,64000000,60000000,1785000000,4335000000,0,0,4149000000,602000000,4751000000,0,0,9086000000,0,0,7974000000,21000000,18875000000,26870000000,26870000000,35956000000,0,35956000000,4859000000,0,-2186000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316113000011/0001403161-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316113000011/v09301310-k.htm,282000000,580000000,1721000000,602000000
2012-09-30,V,USD,0001403161,2012-11-16,2012-11-15 20:15:57,2012,FY,2074000000,743000000,2817000000,1356000000,6581000000,1032000000,11786000000,1634000000,11681000000,11420000000,23101000000,3369000000,2027000000,-1904000000,28227000000,0,40013000000,152000000,6090000000,58000000,59000000,1653000000,7954000000,0,0,4058000000,371000000,4429000000,0,0,12383000000,0,0,7809000000,-171000000,19992000000,27630000000,27630000000,40013000000,0,40013000000,4112000000,0,-2074000000,https://www.sec.gov/Archives/edgar/data/1403161/000138410812000011/0001384108-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000138410812000011/v09301210-k.htm,1032000000,123000000,1595000000,371000000
2011-09-30,V,USD,0001403161,2011-11-18,2011-11-17 19:39:34,2011,FY,2127000000,1271000000,3398000000,972000000,3611000000,1209000000,9190000000,1541000000,11668000000,11436000000,23104000000,811000000,489000000,-375000000,25570000000,0,34760000000,169000000,1760000000,63000000,63000000,1459000000,3451000000,0,0,4205000000,667000000,4872000000,0,0,8323000000,0,0,6706000000,-176000000,19907000000,26437000000,26437000000,34760000000,0,34760000000,2082000000,0,-2127000000,https://www.sec.gov/Archives/edgar/data/1403161/000119312511315956/0001193125-11-315956-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000119312511315956/d218694d10k.htm,1209000000,114000000,1396000000,667000000
2010-09-30,V,USD,0001403161,2010-11-19,2010-11-19 16:10:39,2010,FY,3867000000,184000000,4051000000,878000000,2731000000,1074000000,8734000000,1357000000,11447000000,11478000000,22925000000,138000000,623000000,-369000000,24674000000,0,33408000000,137000000,12000000,40000000,42000000,3307000000,3498000000,32000000,66000000,4181000000,617000000,4896000000,0,0,8394000000,0,0,4368000000,-151000000,20794000000,25011000000,25014000000,33408000000,3000000,33408000000,322000000,44000000,-3823000000,https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/0001193125-10-265236-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000119312510265236/d10k.htm,1074000000,254000000,3267000000,683000000
2009-09-30,V,USD,0001403161,2009-11-20,2009-11-20 16:07:00,2009,FY,4617000000,115000000,4732000000,1049000000,2434000000,1026000000,9241000000,1204000000,10208000000,10883000000,21091000000,270000000,703000000,-228000000,23040000000,0,32281000000,156000000,12000000,327000000,39000000,4235000000,4442000000,44000000,323000000,3807000000,472000000,4646000000,0,0,9088000000,0,0,2219000000,-188000000,21158000000,23189000000,23193000000,32281000000,4000000,32281000000,385000000,56000000,-4561000000,https://www.sec.gov/Archives/edgar/data/1403161/000119312509239249/0001193125-09-239249-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000119312509239249/d10k.htm,1026000000,475000000,3908000000,795000000
2008-09-30,V,USD,0001403161,2008-11-21,2008-11-20 21:38:24,2008,FY,4979000000,355000000,5334000000,1473000000,3432000000,935000000,11174000000,1080000000,10213000000,10883000000,21096000000,836000000,944000000,-149000000,23807000000,0,34981000000,159000000,51000000,122000000,37000000,6918000000,7165000000,55000000,1159000000,3811000000,1650000000,6675000000,0,0,13840000000,0,1508000000,186000000,-70000000,19517000000,21141000000,21141000000,34981000000,0,34981000000,1191000000,106000000,-4873000000,https://www.sec.gov/Archives/edgar/data/1403161/000119312508240384/0001193125-08-240384-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000119312508240384/d10k.htm,935000000,795000000,6796000000,2809000000
2007-09-30,V,USD,0001403161,2007-12-21,2007-12-21 15:58:47,2007,FY,275379000,747080000,275379000,254716000,1880697000,96147000,2506939000,313092000,0,0,-313092000,964022000,470626000,448530000,1883178000,0,4390117000,98586000,41280000,148551000,11880000,3130343000,3282089000,0,0,0,1570745000,1570745000,0,0,4852834000,0,0,-500999000,-328000,0,-501327000,-462717000,4390117000,38610000,4390117000,1484578000,41280000,-234099000,https://www.sec.gov/Archives/edgar/data/1403161/000119312507270394/0001193125-07-270394-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000119312507270394/d10k.htm,96147000,919156000,2981792000,1570745000
2006-09-30,V,USD,0001403161,2006-09-30,2006-09-29 20:00:00,2006,FY,270124000,0,270124000,258035000,294570000,771202000,1593931000,0,0,0,0,701643000,237533000,430811000,1369987000,0,2963918000,119075000,32339000,0,675139000,566410000,1392963000,41280000,0,0,909021000,950301000,0,0,2343264000,0,0,0,582814000,0,582814000,620654000,2963918000,37840000,2963918000,701643000,73619000,-196505000,,,771202000,668344000,566410000,909021000
2003-09-30,V,USD,0001403161,2003-09-30,2003-09-29 20:00:00,2003,FY,86000000,0,86000000,0,0,781000000,867000000,0,0,0,0,0,0,1038000000,1038000000,0,1905000000,0,174000000,0,0,814000000,988000000,0,0,0,1357000000,1357000000,0,0,2345000000,0,0,0,0,-440000000,-440000000,-440000000,1905000000,0,1905000000,0,174000000,88000000,,,781000000,1038000000,814000000,1357000000
