date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,calculatedOtherWorkingCapital
2023-09-30,V,USD,0001403161,2023-11-15,2023-11-15 16:07:14,2023,FY,17273000000,943000000,-483000000,765000000,-10022000000,-250000000,1208000000,34000000,-11014000000,12279000000,20755000000,-1059000000,0,-4484000000,3562000000,-25000000,-2006000000,-2250000000,260000000,-12101000000,-3751000000,70000000,-17772000000,636000000,1613000000,21990000000,20377000000,20755000000,-1059000000,19696000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/0001403161-23-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/v-20230930.htm,0
2022-09-30,V,USD,0001403161,2022-11-16,2022-11-16 16:06:43,2022,FY,14957000000,861000000,-336000000,602000000,-7657000000,-97000000,0,67000000,-7627000000,10422000000,18849000000,-970000000,-1948000000,-6083000000,4585000000,128000000,-4288000000,-1000000000,196000000,-11589000000,-3203000000,2900000000,-12696000000,-1287000000,578000000,20377000000,19799000000,18849000000,-970000000,17879000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm,0
2021-09-30,V,USD,0001403161,2021-11-18,2021-11-18 16:06:50,2021,FY,12311000000,804000000,873000000,542000000,-6702000000,-343000000,1063000000,88000000,-7510000000,7399000000,15227000000,-705000000,-75000000,-5182000000,5701000000,109000000,-152000000,-3000000000,208000000,-8676000000,-2798000000,-144000000,-14410000000,-37000000,628000000,19799000000,19171000000,15227000000,-705000000,14522000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/v-20210930.htm,0
2020-09-30,V,USD,0001403161,2020-11-19,2020-11-19 16:03:34,2020,FY,10866000000,767000000,307000000,416000000,-8398000000,-43000000,-295000000,21000000,-8081000000,6482000000,10440000000,-736000000,-77000000,-2342000000,4510000000,72000000,1427000000,-190000000,190000000,-8114000000,-2664000000,6810000000,-3968000000,440000000,8339000000,19171000000,10832000000,10440000000,-736000000,9704000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/v-20200930.htm,0
2019-09-30,V,USD,0001403161,2019-11-14,2019-11-14 15:35:00,2019,FY,12080000000,656000000,214000000,407000000,-6303000000,-333000000,484000000,-24000000,-6430000000,5730000000,12784000000,-756000000,-699000000,-3154000000,4008000000,10000000,-591000000,-162000000,162000000,-8607000000,-2269000000,-1185000000,-12061000000,-277000000,-145000000,10832000000,10977000000,12784000000,-756000000,12028000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/v093019form10k.htm,0
2018-09-30,V,USD,0001403161,2018-11-16,2018-11-16 16:10:27,2018,FY,10301000000,613000000,-1277000000,327000000,-2657000000,-70000000,2092000000,3000000,-4682000000,5406000000,12713000000,-718000000,-196000000,-5822000000,3638000000,14000000,-3084000000,-1750000000,164000000,-7192000000,-1918000000,-544000000,-11240000000,-101000000,-1712000000,8162000000,9874000000,12713000000,-718000000,11995000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/v093018.htm,0
2017-09-30,V,USD,0001403161,2017-11-17,2017-11-16 20:07:25,2017,FY,6699000000,556000000,1700000000,235000000,-4580000000,-54000000,132000000,-30000000,-4628000000,4598000000,9208000000,-707000000,-302000000,-3284000000,5016000000,12000000,735000000,-2412000000,149000000,-6891000000,-1579000000,4809000000,-5924000000,236000000,4255000000,9874000000,5619000000,9208000000,-707000000,8501000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/v093017.htm,0
2016-09-30,V,USD,0001403161,2016-11-15,2016-11-15 16:44:02,2016,FY,5991000000,502000000,-764000000,221000000,-3526000000,-65000000,4000000,43000000,-3508000000,3150000000,5574000000,-523000000,-9082000000,-28014000000,26703000000,-1311000000,-10916000000,-15873000000,95000000,-7157000000,-1350000000,15984000000,7477000000,-34000000,2101000000,5619000000,3518000000,5574000000,-523000000,5051000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/v093016.htm,0
2015-09-30,V,USD,0001403161,2015-11-20,2015-11-19 18:24:51,2015,FY,6328000000,494000000,195000000,187000000,-3545000000,-19000000,-543000000,-13000000,-2970000000,2925000000,6584000000,-414000000,-93000000,-2875000000,1937000000,10000000,-1435000000,0,0,-2910000000,-1177000000,484000000,-3603000000,1000000,1547000000,3518000000,1971000000,6584000000,-414000000,6170000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/0001403161-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/v093015.htm,0
2014-09-30,V,USD,0001403161,2014-11-21,2014-11-20 18:57:50,2014,FY,5438000000,435000000,-580000000,172000000,-1252000000,-53000000,1252000000,-56000000,-1143000000,2992000000,7205000000,-553000000,-149000000,-2581000000,2342000000,-239000000,-941000000,0,0,-4118000000,-1006000000,-1354000000,-6478000000,-1000000,-215000000,1971000000,2186000000,7205000000,-553000000,6652000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/0001403161-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/v09301410-k.htm,-1252000000
