date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,calculatedOtherExpenses,calculatedOperatingExpenses,calculatedNetInterest,calculatedOtherIncome,calculatedIncomeNonControlling,calculatedEbitda
2023-09-30,V,USD,0001403161,2023-11-15,2023-11-15 16:07:14,2023,FY,32653000000,6567000000,26086000000,0.7988852479,0,1875000000,1341000000,3216000000,8437000000,11653000000,11653000000,101000000,-644000000,943000000,21336000000,0.6534162252,21000000000,0.6431262059,37000000,21037000000,0.644259333,3764000000,17273000000,0.5289866168,8.3,8.15,2046937500,2085000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/0001403161-23-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/v-20230930.htm,1870000000,5086000000,745000000,-708000000,0,21943000000
2022-09-30,V,USD,0001403161,2022-11-16,2022-11-16 16:06:43,2022,FY,29310000000,5733000000,23577000000,0.8044012282,0,1699000000,1336000000,3035000000,861000000,3896000000,9629000000,469000000,538000000,1729000000,20542000000,0.7008529512,18813000000,0.6418628454,-677000000,18136000000,0.6187649266,3179000000,14957000000,0.5103036506,7.02,6.85,2084445499,2136000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/v-20220930.htm,1729000000,4764000000,-69000000,-608000000,0,20542000000
2021-09-30,V,USD,0001403161,2021-11-18,2021-11-18 16:06:50,2021,FY,24105000000,4970000000,19135000000,0.7938187098,0,1388000000,1136000000,2524000000,804000000,3328000000,8298000000,513000000,513000000,807000000,16611000000,0.6891101431,15804000000,0.6556316117,259000000,16063000000,0.6663762705,3752000000,12311000000,0.5107239162,5.64,5.49,2128585999,2188000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/v-20210930.htm,807000000,3331000000,0,259000000,0,16611000000
2020-09-30,V,USD,0001403161,2020-11-19,2020-11-19 16:03:34,2020,FY,21846000000,4512000000,17334000000,0.7934633342,0,1504000000,971000000,2475000000,767000000,3242000000,7754000000,80000000,516000000,778000000,14859000000,0.6801702829,14081000000,0.644557356,-291000000,13790000000,0.6312368397,2924000000,10866000000,0.4973908267,4.9,4.71,2138585999,2223000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/v-20200930.htm,778000000,3253000000,-436000000,145000000,0,14859000000
2019-09-30,V,USD,0001403161,2019-11-14,2019-11-14 15:35:00,2019,FY,22977000000,4165000000,18812000000,0.8187317753,0,1650000000,1105000000,2755000000,656000000,3411000000,7576000000,247000000,533000000,1056000000,16057000000,0.698829264,15001000000,0.6528702616,-117000000,14884000000,0.647778213,2804000000,12080000000,0.5257431344,5.33,5.13,2187586000,2272000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/v093019form10k.htm,1056000000,3811000000,-286000000,169000000,0,16057000000
2018-09-30,V,USD,0001403161,2018-11-16,2018-11-16 16:10:27,2018,FY,20609000000,3856000000,16753000000,0.8128972779,0,1591000000,988000000,2579000000,613000000,3192000000,7048000000,0,612000000,613000000,14638000000,0.7102722112,12954000000,0.6285603377,-143000000,12806000000,0.6213790092,2505000000,10301000000,0.4998301713,4.6,4.42,2237586000,2329000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/0001403161-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316118000055/v093018.htm,1220000000,3799000000,-612000000,464000000,0,13567000000
2017-09-30,V,USD,0001403161,2017-11-17,2017-11-16 20:07:25,2017,FY,18358000000,3248000000,15110000000,0.823074409,285000000,1469000000,922000000,2391000000,556000000,2947000000,6195000000,0,563000000,556000000,12832000000,0.6989868177,12144000000,0.6615099684,94000000,11694000000,0.6369974943,4995000000,6699000000,0.3649090315,2.8,2.8,2312056478,2395000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/0001403161-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316117000044/v093017.htm,290000000,2966000000,-563000000,113000000,0,12700000000
2016-09-30,V,USD,0001403161,2016-11-15,2016-11-15 16:44:02,2016,FY,15082000000,2764000000,12318000000,0.816735181,259000000,1185000000,869000000,2054000000,502000000,2556000000,5320000000,0,427000000,502000000,10820000000,0.7174114839,7883000000,0.5226760377,-1323000000,8012000000,0.5312292799,2021000000,5991000000,0.3972284843,2.49,2.48,2389018813,2414000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/0001403161-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316116000058/v093016.htm,2122000000,4435000000,-427000000,556000000,0,8385000000
2015-09-30,V,USD,0001403161,2015-11-20,2015-11-19 18:24:51,2015,FY,13880000000,2553000000,11327000000,0.8160662824,0,883000000,872000000,1755000000,494000000,2249000000,4802000000,0,0,494000000,9586000000,0.6906340058,9064000000,0.6530259366,-83000000,8995000000,0.648054755,2667000000,6328000000,0.455907781,2.58,2.58,2446899224,2457000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/0001403161-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316115000013/v093015.htm,508000000,2263000000,0,-69000000,0,9558000000
2014-09-30,V,USD,0001403161,2014-11-21,2014-11-20 18:57:50,2014,FY,12702000000,2382000000,10320000000,0.8124704771,0,835000000,900000000,1735000000,435000000,2170000000,4552000000,0,0,435000000,9038000000,0.7115414895,7697000000,0.6059675642,-426000000,7724000000,0.6080932137,2286000000,5438000000,0.4281215557,2.16,2.15,2509722222,2523000000,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/0001403161-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1403161/000140316114000017/v09301410-k.htm,888000000,2623000000,0,27000000,0,8132000000
